generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.39	0.58	0	2	0.375	0.0	1.5
1	1.66	0.57	0	3	0.230	0.0	0.5
2	1.63	0.63	0	3	0.235	0.0	1.0
3	1.77	0.47	1	3	0.180	0.0	0.5
4	1.71	0.55	0	3	0.165	0.0	1.0
5	1.78	0.63	0	3	0.225	0.0	0.5
6	1.79	0.70	0	3	0.200	0.0	0.5
7	1.96	0.73	0	3	0.280	0.0	0.5
8	2.01	0.77	0	3	0.300	0.0	0.5
9	1.97	0.88	0	3	0.300	0.0	1.0
10	1.99	0.87	0	3	0.270	0.0	0.5
11	1.74	0.96	0	3	0.215	0.0	0.5
12	1.63	0.96	0	3	0.230	0.0	0.5
13	1.83	0.87	0	3	0.255	0.0	0.5
14	1.87	0.90	0	3	0.265	0.0	0.5
15	1.79	0.94	0	3	0.240	0.0	0.5
16	1.76	0.81	0	3	0.260	0.0	1.0
17	1.76	0.78	0	3	0.210	0.0	0.5
18	1.82	0.79	0	3	0.200	0.0	0.5
19	1.79	0.84	0	3	0.255	0.0	0.5
20	1.76	0.88	0	3	0.200	0.0	1.0
21	1.69	0.84	0	3	0.235	0.0	1.0
22	1.77	0.90	0	3	0.225	0.0	0.5
23	1.60	0.87	0	3	0.230	0.0	0.5
24	1.61	0.84	0	3	0.220	0.0	1.0
25	1.72	0.76	0	3	0.245	0.0	0.5
26	1.64	0.87	0	3	0.215	0.0	0.5
27	1.67	0.81	0	3	0.245	0.0	0.5
28	1.74	0.78	0	3	0.210	0.0	0.5
29	1.76	0.78	0	3	0.210	0.0	0.5
30	1.84	0.82	0	3	0.160	0.0	0.5
31	1.81	0.89	0	3	0.240	0.0	0.5
32	1.75	0.89	0	3	0.205	0.0	0.5
33	1.76	0.74	0	3	0.215	0.0	0.5
34	1.71	0.82	0	3	0.195	0.0	1.0
35	1.67	0.76	0	3	0.220	0.0	1.0
36	1.71	0.84	0	3	0.200	0.0	0.5
37	1.71	0.75	0	3	0.205	0.0	0.5
38	1.74	0.82	0	3	0.170	0.0	1.0
39	1.70	0.83	0	3	0.200	0.0	0.5
40	1.76	0.78	0	3	0.200	0.0	0.5
41	1.76	0.81	0	3	0.195	0.0	1.0
42	1.60	0.81	0	3	0.205	0.0	0.5
43	1.78	0.73	0	3	0.170	0.0	0.5
44	1.69	0.86	0	3	0.155	0.0	0.5
45	1.76	0.75	0	3	0.195	0.0	0.5
46	1.78	0.86	0	3	0.190	0.0	0.5
47	1.83	0.86	0	3	0.275	0.0	0.5
48	1.76	0.90	0	3	0.240	0.0	0.5
49	1.71	0.90	0	3	0.210	0.0	0.5
50	1.69	0.86	0	3	0.220	0.0	0.5
51	1.66	0.79	0	3	0.215	0.0	1.0
52	1.80	0.77	0	3	0.210	0.0	1.5
53	1.77	0.77	0	3	0.170	0.0	0.5
54	1.73	0.85	0	3	0.200	0.0	0.5
55	1.73	0.87	0	3	0.220	0.0	0.5
56	1.68	0.93	0	3	0.210	0.0	0.5
57	1.71	0.89	0	3	0.255	0.0	0.5
58	1.84	0.80	0	3	0.210	0.0	0.5
59	1.86	0.80	0	3	0.200	0.0	0.5
60	1.68	0.87	0	3	0.195	0.0	0.5
61	1.90	0.79	0	3	0.205	0.0	0.5
62	1.71	0.89	0	3	0.205	0.0	0.5
63	1.63	0.83	0	3	0.225	0.0	0.5
64	1.58	0.86	0	3	0.190	0.0	1.0
65	1.65	0.77	0	3	0.265	0.0	0.5
66	1.87	0.72	0	3	0.245	0.0	1.0
67	1.73	0.88	0	3	0.240	0.0	1.5
68	1.75	0.85	0	3	0.275	0.0	1.0
69	1.73	0.89	0	3	0.220	0.0	0.5
70	1.70	0.90	0	3	0.185	0.0	0.5
71	1.71	0.88	0	3	0.195	0.0	0.5
72	1.79	0.88	0	3	0.215	0.0	0.5
73	1.72	0.93	0	3	0.180	0.0	0.5
74	1.74	0.89	0	3	0.205	0.0	1.0
75	1.79	0.84	0	3	0.230	0.0	1.0
76	1.61	0.81	0	3	0.195	0.0	1.0
77	1.70	0.77	0	3	0.160	0.0	0.5
78	1.63	0.87	0	3	0.175	0.0	0.5
79	1.78	0.89	0	3	0.215	0.0	0.5
80	1.73	0.83	0	3	0.220	0.0	1.0
81	1.72	0.88	0	3	0.220	0.0	1.0
82	1.76	0.91	0	3	0.230	0.0	0.5
83	1.82	0.85	0	3	0.230	0.0	0.5
84	1.72	0.92	0	3	0.245	0.0	0.5
85	1.82	0.88	0	3	0.225	0.0	0.5
86	1.85	0.85	0	3	0.230	0.0	1.0
87	1.73	0.86	0	3	0.285	0.0	0.5
88	1.58	0.87	0	3	0.250	0.0	0.5
89	1.74	0.82	0	3	0.225	0.0	0.5
90	1.75	0.80	0	3	0.230	0.0	0.5
91	1.70	0.77	0	3	0.235	0.0	0.5
92	1.70	0.78	0	3	0.220	0.0	1.0
93	1.84	0.77	0	3	0.230	0.0	1.0
94	1.83	0.78	0	3	0.205	0.0	0.5
95	1.85	0.83	0	3	0.215	0.0	1.0
96	1.87	0.81	0	3	0.190	0.0	0.5
97	1.68	0.89	0	3	0.195	0.0	0.5
98	1.76	0.84	0	3	0.180	0.0	1.0
99	1.67	0.85	0	3	0.160	0.0	0.5
100	1.69	0.81	0	3	0.230	0.0	0.5
