generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.34	0.70	0	3	0.365	0.0	1.0
1	1.60	0.79	0	3	0.220	0.0	1.0
2	1.70	0.81	0	3	0.265	0.0	0.5
3	1.71	0.83	0	3	0.255	0.0	1.0
4	1.64	1.02	0	3	0.210	0.0	1.0
5	1.62	0.98	0	3	0.210	0.0	0.5
6	1.66	0.96	0	3	0.275	0.0	0.5
7	1.83	0.88	0	3	0.205	0.0	0.5
8	1.71	1.05	0	3	0.210	0.0	0.5
9	1.71	1.06	0	3	0.230	0.0	0.5
10	1.72	1.07	0	3	0.280	0.0	0.5
11	1.85	0.98	0	3	0.275	0.0	0.5
12	1.64	1.04	0	3	0.240	0.0	0.5
13	1.81	0.98	0	3	0.255	0.0	0.5
14	1.83	1.06	0	3	0.250	0.0	0.5
15	1.89	1.01	0	3	0.280	0.0	0.5
16	1.83	0.99	0	3	0.225	0.0	0.5
17	1.82	1.08	0	3	0.230	0.0	0.5
18	1.94	0.95	0	3	0.190	0.0	0.5
19	1.75	1.03	0	3	0.210	0.0	0.5
20	1.82	1.04	0	3	0.230	0.0	0.5
21	1.77	1.14	0	3	0.225	0.0	0.5
22	1.87	1.03	0	3	0.245	0.0	0.5
23	1.70	1.10	0	3	0.255	0.0	1.0
24	1.78	1.03	0	3	0.265	0.0	0.5
25	1.91	1.01	0	3	0.280	0.0	0.5
26	1.94	1.09	0	3	0.285	0.0	0.5
27	1.89	1.00	0	3	0.270	0.0	0.5
28	1.80	1.02	0	3	0.290	0.0	0.5
29	1.89	1.04	0	3	0.335	0.0	0.5
30	1.82	1.11	0	3	0.260	0.0	0.5
31	1.99	1.09	0	3	0.320	0.0	0.5
32	2.01	1.09	0	3	0.330	0.0	0.5
33	1.63	1.16	0	3	0.295	0.0	0.5
34	1.71	1.03	0	3	0.290	0.0	0.5
35	1.99	0.92	0	3	0.270	0.0	0.5
36	1.79	1.08	0	3	0.260	0.0	0.5
37	1.62	0.97	0	3	0.285	0.0	1.5
38	1.64	0.96	0	3	0.280	0.0	0.5
39	1.85	0.95	0	3	0.270	0.0	0.5
40	1.78	1.03	0	3	0.255	0.0	0.5
41	1.81	1.07	0	3	0.325	0.0	0.5
42	1.72	1.07	0	3	0.285	0.0	0.5
43	1.76	1.02	0	3	0.250	0.0	0.5
44	1.69	1.07	0	3	0.305	0.0	0.5
45	1.72	1.04	0	3	0.230	0.0	0.5
46	1.77	1.08	0	3	0.240	0.0	0.5
47	1.70	1.11	0	3	0.255	0.0	0.5
48	1.68	1.02	0	3	0.265	0.0	0.5
49	1.86	0.98	0	3	0.255	0.0	0.5
50	1.73	1.16	0	3	0.275	0.0	0.5
51	1.81	1.06	0	3	0.275	0.0	0.5
52	1.78	1.03	0	3	0.265	0.0	0.5
53	1.78	1.03	0	3	0.275	0.0	0.5
54	1.76	1.05	0	3	0.280	0.0	1.0
55	1.84	1.09	0	3	0.300	0.0	0.5
56	1.80	1.06	0	3	0.285	0.0	0.5
57	1.97	0.95	0	3	0.280	0.0	0.5
58	1.80	1.03	0	3	0.310	0.0	0.5
59	1.59	1.07	0	3	0.245	0.0	1.0
60	1.89	1.03	0	3	0.280	0.0	1.0
61	1.91	1.00	0	3	0.245	0.0	0.5
62	1.63	1.05	0	3	0.230	0.0	0.5
63	1.85	1.06	0	3	0.280	0.0	1.0
64	1.63	1.14	0	3	0.240	0.0	0.5
65	1.92	0.98	0	3	0.290	0.0	1.0
66	1.71	1.02	0	3	0.275	0.0	0.5
67	1.80	0.97	0	3	0.280	0.0	0.5
68	1.78	1.03	0	3	0.260	0.0	0.5
69	1.78	0.99	0	3	0.215	0.0	0.5
70	1.72	0.99	0	3	0.260	0.0	0.5
71	1.83	1.00	0	3	0.245	0.0	1.0
72	1.80	1.05	0	3	0.255	0.0	0.5
73	1.88	1.01	0	3	0.250	0.0	0.5
74	1.76	1.02	0	3	0.210	0.0	0.5
75	1.89	1.03	0	3	0.230	0.0	0.5
76	1.79	1.03	0	3	0.220	0.0	1.0
77	1.82	1.02	0	3	0.270	0.0	1.0
78	1.92	0.96	0	3	0.265	0.0	0.5
79	1.83	1.02	0	3	0.295	0.0	0.5
80	1.78	1.08	0	3	0.300	0.0	1.0
81	1.94	1.00	0	3	0.300	0.0	0.5
82	1.88	1.04	0	3	0.235	0.0	0.5
83	1.93	1.09	0	3	0.285	0.0	1.0
84	1.96	1.01	0	3	0.300	0.0	0.5
85	1.91	1.05	0	3	0.280	0.0	0.5
86	1.75	1.01	0	3	0.270	0.0	0.5
87	1.74	1.09	0	3	0.245	0.0	0.5
88	1.77	1.03	0	3	0.235	0.0	0.5
89	1.57	1.07	0	3	0.205	0.0	0.5
90	1.76	0.96	0	3	0.260	0.0	0.5
91	1.78	0.94	0	3	0.305	0.0	0.5
92	1.89	1.03	0	3	0.270	0.0	0.5
93	1.86	1.11	0	3	0.265	0.0	0.5
94	1.87	1.01	0	3	0.240	0.0	0.5
95	1.69	1.05	0	3	0.230	0.0	0.5
96	1.61	1.04	0	3	0.260	0.0	1.0
97	1.83	0.90	0	3	0.270	0.0	1.0
98	2.07	0.94	0	3	0.245	0.0	0.5
99	1.75	1.08	0	3	0.260	0.0	0.5
100	1.73	1.05	0	3	0.240	0.0	0.5
