generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.37	0.91	0	3	0.350	0.0	1.0
1	1.87	0.87	0	3	0.245	0.0	0.5
2	1.86	1.08	0	3	0.230	0.0	1.0
3	2.07	0.93	0	3	0.230	0.0	1.5
4	2.08	0.99	0	3	0.235	0.0	1.0
5	2.04	0.93	0	3	0.175	0.0	1.0
6	2.15	0.91	0	3	0.185	0.0	1.0
7	2.21	0.92	0	3	0.155	0.0	0.5
8	2.20	0.94	0	3	0.170	0.0	1.0
9	2.24	0.98	0	3	0.150	0.0	1.0
10	2.32	0.94	0	3	0.145	0.0	0.5
11	2.16	0.91	0	3	0.145	0.0	0.5
12	2.29	0.85	0	3	0.165	0.0	0.5
13	2.28	0.88	0	3	0.150	0.0	0.5
14	2.10	1.08	0	3	0.135	0.0	0.5
15	2.20	0.93	0	3	0.135	0.0	1.0
16	2.24	1.04	0	3	0.140	0.0	1.0
17	2.12	0.91	0	3	0.165	0.0	1.0
18	2.24	0.95	0	3	0.175	0.0	1.0
19	2.36	0.90	0	3	0.130	0.0	0.5
20	2.20	0.91	0	3	0.155	0.0	1.0
21	2.33	0.76	0	3	0.115	0.0	1.0
22	2.36	0.90	0	3	0.130	0.0	1.0
23	2.33	0.91	0	3	0.155	0.0	1.0
24	2.23	1.00	0	3	0.145	0.0	1.0
25	2.45	0.79	0	3	0.155	0.0	1.0
26	2.11	0.95	0	3	0.150	0.0	0.5
27	2.16	0.92	0	3	0.185	0.0	0.5
28	2.23	0.90	0	3	0.120	0.0	1.0
29	2.22	1.00	0	3	0.125	0.0	1.0
30	2.19	1.06	0	3	0.140	0.0	0.5
31	2.18	0.91	0	3	0.130	0.0	1.0
32	2.33	0.88	0	3	0.175	0.0	0.5
33	2.22	1.01	0	3	0.220	0.0	1.0
34	2.45	0.85	0	3	0.175	0.0	1.0
35	2.13	0.97	0	3	0.155	0.0	1.0
36	2.17	0.95	0	3	0.165	0.0	0.5
37	2.12	1.02	0	3	0.105	0.0	0.5
38	2.19	0.96	0	3	0.125	0.0	1.0
39	2.28	0.84	0	3	0.150	0.0	1.0
40	2.14	1.04	0	3	0.130	0.0	0.5
41	2.13	1.02	0	3	0.170	0.0	1.0
42	2.16	1.04	0	3	0.195	0.0	1.0
43	2.41	0.87	0	3	0.130	0.0	0.5
44	2.24	1.04	0	3	0.150	0.0	0.5
45	2.23	0.94	0	3	0.165	0.0	1.0
46	2.25	0.98	0	3	0.150	0.0	0.5
47	2.29	0.88	0	3	0.175	0.0	1.0
48	2.34	0.92	0	3	0.205	0.0	1.0
49	2.10	0.97	0	3	0.170	0.0	1.0
50	2.22	0.87	0	3	0.165	0.0	0.5
51	2.31	0.84	0	3	0.150	0.0	0.5
52	2.27	0.94	0	3	0.145	0.0	0.5
53	2.22	0.86	0	3	0.155	0.0	1.0
54	2.28	0.97	0	3	0.160	0.0	0.5
55	2.16	1.03	0	3	0.160	0.0	0.5
56	2.05	1.04	0	3	0.180	0.0	1.0
57	2.22	0.99	0	3	0.200	0.0	1.0
58	2.19	1.01	0	3	0.185	0.0	0.5
59	2.22	0.92	0	3	0.185	0.0	1.5
60	2.09	1.03	0	3	0.160	0.0	0.5
61	2.32	0.89	0	3	0.185	0.0	0.5
62	2.23	0.91	0	3	0.175	0.0	0.5
63	2.23	0.94	0	3	0.180	0.0	1.0
64	2.20	0.96	0	3	0.090	0.0	0.5
65	2.15	0.97	0	3	0.135	0.0	1.0
66	2.18	0.91	0	3	0.205	0.0	1.5
67	2.28	0.86	0	3	0.145	0.0	0.5
68	2.19	0.97	0	3	0.195	0.0	0.5
69	2.29	0.93	0	3	0.195	0.0	1.0
70	2.27	0.95	0	3	0.180	0.0	1.0
71	2.25	0.86	0	3	0.180	0.0	1.0
72	2.31	0.87	0	3	0.160	0.0	1.0
73	2.19	0.97	0	3	0.145	0.0	1.0
74	2.13	0.88	0	3	0.175	0.0	0.5
75	2.25	0.89	0	3	0.150	0.0	1.0
76	2.10	0.99	0	3	0.155	0.0	1.0
77	2.19	0.95	0	3	0.180	0.0	0.5
78	2.33	0.83	0	3	0.165	0.0	0.5
79	2.13	0.96	0	3	0.140	0.0	0.5
80	2.15	0.97	0	3	0.195	0.0	1.0
81	2.22	0.95	0	3	0.155	0.0	1.0
82	2.16	1.04	0	3	0.170	0.0	0.5
83	2.16	0.94	0	3	0.185	0.0	1.0
84	2.13	0.98	0	3	0.175	0.0	1.0
85	2.38	0.81	0	3	0.185	0.0	1.0
86	2.20	0.92	0	3	0.115	0.0	1.0
87	2.49	0.84	0	3	0.105	0.0	1.0
88	2.43	0.78	0	3	0.140	0.0	1.0
89	2.26	0.90	0	3	0.115	0.0	1.0
90	2.17	0.93	0	3	0.155	0.0	1.0
91	2.31	0.95	0	3	0.160	0.0	0.5
92	2.22	0.95	0	3	0.195	0.0	0.5
93	2.28	0.99	0	3	0.180	0.0	0.5
94	2.48	0.82	0	3	0.165	0.0	1.0
95	2.21	0.95	0	3	0.150	0.0	1.0
96	2.12	1.02	0	3	0.155	0.0	1.0
97	2.20	0.92	0	3	0.175	0.0	0.5
98	2.18	1.01	0	3	0.195	0.0	1.0
99	2.11	1.05	0	3	0.185	0.0	1.0
100	2.05	0.99	0	3	0.180	0.0	1.0
