generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.65	1.25	0	3	0.330	0.0	1.0
1	1.87	1.17	0	3	0.230	0.0	1.0
2	2.34	1.04	0	3	0.195	0.0	1.0
3	2.48	1.02	0	3	0.095	0.0	0.5
4	2.44	0.97	0	3	0.165	0.0	1.0
5	2.48	0.90	0	3	0.170	0.0	0.5
6	2.57	0.87	0	3	0.115	0.0	0.5
7	2.45	0.96	0	3	0.160	0.0	1.5
8	2.54	0.90	0	3	0.140	0.0	1.0
9	2.41	1.04	0	3	0.140	0.0	0.5
10	2.48	0.94	0	3	0.135	0.0	0.5
11	2.30	1.10	0	3	0.160	0.0	1.0
12	2.45	0.95	0	3	0.145	0.0	1.0
13	2.41	1.03	0	3	0.110	0.0	1.0
14	2.43	0.97	0	3	0.140	0.0	1.0
15	2.40	1.00	0	3	0.135	0.0	1.0
16	2.49	1.01	0	3	0.125	0.0	0.5
17	2.43	0.92	0	3	0.140	0.0	0.5
18	2.39	1.01	0	3	0.125	0.0	1.0
19	2.48	0.91	0	3	0.110	0.0	1.0
20	2.39	1.07	0	3	0.150	0.0	0.5
21	2.15	1.11	0	3	0.140	0.0	0.5
22	2.39	0.96	0	3	0.160	0.0	1.0
23	2.34	1.01	0	3	0.225	0.0	1.0
24	2.40	0.88	0	3	0.175	0.0	1.5
25	2.52	0.95	0	3	0.160	0.0	0.5
26	2.35	0.93	0	3	0.180	0.0	1.0
27	2.39	0.95	0	3	0.145	0.0	1.0
28	2.26	1.08	0	3	0.135	0.0	0.5
29	2.41	0.99	0	3	0.150	0.0	1.0
30	2.21	1.09	0	3	0.145	0.0	1.0
31	2.50	0.87	0	3	0.160	0.0	0.5
32	2.53	0.92	0	3	0.175	0.0	0.5
33	2.57	0.89	0	3	0.105	0.0	0.5
34	2.49	0.92	0	3	0.135	0.0	1.0
35	2.51	0.97	0	3	0.155	0.0	1.0
36	2.74	0.66	0	3	0.165	0.0	1.5
37	2.43	1.03	0	3	0.160	0.0	1.0
38	2.54	0.87	0	3	0.145	0.0	1.0
39	2.45	0.98	0	3	0.150	0.0	1.0
40	2.65	0.74	0	3	0.160	0.0	1.0
41	2.41	1.02	0	3	0.145	0.0	0.5
42	2.58	0.89	0	3	0.130	0.0	1.0
43	2.48	0.87	0	3	0.140	0.0	1.0
44	2.52	0.88	0	3	0.145	0.0	0.5
45	2.42	0.98	0	3	0.160	0.0	1.0
46	2.42	1.00	0	3	0.230	0.0	1.0
47	2.37	0.95	0	3	0.110	0.0	0.5
48	2.57	0.84	0	3	0.115	0.0	1.0
49	2.45	0.89	0	3	0.125	0.0	0.5
50	2.40	0.93	0	3	0.165	0.0	1.0
51	2.61	0.86	0	3	0.170	0.0	1.5
52	2.48	0.92	0	3	0.180	0.0	0.5
53	2.43	0.93	0	3	0.165	0.0	1.0
54	2.33	0.95	0	3	0.160	0.0	1.0
55	2.38	0.99	0	3	0.150	0.0	0.5
56	2.31	1.05	0	3	0.180	0.0	1.0
57	2.39	1.05	0	3	0.175	0.0	1.0
58	2.33	1.03	0	3	0.175	0.0	1.5
59	2.62	0.75	0	3	0.165	0.0	1.0
60	2.57	0.91	0	3	0.145	0.0	1.0
61	2.63	0.74	0	3	0.140	0.0	0.5
62	2.44	0.83	0	3	0.170	0.0	1.0
63	2.50	0.85	0	3	0.160	0.0	1.5
64	2.51	0.85	0	3	0.150	0.0	1.0
65	2.54	0.85	0	3	0.140	0.0	1.5
66	2.59	0.87	0	3	0.130	0.0	1.0
67	2.60	0.81	0	3	0.150	0.0	0.5
68	2.51	0.95	0	3	0.170	0.0	1.5
69	2.50	0.88	0	3	0.155	0.0	1.0
70	2.48	0.95	0	3	0.145	0.0	1.0
71	2.39	1.00	0	3	0.155	0.0	1.0
72	2.43	1.00	0	3	0.150	0.0	1.0
73	2.44	0.92	0	3	0.175	0.0	1.0
74	2.59	0.86	0	3	0.145	0.0	1.0
75	2.67	0.74	0	3	0.145	0.0	1.0
76	2.57	0.83	0	3	0.120	0.0	1.0
77	2.67	0.69	0	3	0.160	0.0	1.0
78	2.56	0.91	0	3	0.100	0.0	1.0
79	2.51	0.89	0	3	0.135	0.0	1.0
80	2.66	0.75	0	3	0.150	0.0	0.5
81	2.49	0.93	0	3	0.135	0.0	1.0
82	2.40	0.96	0	3	0.160	0.0	1.0
83	2.43	0.94	0	3	0.160	0.0	1.0
84	2.50	0.88	0	3	0.115	0.0	0.5
85	2.36	1.00	0	3	0.130	0.0	1.0
86	2.36	0.95	0	3	0.140	0.0	1.0
87	2.51	0.91	0	3	0.145	0.0	1.0
88	2.37	1.06	0	3	0.165	0.0	1.0
89	2.65	0.78	0	3	0.145	0.0	1.0
90	2.53	0.84	0	3	0.125	0.0	0.5
91	2.74	0.66	0	3	0.130	0.0	0.5
92	2.60	0.77	0	3	0.135	0.0	1.0
93	2.42	0.95	0	3	0.150	0.0	1.0
94	2.33	1.06	0	3	0.160	0.0	0.5
95	2.43	0.94	0	3	0.175	0.0	1.0
96	2.44	0.95	0	3	0.165	0.0	1.0
97	2.37	1.01	0	3	0.140	0.0	0.5
98	2.39	0.88	0	3	0.215	0.0	1.0
99	2.45	0.99	0	3	0.210	0.0	1.0
100	2.52	0.91	0	3	0.160	0.0	1.0
