rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	ABF3 | MYB44	3	2	0.0	ABF3, MYB44	2	1
2	MYB44 & ~ABF4	3	2	0.0	ABF4, MYB44	2	1
3	ABF3 | MYB44	3	2	0.0	ABF3, MYB44	2	1
4	ABF3 & CYP707A3 & MYB44	3	3	0.0	ABF3, CYP707A3, MYB44	3	1
5	MYB44	3	1	0.5	MYB44	1	1
6	MYB44 | (HB7 & ~HB5)	3	3	0.0	HB5, HB7, MYB44	3	1
7	ABF3 & CYP707A3 & HB5	3	3	0.0	ABF3, CYP707A3, HB5	3	1
8	ABF3 & HB7	3	2	0.0	ABF3, HB7	2	1
9	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
10	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
11	ABF3 | MYB44	3	2	0.0	ABF3, MYB44	2	1
12	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	1
13	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	1
14	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	1
15	ABF3 & HB7	3	2	0.0	ABF3, HB7	2	1
16	HB7 & MYB44	3	2	0.0	HB7, MYB44	2	1
17	ABF3 & ~ABF4	3	2	0.0	ABF3, ABF4	2	1
18	HB6 & MYB44	3	2	0.0	HB6, MYB44	2	1
19	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	1
20	ABA4 & MYB44	3	2	0.0	ABA4, MYB44	2	1
21	ABA4 & HB6 & MYB44	3	3	0.0	ABA4, HB6, MYB44	3	1
22	DREB2A | MYB44	3	2	0.0	DREB2A, MYB44	2	1
23	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
24	HB7 & MYB44	3	2	0.0	HB7, MYB44	2	1
25	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
26	ABA4 & ABF3 & HB7	3	3	0.0	ABA4, ABF3, HB7	3	1
27	ABF3 | MYB44	3	2	0.0	ABF3, MYB44	2	1
28	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
29	ABF3 & HB5 & HB7	3	3	0.0	ABF3, HB5, HB7	3	1
30	HB7 & MYB44	3	2	0.0	HB7, MYB44	2	1
31	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	1
32	ABF3 & CYP707A3	3	2	0.0	ABF3, CYP707A3	2	1
33	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	1
34	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	1
35	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	1
36	ABF3 | MYB44	3	2	0.0	ABF3, MYB44	2	1
37	DREB2A | MYB44	3	2	0.0	DREB2A, MYB44	2	1
38	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	1
39	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
40	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
41	ABF3 & CYP707A3 & MYB44	3	3	0.0	ABF3, CYP707A3, MYB44	3	1
42	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
43	DREB2A | MYB44	3	2	0.0	DREB2A, MYB44	2	1
44	ABA4 & HB7 & MYB44	3	3	0.0	ABA4, HB7, MYB44	3	1
45	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
46	ABA4 & CYP707A3	3	2	0.0	ABA4, CYP707A3	2	1
47	ABF3 | ~HB5	3	2	0.0	ABF3, HB5	2	1
48	ABF3	3	1	0.5	ABF3	1	1
49	ABF3	3	1	0.5	ABF3	1	1
50	MYB44	3	1	0.5	MYB44	1	1
51	ABA4 & (ABCG31 | ABF3) & (ABCG31 | CYP707A3)	3	4	0.5	ABA4, ABCG31, ABF3, CYP707A3	4	1
52	ABA4 & HB5 & HB6 & MYB44	3	4	0.5	ABA4, HB5, HB6, MYB44	4	1
53	ABF3	3	1	0.5	ABF3	1	1
54	ABF3 | HB6	2	2	0.0	ABF3, HB6	2	1
55	ABF4 & CYP707A3 & MYB44	2	3	0.0	ABF4, CYP707A3, MYB44	3	1
56	FBH3 & HB7	2	2	0.0	FBH3, HB7	2	1
