rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	FBH3 | ~ABF3	3	2	0.0	ABF3, FBH3	2	1
2	DREB2A | ~MYB44	3	2	0.0	DREB2A, MYB44	2	1
3	FBH3 | ~ABF3	3	2	0.0	ABF3, FBH3	2	1
4	DREB2A | ~ABF3	3	2	0.0	ABF3, DREB2A	2	1
5	~HB5 | ~MYB44	3	2	0.0	HB5, MYB44	2	1
6	~HB6 | (~CYP707A3 & ~DREB2A)	3	3	0.0	CYP707A3, DREB2A, HB6	3	1
7	DREB2A | ~MYB44	3	2	0.0	DREB2A, MYB44	2	1
8	FBH3 | ~ABF3	3	2	0.0	ABF3, FBH3	2	1
9	FBH3 | ~ABF3	3	2	0.0	ABF3, FBH3	2	1
10	DREB2A | ~ABF3	3	2	0.0	ABF3, DREB2A	2	1
11	DREB2A | ~MYB44	3	2	0.0	DREB2A, MYB44	2	1
12	~HB6 | (~CYP707A3 & ~DREB2A)	3	3	0.0	CYP707A3, DREB2A, HB6	3	1
13	~ABF3	3	1	0.5	ABF3	1	1
14	~HB5 | ~MYB44	3	2	0.0	HB5, MYB44	2	1
15	DREB2A | ~MYB44	3	2	0.0	DREB2A, MYB44	2	1
16	~MYB44	3	1	0.5	MYB44	1	1
17	~MYB44	3	1	0.5	MYB44	1	1
18	~MYB44	3	1	0.5	MYB44	1	1
19	~MYB44	3	1	0.5	MYB44	1	1
20	~MYB44	3	1	0.5	MYB44	1	1
21	~MYB44	3	1	0.5	MYB44	1	1
22	~MYB44	3	1	0.5	MYB44	1	1
23	~MYB44	3	1	0.5	MYB44	1	1
24	~MYB44	3	1	0.5	MYB44	1	1
25	~MYB44	3	1	0.5	MYB44	1	1
26	~MYB44	3	1	0.5	MYB44	1	1
27	~MYB44	3	1	0.5	MYB44	1	1
28	~MYB44	3	1	0.5	MYB44	1	1
29	~MYB44	3	1	0.5	MYB44	1	1
30	~MYB44	3	1	0.5	MYB44	1	1
31	~MYB44	3	1	0.5	MYB44	1	1
32	~MYB44	3	1	0.5	MYB44	1	1
33	HB5 | MYB44	2	2	0.0	HB5, MYB44	2	1
34	~DREB2A | ~MYB44	2	2	0.0	DREB2A, MYB44	2	1
35	HB7 | ~ABF4	2	2	0.0	ABF4, HB7	2	1
36	~ABA4 & ~DREB2A	2	2	0.0	ABA4, DREB2A	2	1
37	HB7 | MYB44	2	2	0.0	HB7, MYB44	2	1
38	ABCG31 | DREB2A	2	2	0.0	ABCG31, DREB2A	2	1
39	~HB6	2	1	0.5	HB6	1	1
40	~ABF4 | ~CYP707A3 | ~MYB44	2	3	0.0	ABF4, CYP707A3, MYB44	3	1
41	CYP707A3 | HB5	2	2	0.0	CYP707A3, HB5	2	1
42	~ABA4 | ~HB7	2	2	0.0	ABA4, HB7	2	1
43	HB5 | ~MYB44	2	2	0.0	HB5, MYB44	2	1
44	~FBH3 | ~MYB44	2	2	0.0	FBH3, MYB44	2	1
45	ABCG31	2	1	0.5	ABCG31	1	1
46	~DREB2A	2	1	0.5	DREB2A	1	1
47	~DREB2A	2	1	0.5	DREB2A	1	1
48	~DREB2A	2	1	0.5	DREB2A	1	1
49	~DREB2A	2	1	0.5	DREB2A	1	1
50	PP2C5	2	1	0.5	PP2C5	1	1
51	~ABA4	2	1	0.5	ABA4	1	1
52	~ABF4 | ~PP2C5 | (CYP707A3 & HB5)	2	4	0.5	ABF4, CYP707A3, HB5, PP2C5	4	1
53	~DREB2A	2	1	0.5	DREB2A	1	1
54	~DREB2A	2	1	0.5	DREB2A	1	1
55	~DREB2A	2	1	0.5	DREB2A	1	1
56	~CYP707A3	2	1	0.5	CYP707A3	1	1
57	~ABA4	2	1	0.5	ABA4	1	1
58	ABF4 | CYP707A3	1	2	0.0	ABF4, CYP707A3	2	1
59	DREB2A & ~ABF3 & ~CYP707A3	1	3	0.0	ABF3, CYP707A3, DREB2A	3	1
60	DREB2A & ~ABA4	1	2	0.0	ABA4, DREB2A	2	1
61	ABF3 | ~ABA4	1	2	0.0	ABA4, ABF3	2	1
62	MYB44 | PP2C5	1	2	0.0	MYB44, PP2C5	2	1
63	MYB44 & ~ABF3	1	2	0.0	ABF3, MYB44	2	1
64	CYP707A3 | MYB44	1	2	0.0	CYP707A3, MYB44	2	1
65	ABA4 | (ABCG31 & MYB44)	1	3	0.0	ABA4, ABCG31, MYB44	3	1
