rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	ABA4 | MYB44	3	2	0.0	ABA4, MYB44	2	1
2	DREB2A | (~FBH3 & ~PP2C5)	3	3	0.0	DREB2A, FBH3, PP2C5	3	1
3	ABA4 | HB6 | ZAT6	3	3	0.0	ABA4, HB6, ZAT6	3	1
4	~ABCG31 | (~HB5 & ~MYB44)	3	3	0.0	ABCG31, HB5, MYB44	3	1
5	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	1
6	DREB2A | ~PP2C5	3	2	0.0	DREB2A, PP2C5	2	1
7	ABA4 | DREB2A	3	2	0.0	ABA4, DREB2A	2	1
8	HB6	3	1	0.5	HB6	1	1
9	DREB2A | HB6	3	2	0.0	DREB2A, HB6	2	1
10	HB6 | ZAT6	3	2	0.0	HB6, ZAT6	2	1
11	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	1
12	ABA4 | DREB2A	3	2	0.0	ABA4, DREB2A	2	1
13	HB6 & ~DREB2A & ~PP2C5	3	3	0.0	DREB2A, HB6, PP2C5	3	1
14	DREB2A | HB6	3	2	0.0	DREB2A, HB6	2	1
15	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	1
16	ABA4 | DREB2A	3	2	0.0	ABA4, DREB2A	2	1
17	ABA4 & ~DREB2A	3	2	0.0	ABA4, DREB2A	2	1
18	DREB2A | HB6	3	2	0.0	DREB2A, HB6	2	1
19	DREB2A | HB6 | ZAT6	3	3	0.0	DREB2A, HB6, ZAT6	3	1
20	ABA4 | ZAT6	3	2	0.0	ABA4, ZAT6	2	1
21	HB6 | MYB44	3	2	0.0	HB6, MYB44	2	1
22	ABA4 | DREB2A | HB6	3	3	0.0	ABA4, DREB2A, HB6	3	1
23	ABA4 | DREB2A | ~PP2C5	3	3	0.0	ABA4, DREB2A, PP2C5	3	1
24	ABA4 | FBH3	3	2	0.0	ABA4, FBH3	2	1
25	ABA4 | DREB2A	3	2	0.0	ABA4, DREB2A	2	1
26	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	1
27	DREB2A | HB6 | MYB44	3	3	0.0	DREB2A, HB6, MYB44	3	1
28	DREB2A | HB6	3	2	0.0	DREB2A, HB6	2	1
29	ABA4 | DREB2A	3	2	0.0	ABA4, DREB2A	2	1
30	HB6 | ZAT6	3	2	0.0	HB6, ZAT6	2	1
31	ABA4 | ABF4 | MYB44	3	3	0.0	ABA4, ABF4, MYB44	3	1
32	ABA4 | ABF4	3	2	0.0	ABA4, ABF4	2	1
33	HB6	3	1	0.5	HB6	1	1
34	HB6	3	1	0.5	HB6	1	1
35	~PP2C5	3	1	0.5	PP2C5	1	1
36	ABA4	3	1	0.5	ABA4	1	1
37	HB6	3	1	0.5	HB6	1	1
38	DREB2A | ~HB5 | (~ABCG31 & ~ZAT6)	3	4	0.5	ABCG31, DREB2A, HB5, ZAT6	4	1
39	ABA4	3	1	0.5	ABA4	1	1
40	HB6	3	1	0.5	HB6	1	1
41	HB6	3	1	0.5	HB6	1	1
42	ABA4	3	1	0.5	ABA4	1	1
43	~ABCG31	3	1	0.5	ABCG31	1	1
44	DREB2A | MYB44	2	2	0.0	DREB2A, MYB44	2	1
45	HB5 | ZAT6	2	2	0.0	HB5, ZAT6	2	1
46	ABA4 | CYP707A3 | DREB2A	2	3	0.0	ABA4, CYP707A3, DREB2A	3	1
47	ABCG31 | HB5	2	2	0.0	ABCG31, HB5	2	1
48	ABA4 | PP2C5	2	2	0.0	ABA4, PP2C5	2	1
49	HB5 | ZAT6	2	2	0.0	HB5, ZAT6	2	1
50	ABA4 | PP2C5	2	2	0.0	ABA4, PP2C5	2	1
51	ABA4 & MYB44	2	2	0.0	ABA4, MYB44	2	1
52	DREB2A | MYB44	2	2	0.0	DREB2A, MYB44	2	1
53	ABA4 | PP2C5	2	2	0.0	ABA4, PP2C5	2	1
54	HB6 | PP2C5 | ZAT6	2	3	0.0	HB6, PP2C5, ZAT6	3	1
55	HB5 | HB6	2	2	0.0	HB5, HB6	2	1
56	HB5 | (MYB44 & ZAT6)	2	3	0.0	HB5, MYB44, ZAT6	3	1
57	ABA4 | PP2C5	2	2	0.0	ABA4, PP2C5	2	1
58	CYP707A3 | HB6	2	2	0.0	CYP707A3, HB6	2	1
59	HB7	2	1	0.5	HB7	1	1
60	HB7	2	1	0.5	HB7	1	1
61	~DREB2A	2	1	0.5	DREB2A	1	1
62	~DREB2A	2	1	0.5	DREB2A	1	1
63	MYB44	2	1	0.5	MYB44	1	1
64	ABCG31 | HB6 | PP2C5 | ZAT6	2	4	0.5	ABCG31, HB6, PP2C5, ZAT6	4	1
65	HB5	2	1	0.5	HB5	1	1
66	~DREB2A	2	1	0.5	DREB2A	1	1
67	HB7	2	1	0.5	HB7	1	1
68	MYB44 | (ABCG31 & ABF4 & HB6)	2	4	0.5	ABCG31, ABF4, HB6, MYB44	4	1
69	HB5	2	1	0.5	HB5	1	1
70	~ZAT6	2	1	0.5	ZAT6	1	1
71	HB7 | MYB44 | ZAT6 | (ABF3 & HB6)	2	5	1.0	ABF3, HB6, HB7, MYB44, ZAT6	5	1
72	DREB2A & HB6	1	2	0.0	DREB2A, HB6	2	1
73	ABCG31 | MYB44	1	2	0.0	ABCG31, MYB44	2	1
74	HB6 & PP2C5	1	2	0.0	HB6, PP2C5	2	1
75	PP2C5 | ~ABF3	1	2	0.0	ABF3, PP2C5	2	1
76	DREB2A | (ABA4 & PP2C5)	1	3	0.0	ABA4, DREB2A, PP2C5	3	1
77	ABCG31 & ZAT6	1	2	0.0	ABCG31, ZAT6	2	1
78	DREB2A & PP2C5	1	2	0.0	DREB2A, PP2C5	2	1
79	FBH3 | ZAT6	1	2	0.0	FBH3, ZAT6	2	1
80	DREB2A | FBH3	1	2	0.0	DREB2A, FBH3	2	1
81	ABA4 & DREB2A	1	2	0.0	ABA4, DREB2A	2	1
82	ABF4 & FBH3	1	2	0.0	ABF4, FBH3	2	1
83	ABF4 | DREB2A	1	2	0.0	ABF4, DREB2A	2	1
84	HB6 & HB7 & PP2C5	1	3	0.0	HB6, HB7, PP2C5	3	1
85	DREB2A	1	1	0.5	DREB2A	1	1
86	FBH3	1	1	0.5	FBH3	1	1
87	ZAT6	1	1	0.5	ZAT6	1	1
88	ABF4	1	1	0.5	ABF4	1	1
89	~MYB44	1	1	0.5	MYB44	1	1
90	~MYB44	1	1	0.5	MYB44	1	1
91	~MYB44	1	1	0.5	MYB44	1	1
92	DREB2A | PP2C5	0	2	0.0	DREB2A, PP2C5	2	1
93	ABCG31 | ~HB6	0	2	0.0	ABCG31, HB6	2	1
94	ABCG31 | DREB2A	0	2	0.0	ABCG31, DREB2A	2	1
95	ABCG31 | (DREB2A & MYB44)	0	3	0.0	ABCG31, DREB2A, MYB44	3	1
96	~HB6 & ~ZAT6	0	2	0.0	HB6, ZAT6	2	1
97	ABF4 | PP2C5	0	2	0.0	ABF4, PP2C5	2	1
98	ABCG31	0	1	0.5	ABCG31	1	1
99	~HB6	0	1	0.5	HB6	1	1
100	~ABA4	0	1	0.5	ABA4	1	1
