Gene	Position	Rule	Correct	N_Regulators	MSE	Score
ABA4	1	~MYB44	3	3		1.9375
ABCG31	2	ZAT6 & ~MYB44	3	2		1.9375
ABCG31	3	HB5 & ZAT6	3	2		1.9375
ABF3	3	DREB2A | HB6	3	2		1.9375
ABF4	1	ABF4 | (HB6 & MYB44)	3	2		1.9375
ABF4	2	HB5 & HB7 & MYB44	3	3		1.9375
CYP707A3	1	ABA4 & ~ABF3	3	2		1.9375
DREB2A	1	ABF3 | ABF4	3	2		1.9375
DREB2A	2	MYB44 & ~ABF4	3	2		1.9375
FBH3	2	ABF3 & HB7	3	2		1.9375
FBH3	3	ABF3 & MYB44	3	2		1.9375
HB5	2	DREB2A | ~MYB44	3	2		1.9375
HB5	3	DREB2A | ~ABF3	3	2		1.9375
HB6	1	ABF4 | HB5	3	2		1.9375
HB7	1	~ABF3 & ~MYB44	3	2		1.9375
HB7	2	~ABF3 | ~CYP707A3	3	2		1.9375
MYB44	1	ABF3 | HB6	3	2		1.9375
PP2C5	2	ABF3 & FBH3	3	2		1.9375
PP2C5	3	ZAT6 | ~HB7	3	2		1.9375
ZAT6	1	ABF3 | MYB44	3	2		1.9375
ZAT6	2	CYP707A3 & MYB44	3	2		1.9375
ZAT6	3	DREB2A | MYB44	3	2		1.9375
