Gene	Pattern	Frequency
CYP707A3	1010	1
PYL2	1011	1
ZAT6	0011	2
PYL11	0011	2
NCED5	0110	2
ABA2	0110	2
SnRK3_22	0111	2
RCAR3	0111	2
CPK6	0101	3
SnRK2_2	0101	3
PYL7	0101	3
FBH3	1001	3
AIT1	1001	3
DREB2A	1001	3
AFP2	1101	3
DWA1	1101	3
SnRK2_1	1101	3
BG1	1110	4
PYL4	1110	4
PYL6	1110	4
PYL5	1110	4
PYL3	0010	6
PP2C5	0010	6
NCED2	0010	6
PYL10	0010	6
AHG1	0010	6
MYB44	0010	6
HAI3	0100	6
PYR1	0100	6
CPK3	0100	6
PYL1	0100	6
SnRK2_5	0100	6
HB5	0100	6
ABCG40	1100	6
SnRK2_10	1100	6
DWA2	1100	6
OST1	1100	6
CPK1	1100	6
CPK12	1100	6
ABA3	1000	7
AAO3	1000	7
ABCG31	1000	7
TMAC2	1000	7
CYP707A4	1000	7
ABCG30	1000	7
HB7	1000	7
RCAR1	0001	46
HAI2	0001	46
SnRK2_4	0001	46
AT1G16850	0001	46
HAB2	0001	46
MYB3	0001	46
ABF2	0001	46
ABF1	0001	46
NFYC2	0001	46
ABA4	0001	46
AFP1	0001	46
ABCG25	0001	46
HAB1	0001	46
ANAC032	0001	46
SnRK2_8	0001	46
NCED9	0001	46
HB6	0001	46
SnRK2_9	0001	46
CYP707A2	0001	46
LEA4_2	0001	46
EM6	0001	46
COR15	0001	46
GBF3	0001	46
AHG3	0001	46
NCED3	0001	46
ABF4	0001	46
AFP3	0001	46
EDL3	0001	46
GBF2	0001	46
CYP707A1	0001	46
ABI1	0001	46
RD26	0001	46
ABF3	0001	46
HAT22	0001	46
SnRK2_7	0001	46
SnRK3_15	0001	46
MUK11_7	0001	46
LEA4_5	0001	46
HSFA6A	0001	46
NFYB2	0001	46
RD29A	0001	46
ABI2	0001	46
HAI1	0001	46
ANAC102	0001	46
SnRK2_3	0001	46
ABA1/ZEP	0001	46
