Gene	Pattern	Frequency
PYL10	0100	1
TMAC2	1001	1
CYP707A3	1010	1
RCAR1	0111	2
HB6	0111	2
PYL2	1011	2
CYP707A4	1011	2
NCED5	0010	4
ABA2	0010	4
BG1	0010	4
SnRK2_5	0010	4
ABA4	0110	4
SnRK2_8	0110	4
CPK3	0110	4
PYL11	0110	4
ABCG31	1000	6
PYL4	1000	6
PP2C5	1000	6
PYL6	1000	6
CPK1	1000	6
PYL5	1000	6
AIT1	1110	7
PYR1	1110	7
CPK12	1110	7
PYL1	1110	7
HB7	1110	7
RCAR3	1110	7
HB5	1110	7
MYB3	0011	13
ABF1	0011	13
ABCG25	0011	13
DWA2	0011	13
DWA1	0011	13
SnRK2_9	0011	13
SnRK3_22	0011	13
COR15	0011	13
SnRK2_2	0011	13
NCED2	0011	13
ABF3	0011	13
SnRK2_3	0011	13
MYB44	0011	13
HAI2	0001	51
SnRK2_4	0001	51
AFP2	0001	51
ABCG40	0001	51
ABA3	0001	51
AT1G16850	0001	51
HAB2	0001	51
ABF2	0001	51
FBH3	0001	51
NFYC2	0001	51
SnRK2_10	0001	51
AFP1	0001	51
HAB1	0001	51
PYL3	0001	51
ANAC032	0001	51
NCED9	0001	51
CPK6	0001	51
AAO3	0001	51
CYP707A2	0001	51
HAI3	0001	51
LEA4_2	0001	51
EM6	0001	51
GBF3	0001	51
AHG3	0001	51
NCED3	0001	51
ABF4	0001	51
AFP3	0001	51
EDL3	0001	51
PYL7	0001	51
GBF2	0001	51
ABCG30	0001	51
CYP707A1	0001	51
ABI1	0001	51
RD26	0001	51
OST1	0001	51
HAT22	0001	51
SnRK2_7	0001	51
SnRK3_15	0001	51
ZAT6	0001	51
MUK11_7	0001	51
DREB2A	0001	51
LEA4_5	0001	51
SnRK2_1	0001	51
HSFA6A	0001	51
NFYB2	0001	51
AHG1	0001	51
RD29A	0001	51
ABI2	0001	51
HAI1	0001	51
ANAC102	0001	51
ABA1/ZEP	0001	51
