Gene	Pattern	Frequency
PYL10	0100	1
TMAC2	1001	1
PYL4	1100	1
ABA2	0010	2
BG1	0010	2
RCAR1	0111	2
HB6	0111	2
PYL5	1010	2
CYP707A3	1010	2
PYL2	1011	2
CYP707A4	1011	2
ABCG31	1000	4
PP2C5	1000	4
PYL6	1000	4
CPK1	1000	4
ABA4	0110	6
SnRK2_8	0110	6
CPK3	0110	6
PYL11	0110	6
SnRK2_5	0110	6
HB5	0110	6
AIT1	1110	6
PYR1	1110	6
CPK12	1110	6
PYL1	1110	6
HB7	1110	6
RCAR3	1110	6
MYB3	0011	16
NCED5	0011	16
ABF1	0011	16
SnRK2_10	0011	16
ABCG25	0011	16
DWA2	0011	16
DWA1	0011	16
SnRK2_9	0011	16
SnRK3_22	0011	16
COR15	0011	16
SnRK2_2	0011	16
PYL7	0011	16
NCED2	0011	16
ABF3	0011	16
SnRK2_3	0011	16
MYB44	0011	16
HAI2	0001	49
SnRK2_4	0001	49
AFP2	0001	49
ABCG40	0001	49
ABA3	0001	49
AT1G16850	0001	49
HAB2	0001	49
ABF2	0001	49
FBH3	0001	49
NFYC2	0001	49
AFP1	0001	49
HAB1	0001	49
PYL3	0001	49
ANAC032	0001	49
NCED9	0001	49
CPK6	0001	49
AAO3	0001	49
CYP707A2	0001	49
HAI3	0001	49
LEA4_2	0001	49
EM6	0001	49
GBF3	0001	49
AHG3	0001	49
NCED3	0001	49
ABF4	0001	49
AFP3	0001	49
EDL3	0001	49
GBF2	0001	49
ABCG30	0001	49
CYP707A1	0001	49
ABI1	0001	49
RD26	0001	49
OST1	0001	49
HAT22	0001	49
SnRK2_7	0001	49
SnRK3_15	0001	49
ZAT6	0001	49
MUK11_7	0001	49
DREB2A	0001	49
LEA4_5	0001	49
SnRK2_1	0001	49
HSFA6A	0001	49
NFYB2	0001	49
AHG1	0001	49
RD29A	0001	49
ABI2	0001	49
HAI1	0001	49
ANAC102	0001	49
ABA1/ZEP	0001	49
