ID	SRR7624701	SRR7624714	SRR7624720	SRR7624711	SRR7624719	SRR7624695	SRR7624715	SRR7624710	SRR7624706	SRR7624700	SRR7624694	SRR7624735	SRR7624716	SRR7624723	SRR7624717	SRR7624698	SRR7624697	SRR7624707	SRR7624718	SRR7624696	SRR7624699
AT1G01010	164	84	119	118	130	74	63	85	247	179	149	290	129	4	122	65	173	158	129	182	83
AT1G01020	301	461	296	438	329	134	28	438	406	489	282	365	456	219	500	298	448	481	219	307	299
AT1G01030	22	39	42	3	52	42	10	52	35	72	18	33	52	3	72	16	27	18	41	33	19
AT1G01040	680	392	965	551	1001	194	82	416	1322	934	440	1676	376	21	841	353	883	929	692	888	388
AT1G01050	2892	2189	2302	2808	2815	1623	372	2472	2458	2922	2599	2338	4286	493	3215	2030	2959	3377	1954	2680	2005
AT1G01060	16	31	5	14	12	4	0	16	148	16	8	950	11	0	12	21	17	53	14	10	40
AT1G01070	299	155	122	395	115	127	56	157	423	294	196	176	202	36	182	197	347	378	109	282	164
AT1G01080	3321	3931	3936	2001	4264	2418	1108	4164	394	4150	2230	400	7164	1590	5019	2356	3092	793	3116	2075	2385
AT1G01090	3731	5165	4515	3626	5240	2384	1787	5505	2517	6141	2840	2284	5738	1588	6580	3044	4083	3491	4058	2685	3219
AT1G01100	7356	10886	8001	6399	9151	4302	7920	7722	4448	8005	7038	4521	12440	11218	7477	3942	7425	6341	6452	7365	5349
AT1G01110	108	107	69	69	60	51	18	67	14	161	113	10	65	19	80	40	163	9	77	160	53
AT1G01120	2401	2678	2994	1347	3117	1743	1107	3997	189	2453	1572	92	4623	1212	3376	1700	2058	317	2241	1922	1328
AT1G01130	139	156	183	99	150	85	52	143	55	134	157	48	180	185	114	68	146	66	123	180	78
AT1G01140	1861	772	1543	894	1893	542	232	956	1100	1979	544	1083	968	145	1886	758	1217	845	1438	1455	916
AT1G01150	4	11	3	3	3	13	0	16	0	10	3	0	22	0	18	1	7	4	4	11	4
AT1G01160	605	673	515	941	579	430	101	611	1659	891	675	1598	775	130	658	667	1050	1670	408	770	878
AT1G01170	3224	3126	1943	5308	2147	1977	1501	2877	1026	2957	4718	1011	5217	3073	2924	3199	3911	1628	1769	4147	4502
AT1G01180	378	454	273	687	294	381	163	454	112	428	377	119	1169	916	514	801	330	187	281	382	721
AT1G01190	77	107	399	8	317	17	0	65	0	116	2	3	152	2	157	48	12	11	227	19	34
AT1G01200	67	93	54	98	71	46	0	32	4	67	93	1	135	92	71	29	67	3	38	82	46
AT1G01210	478	591	438	670	480	265	31	488	1090	498	534	1015	800	508	487	422	680	946	388	489	566
AT1G01220	960	526	1002	217	1122	362	68	591	714	1205	598	817	742	19	1249	261	985	644	787	815	256
AT1G01225	95	134	102	116	127	72	50	145	38	142	111	49	252	54	127	100	125	57	111	145	106
AT1G01230	1200	1548	707	2353	883	994	253	1559	1448	1413	1406	1144	2746	1418	1535	1852	1577	1830	666	1224	2050
AT1G01240	1471	1342	659	2242	807	1027	283	1704	7112	1764	2271	5107	2278	312	1645	2286	2825	4218	716	2391	2250
AT1G01250	96	97	52	1260	44	75	61	88	982	64	323	914	103	163	79	397	289	1670	29	213	635
AT1G01260	400	270	382	214	465	199	88	233	572	466	409	454	493	26	594	263	377	479	325	406	234
AT1G01280	0	0	0	0	0	0	0	10	0	0	64	0	0	0	0	0	79	0	0	47	0
