Name	Tissue	Treatment	Time	Condition
SRR7624718	Rosette_leaf	None	0	Rosette_leaf_Control_0
SRR7624719	Rosette_leaf	None	0	Rosette_leaf_Control_0
SRR7624720	Rosette_leaf	None	0	Rosette_leaf_Control_0
SRR7624715	Rosette_leaf	Control	7200	Rosette_leaf_Control_7200
SRR7624716	Rosette_leaf	Control	7200	Rosette_leaf_Control_7200
SRR7624717	Rosette_leaf	Control	7200	Rosette_leaf_Control_7200
SRR7624695	Rosette_leaf	Drougth	7200	Rosette_leaf_Drougth_7200
SRR7624700	Rosette_leaf	Drougth	7200	Rosette_leaf_Drougth_7200
SRR7624701	Rosette_leaf	Drougth	7200	Rosette_leaf_Drougth_7200
SRR7624710	Rosette_leaf	Control	15840	Rosette_leaf_Control_15840
SRR7624714	Rosette_leaf	Control	15840	Rosette_leaf_Control_15840
SRR7624723	Rosette_leaf	Control	15840	Rosette_leaf_Control_15840
SRR7624694	Rosette_leaf	Drougth	15840	Rosette_leaf_Drougth_15840
SRR7624696	Rosette_leaf	Drougth	15840	Rosette_leaf_Drougth_15840
SRR7624697	Rosette_leaf	Drougth	15840	Rosette_leaf_Drougth_15840
SRR7624698	Rosette_leaf	Control	20160	Rosette_leaf_Control_20160
SRR7624699	Rosette_leaf	Control	20160	Rosette_leaf_Control_20160
SRR7624711	Rosette_leaf	Control	20160	Rosette_leaf_Control_20160
SRR7624706	Rosette_leaf	Drougth	20160	Rosette_leaf_Drougth_20160
SRR7624707	Rosette_leaf	Drougth	20160	Rosette_leaf_Drougth_20160
SRR7624735	Rosette_leaf	Drougth	20160	Rosette_leaf_Drougth_20160
