ID	Rosette_leaf_Control_0	Rosette_leaf_Drougth_7200	Rosette_leaf_Drougth_15840	Rosette_leaf_Drougth_20160
RCAR1	279.3333	601.6667	698	705
HAI2	14.33333	58.66667	681.66667	7079.66667
SnRK2_4	1503.333	1815	2170.333	3479.333
AFP2	363.6667	255.6667	338	459.3333
ABCG40	57.33333	56.33333	73.66667	109.33333
ABA3	228.6667	227	372	932.3333
AT1G16850	216.3333	302.3333	4865.6667	31948.3333
HAB2	1299	1656.333	2723	8155.667
MYB3	314	412.6667	983.6667	1313
NCED5	9	10.66667	14.33333	12
ABF2	555.6667	758.6667	1406	5303.6667
ABF1	1040.667	954	1859.667	2623.333
FBH3	1648	1357	3407.333	11053
ABA2	476	540.6667	646	423.3333
BG1	6515.333	11714	75072	3951.667
NFYC2	0	0	17	972.3333
SnRK2_10	1668.667	1734.333	2108	2503.667
ABA4	562.3333	806	876.3333	579.6667
AFP1	30	93.66667	401	3505.66667
AIT1	790.3333	624.6667	790.3333	323.3333
ABCG25	236	233.6667	392	544.3333
HAB1	366.3333	526.3333	1113.3333	8622.6667
PYL3	0	0.3333333	0.6666667	28
DWA2	352.3333	362	457	428.6667
ANAC032	59.66667	74	147	5068.66667
SnRK2_8	76.66667	168	137	69
NCED9	0	0	0.6666667	13
CPK6	449.3333	742	1043.6667	1965
DWA1	460.6667	510.6667	644	678
HB6	4866.333	11114	9520	13150.333
SnRK2_9	15.66667	8	51.66667	49.33333
PYL2	7.333333	4.666667	6.333333	6
AAO3	625	534	717	4578
CYP707A2	69.66667	34	146	817.33333
HAI3	0.3333333	3.6666667	3.6666667	751.6666667
ABCG31	102.33333	51.66667	66	35.33333
SnRK3_22	158.6667	276	441.3333	554.3333
LEA4_2	0.6666667	2	12.3333333	987.3333333
PYL4	732.66667	418	222	17.66667
EM6	0	0.3333333	5.3333333	372.6666667
PP2C5	8.666667	4.666667	3.666667	3.333333
PYL6	79.333333	18.666667	9.333333	0
COR15	6336.667	3319.333	44415.333	58236
GBF3	54.33333	255	650.33333	4286.66667
TMAC2	133.33333	34	53.33333	167.66667
AHG3	1729.667	2562	7546.333	25199
NCED3	151.6667	91	207.6667	1142
CYP707A4	52	19.33333	53.66667	69
ABF4	574.3333	593	1043.6667	2611
AFP3	147.3333	237.6667	1460	5742.3333
SnRK2_2	5955.667	7298.333	11447.667	14231.667
EDL3	6	7.666667	10.666667	192.666667
PYL7	731	890.6667	1307.6667	1757.3333
GBF2	611	473.6667	766.3333	1868
ABCG30	53	36.33333	39	127.33333
PYR1	896.6667	977.6667	1046.3333	483.3333
NCED2	0.6666667	2	15.6666667	22
CYP707A1	120	63.66667	372.33333	1489.66667
CPK3	3212.667	4003.333	4036.333	2723
ABI1	1215.667	2405.667	4241.333	8846.333
RD26	661	424.6667	1089.3333	14221.6667
PYL10	0	1.333333	0	0
OST1	527.3333	380.6667	627	1378.3333
ABF3	273.3333	326	1182.6667	1402
HAT22	694.3333	790	1076	3462
SnRK2_7	16	27.66667	63.33333	584
SnRK3_15	287.6667	353	1178.3333	3320
ZAT6	157	92	414	3217.333
MUK11_7	487	386	1299.667	4786.667
CPK1	1510	1301.667	1201.667	1177
DREB2A	206.66667	97.66667	325.66667	5596.66667
PYL5	359.333333	109.666667	215	5.666667
LEA4_5	7	18.33333	366.33333	16514.66667
SnRK2_1	2609.333	2740.667	3114.667	5765.333
CPK12	610.3333	609	670.6667	190
HSFA6A	0.6666667	4.6666667	206.3333333	2064.6666667
CYP707A3	472.6667	165.3333	717.6667	154.6667
PYL11	1.3333333	2.3333333	3.3333333	0.3333333
PYL1	791.3333	638.3333	547.3333	251
HB7	310.66667	197	186.66667	47.33333
NFYB2	2037.333	2702	3621	5332.667
AHG1	0	1	1.333333	246.666667
RD29A	7596.333	3087.333	18684.333	115424.333
RCAR3	2392.6667	3632.6667	2862.3333	719.3333
ABI2	255.6667	420.6667	1483.6667	10769.3333
HAI1	13.33333	46.66667	882	19295
SnRK2_5	105.66667	183	273	50.33333
ANAC102	630.6667	553	530.3333	2575.6667
HB5	1854	3604	2947	745
SnRK2_3	1323.333	1738.333	3145.333	3084.333
ABA1/ZEP	3319.333	2552	4541.333	8137.333
MYB44	2808.333	1269.333	4485.667	4472.333
