Size	Method	Rep	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	Specificity	MCC	Balanced_Accuracy	Coverage_Ratio	DynamicAccuracy	N_Predicciones	N_GoldStandard	Reguladores_Promedio	Reguladores_Mediana	Reguladores_Max	Error_Promedio
size10_1	BoolNet_bestfit	1_5times	4	10	11	65	0.285714285714286	0.266666666666667	0.275862068965517	0.766666666666667	0.866666666666667	0.13710212427677	0.566666666666667	0.933333333333333	1	14	15	1.4	1.5	2	0
size10_1	BoolNet_bestfit	1	9	32	6	43	0.219512195121951	0.6	0.321428571428571	0.577777777777778	0.573333333333333	0.129708483500065	0.586666666666667	2.73333333333333	0.975	41	15	4.1	4	5	0.5
size10_1	BoolNet_bestfit	2_5times	0	7	15	68	0	0	0	0.755555555555556	0.906666666666667	-0.129874823886379	0.453333333333333	0.466666666666667	1	7	15	0.7	1	2	0
size10_1	BoolNet_bestfit	2	5	28	10	47	0.151515151515152	0.333333333333333	0.208333333333333	0.577777777777778	0.626666666666667	-0.0309344112444873	0.48	2.2	0.945	33	15	3.3	4	5	1.1
size10_1	BoolNet_bestfit	3_5times	2	5	13	70	0.285714285714286	0.133333333333333	0.181818181818182	0.8	0.933333333333333	0.0927677313474139	0.533333333333333	0.466666666666667	1	7	15	0.7	1	1	0
size10_1	BoolNet_bestfit	3	4	25	11	50	0.137931034482759	0.266666666666667	0.181818181818182	0.6	0.666666666666667	-0.0531644206650152	0.466666666666667	1.93333333333333	0.96	29	15	2.9	3	4	0.8
size10_1	BoolNet_bestfit	4_5times	0	6	15	69	0	0	0	0.766666666666667	0.92	-0.119522860933439	0.46	0.4	1	6	15	0.6	1	1	0
size10_1	BoolNet_bestfit	4	4	23	11	52	0.148148148148148	0.266666666666667	0.19047619047619	0.622222222222222	0.693333333333333	-0.0325300024316178	0.48	1.8	0.945	27	15	2.7	3	4	1.1
size10_1	BoolNet_bestfit	5_5times	2	7	13	68	0.222222222222222	0.133333333333333	0.166666666666667	0.777777777777778	0.906666666666667	0.0496903994999953	0.52	0.6	1	9	15	0.9	1	2	0
size10_1	BoolNet_bestfit	5	8	28	7	47	0.222222222222222	0.533333333333333	0.313725490196078	0.611111111111111	0.626666666666667	0.121716123890037	0.58	2.4	0.98	36	15	3.6	4	5	0.4
size10_2	BoolNet_bestfit	1_5times	3	8	13	66	0.272727272727273	0.1875	0.222222222222222	0.766666666666667	0.891891891891892	0.0926706297224858	0.539695945945946	0.6875	1	11	16	1.1	1	2	0
size10_2	BoolNet_bestfit	1	6	30	10	44	0.166666666666667	0.375	0.230769230769231	0.555555555555556	0.594594594594595	-0.0237289498938125	0.484797297297297	2.25	0.95	36	16	3.6	4	5	1
size10_2	BoolNet_bestfit	2_5times	0	5	16	69	0	0	0	0.766666666666667	0.932432432432432	-0.11277677488692	0.466216216216216	0.3125	0.875	5	16	0.5	0.5	1	0.5
size10_2	BoolNet_bestfit	2	8	24	8	50	0.25	0.5	0.333333333333333	0.644444444444444	0.675675675675676	0.140313189827312	0.587837837837838	2	0.96	32	16	3.2	3.5	4	0.8
size10_2	BoolNet_bestfit	3_5times	1	4	15	70	0.2	0.0625	0.0952380952380952	0.788888888888889	0.945945945945946	0.014097096860865	0.504222972972973	0.3125	1	5	16	0.5	0.5	1	0
size10_2	BoolNet_bestfit	3	3	29	13	45	0.09375	0.1875	0.125	0.533333333333333	0.608108108108108	-0.163248999702931	0.397804054054054	2	0.97	32	16	3.2	4	5	0.6
size10_2	BoolNet_bestfit	4_5times	0	9	16	65	0	0	0	0.722222222222222	0.878378378378378	-0.154996851658426	0.439189189189189	0.5625	1	9	16	0.9	1	2	0
size10_2	BoolNet_bestfit	4	6	27	10	47	0.181818181818182	0.375	0.244897959183673	0.588888888888889	0.635135135135135	0.00804101731093781	0.505067567567568	2.0625	0.965	33	16	3.3	3	5	0.7
size10_2	BoolNet_bestfit	5_5times	1	8	15	66	0.111111111111111	0.0625	0.08	0.744444444444444	0.891891891891892	-0.0581238193719096	0.477195945945946	0.5625	1	9	16	0.9	1	2	0
size10_2	BoolNet_bestfit	5	7	26	9	48	0.212121212121212	0.4375	0.285714285714286	0.611111111111111	0.648648648648649	0.0683486471429714	0.543074324324324	2.0625	0.96	33	16	3.3	3.5	5	0.8
size10_3	BoolNet_bestfit	1_5times	3	5	12	70	0.375	0.2	0.260869565217391	0.811111111111111	0.933333333333333	0.174607573942395	0.566666666666667	0.533333333333333	1	8	15	0.8	1	2	0
size10_3	BoolNet_bestfit	1	9	20	6	55	0.310344827586207	0.6	0.409090909090909	0.711111111111111	0.733333333333333	0.265822103325076	0.666666666666667	1.93333333333333	0.98	29	15	2.9	3	5	0.4
size10_3	BoolNet_bestfit	2_5times	2	12	13	63	0.142857142857143	0.133333333333333	0.137931034482759	0.722222222222222	0.84	-0.0274204248553541	0.486666666666667	0.933333333333333	1	14	15	1.4	2	2	0
size10_3	BoolNet_bestfit	2	6	34	9	41	0.15	0.4	0.218181818181818	0.522222222222222	0.546666666666667	-0.04	0.473333333333333	2.66666666666667	0.98	40	15	4	4	5	0.4
size10_3	BoolNet_bestfit	3_5times	2	11	13	64	0.153846153846154	0.133333333333333	0.142857142857143	0.733333333333333	0.853333333333333	-0.0141350698548044	0.493333333333333	0.866666666666667	1	13	15	1.3	1.5	2	0
size10_3	BoolNet_bestfit	3	6	27	9	48	0.181818181818182	0.4	0.25	0.6	0.64	0.0309344112444873	0.52	2.2	0.955	33	15	3.3	3	5	0.9
size10_3	BoolNet_bestfit	4_5times	3	10	12	65	0.230769230769231	0.2	0.214285714285714	0.755555555555556	0.866666666666667	0.0706753492740219	0.533333333333333	0.866666666666667	1	13	15	1.3	1.5	2	0
size10_3	BoolNet_bestfit	4	6	29	9	46	0.171428571428571	0.4	0.24	0.577777777777778	0.613333333333333	0.0101929438287525	0.506666666666667	2.33333333333333	0.99	35	15	3.5	4	5	0.2
size10_3	BoolNet_bestfit	5_5times	2	10	13	65	0.166666666666667	0.133333333333333	0.148148148148148	0.744444444444444	0.866666666666667	0	0.5	0.8	1	12	15	1.2	1	2	0
size10_3	BoolNet_bestfit	5	4	19	11	56	0.173913043478261	0.266666666666667	0.210526315789474	0.666666666666667	0.746666666666667	0.0113923594282302	0.506666666666667	1.53333333333333	0.95	23	15	2.3	2	4	1
size10_4	BoolNet_bestfit	1_5times	1	10	12	67	0.0909090909090909	0.0769230769230769	0.0833333333333333	0.755555555555556	0.87012987012987	-0.0568262428050566	0.473526473526473	0.846153846153846	1	11	13	1.1	1	2	0
size10_4	BoolNet_bestfit	1	5	25	8	52	0.166666666666667	0.384615384615385	0.232558139534884	0.633333333333333	0.675324675324675	0.0446990156267674	0.52997002997003	2.30769230769231	0.945	30	13	3	3	4	1.1
size10_4	BoolNet_bestfit	2_5times	2	6	11	71	0.25	0.153846153846154	0.19047619047619	0.811111111111111	0.922077922077922	0.0937874296844395	0.537962037962038	0.615384615384615	1	8	13	0.8	1	2	0
size10_4	BoolNet_bestfit	2	5	32	8	45	0.135135135135135	0.384615384615385	0.2	0.555555555555556	0.584415584415584	-0.0221261503046141	0.484515484515485	2.84615384615385	0.97	37	13	3.7	3.5	5	0.6
size10_4	BoolNet_bestfit	3_5times	1	5	12	72	0.166666666666667	0.0769230769230769	0.105263157894737	0.811111111111111	0.935064935064935	0.0168946398854024	0.505994005994006	0.461538461538462	1	6	13	0.6	1	1	0
size10_4	BoolNet_bestfit	3	3	23	10	54	0.115384615384615	0.230769230769231	0.153846153846154	0.633333333333333	0.701298701298701	-0.0526884245708902	0.466033966033966	2	0.955	26	13	2.6	2.5	4	0.9
size10_4	BoolNet_bestfit	4_5times	2	7	11	70	0.222222222222222	0.153846153846154	0.181818181818182	0.8	0.909090909090909	0.073749613144785	0.531468531468531	0.692307692307692	1	9	13	0.9	1	1	0
size10_4	BoolNet_bestfit	4	7	25	6	52	0.21875	0.538461538461538	0.311111111111111	0.655555555555556	0.675324675324675	0.157002926872306	0.606893106893107	2.46153846153846	0.97	32	13	3.2	3	5	0.6
size10_4	BoolNet_bestfit	5_5times	1	9	12	68	0.1	0.0769230769230769	0.0869565217391304	0.766666666666667	0.883116883116883	-0.0446990156267674	0.48001998001998	0.769230769230769	1	10	13	1	1	2	0
size10_4	BoolNet_bestfit	5	3	35	10	42	0.0789473684210526	0.230769230769231	0.117647058823529	0.5	0.545454545454545	-0.159271294354638	0.388111888111888	2.92307692307692	0.97	38	13	3.8	4	5	0.6
size10_5	BoolNet_bestfit	1_5times	2	5	10	73	0.285714285714286	0.166666666666667	0.210526315789474	0.833333333333333	0.935897435897436	0.130180292337871	0.551282051282051	0.583333333333333	1	7	12	0.7	1	1	0
size10_5	BoolNet_bestfit	1	1	22	11	56	0.0434782608695652	0.0833333333333333	0.0571428571428571	0.633333333333333	0.717948717948718	-0.154872283028039	0.400641025641026	1.91666666666667	0.97	23	12	2.3	2	4	0.6
