Gen	Regla	Error	N_reguladores
G1	(!G2 & !G3 & !G4 & G5) | (!G2 & !G3 & G4 & !G5) | (!G2 & G4 & !G5 & G10) | (!G3 & !G4 & G5 & G10) | (G2 & !G3 & G5 & G10)	1	5
G2	(!G9)	0	1
G3	(!G1 & !G2 & G4 & !G5 & !G10) | (!G1 & G2 & !G4 & G5) | (!G1 & G2 & G5 & G10) | (G1 & !G2 & !G5 & G10) | (G1 & G2 & !G4 & !G5 & !G10)	1	5
G4	(!G3 & !G4 & !G7 & !G8 & !G10) | (!G3 & G4 & !G7 & !G8 & G10) | (!G3 & G4 & G7 & G8 & !G10) | (G3 & !G4 & G7 & G8 & !G10) | (G3 & G4 & G7 & G8 & G10)	2	5
G5	(!G3 & !G4 & !G5 & G9) | (!G3 & G5 & !G9) | (G3 & G4 & G9) | (G4 & G5 & !G9)	1	4
G6	(!G3 & !G4 & G5 & G9) | (G4 & !G5 & G9) | (G3 & !G5 & G9) | (G3 & G4 & G9)	1	4
G7	(!G1 & !G5 & G7) | (G1 & !G5 & !G7)	0	3
G8	(G9 & !G10) | (G8 & !G10) | (G8 & G9)	0	3
G9	(!G3 & !G4 & G5 & G9) | (G4 & !G5 & G9) | (G3 & !G5 & G9) | (G3 & G4 & G9)	1	4
G10	(!G1 & G5 & !G9 & G10) | (!G1 & !G4 & G5 & G10) | (!G1 & G4 & !G5 & G9 & !G10) | (!G1 & G4 & G5 & !G9) | (G1 & !G5 & G9 & G10) | (G1 & !G4 & G5 & !G9 & !G10) | (G1 & G4 & G9 & G10)	1	5
