Size	Method	Rep	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	Specificity	DynamicAccuracy	N_Predicciones	N_GoldStandard	Reguladores_Promedio	Reguladores_Mediana	Reguladores_Max	Error_Promedio
size100_1	BoolNet_bestfit	1	2	249	174	9475	0.00796812749003984	0.0113636363636364	0.00936768149882904	0.957272727272727	0.974393253805019	1	251	176	2.51	3	4	0
size100_1	BoolNet_bestfit	2	5	244	171	9480	0.0200803212851406	0.0284090909090909	0.0235294117647059	0.958080808080808	0.974907445495681	1	249	176	2.49	3	4	0
size100_1	BoolNet_bestfit	3	8	255	168	9469	0.0304182509505703	0.0454545454545455	0.0364464692482916	0.957272727272727	0.973776223776224	1	263	176	2.63	3	4	0
size100_1	BoolNet_bestfit	4	6	265	170	9459	0.022140221402214	0.0340909090909091	0.0268456375838926	0.956060606060606	0.972747840394899	1	271	176	2.71	3	4	0
size100_1	BoolNet_bestfit	5	8	246	168	9478	0.031496062992126	0.0454545454545455	0.0372093023255814	0.958181818181818	0.974701768819416	1	254	176	2.54	3	4	0
size100_2	BoolNet_bestfit	1	12	244	237	9407	0.046875	0.0481927710843374	0.0475247524752475	0.951414141414141	0.974717645839809	1	256	249	2.56	3	4	0
size100_2	BoolNet_bestfit	2	4	274	245	9377	0.0143884892086331	0.0160642570281124	0.015180265654649	0.947575757575758	0.971609159672573	1	278	249	2.78	3	4	0
size100_2	BoolNet_bestfit	3	7	270	242	9381	0.0252707581227437	0.0281124497991968	0.026615969581749	0.948282828282828	0.972023624494871	1	277	249	2.77	3	4	0
size100_2	BoolNet_bestfit	4	9	243	240	9408	0.0357142857142857	0.036144578313253	0.0359281437125748	0.951212121212121	0.974821262045384	1	252	249	2.52	3	4	0
size100_2	BoolNet_bestfit	5	6	266	243	9385	0.0220588235294118	0.0240963855421687	0.0230326295585413	0.948585858585859	0.972438089317169	1	272	249	2.72	3	4	0
size100_3	BoolNet_bestfit	1	6	250	189	9455	0.0234375	0.0307692307692308	0.0266075388026608	0.955656565656566	0.974240082431736	1	256	195	2.56	3	4	0
size100_3	BoolNet_bestfit	2	4	227	191	9478	0.0173160173160173	0.0205128205128205	0.0187793427230047	0.957777777777778	0.976609994848016	1	231	195	2.31	2	4	0
size100_3	BoolNet_bestfit	3	8	244	187	9461	0.0317460317460317	0.041025641025641	0.0357941834451902	0.956464646464646	0.974858320453375	1	252	195	2.52	3	4	0
size100_3	BoolNet_bestfit	4	5	241	190	9464	0.0203252032520325	0.0256410256410256	0.0226757369614512	0.956464646464646	0.975167439464194	1	246	195	2.46	3	4	0
size100_3	BoolNet_bestfit	5	9	229	186	9476	0.0378151260504202	0.0461538461538462	0.0415704387990762	0.958080808080808	0.97640391550747	1	238	195	2.38	3	4	0
size100_4	BoolNet_bestfit	1	5	266	206	9423	0.018450184501845	0.023696682464455	0.020746887966805	0.952323232323232	0.972546186396945	1	271	211	2.71	3	4	0
size100_4	BoolNet_bestfit	2	3	255	208	9434	0.0116279069767442	0.014218009478673	0.0127931769722814	0.953232323232323	0.973681494478274	1	258	211	2.58	3	4	0
size100_4	BoolNet_bestfit	3	10	251	201	9438	0.0383141762452107	0.0473933649289099	0.0423728813559322	0.954343434343434	0.974094333780576	1	261	211	2.61	3	4	0
size100_4	BoolNet_bestfit	4	4	278	207	9411	0.0141843971631206	0.018957345971564	0.0162271805273834	0.951010101010101	0.97130766849004	1	282	211	2.82	3	4	0
size100_4	BoolNet_bestfit	5	4	251	207	9438	0.0156862745098039	0.018957345971564	0.0171673819742489	0.953737373737374	0.974094333780576	1	255	211	2.55	3	4	0
size100_5	BoolNet_bestfit	1	10	250	183	9457	0.0384615384615385	0.0518134715025907	0.0441501103752759	0.956262626262626	0.974245389924797	1	260	193	2.6	3	4	0
size100_5	BoolNet_bestfit	2	5	239	188	9468	0.0204918032786885	0.0259067357512953	0.022883295194508	0.956868686868687	0.975378592768105	1	244	193	2.44	2	4	0
size100_5	BoolNet_bestfit	3	8	258	185	9449	0.0300751879699248	0.0414507772020725	0.0348583877995643	0.955252525252525	0.97342124240239	1	266	193	2.66	3	4	0
size100_5	BoolNet_bestfit	4	6	211	187	9496	0.0276497695852535	0.0310880829015544	0.0292682926829268	0.95979797979798	0.978263109096528	1	217	193	2.17	2	4	0
size100_5	BoolNet_bestfit	5	5	262	188	9445	0.0187265917602996	0.0259067357512953	0.0217391304347826	0.954545454545455	0.973009168641187	1	267	193	2.67	3	4	0
