Gen	X0	X50	X100	X150	X200	X250	X300	X350	X400	X450	X500	X550	X600	X650	X700	X750	X800	X850	X900	X950	X1000
G1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1
G2	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0
G3	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
G4	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1
G5	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G6	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	1
G7	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
G8	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
G9	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1
G10	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
G11	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	0	0	0
G12	0	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0
G13	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1
G14	0	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	0	0
G15	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G16	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G17	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1
G18	1	0	1	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1
G19	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
G20	1	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1
G21	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
G22	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G23	1	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1
G24	1	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	1
G25	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1
G26	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1
G27	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0
G28	1	0	1	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	0	1
G29	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1
G30	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0
G31	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1
G32	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1
G33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
G34	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	0	1	1
G35	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G36	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G37	0	0	0	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	0	1	0
G38	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0
G39	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	1	1
G40	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1
G41	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G42	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G43	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G44	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	1	1	1
G45	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1
G46	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G47	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1
G48	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1
G49	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0
G50	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1
G51	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G52	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
G53	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1
G54	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1
G55	1	1	0	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1
G56	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0
G57	1	1	1	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1
G58	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
G59	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1
G60	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0
G61	1	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	1
G62	1	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1
G63	1	1	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0
G64	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
G65	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0
G66	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0
G67	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0
G68	1	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0
G69	1	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1
G70	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0
G71	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
