Gen	Regla_ID	Regla	Error	N_reguladores
G1	G1(1)	(!G88) | (G58)	0	2
G2	G2(1)	(G90 & !G91)	0	2
G3	G3(1)	(!G23)	0	1
G4	G4(1)	(!G49 & !G88 & !G89) | (G88 & G89) | (G49 & G88)	0	3
G5	G5(1)	(!G89 & G100) | (!G89 & G93) | (G93 & G100)	0	3
G6	G6(1)	(!G67 & !G87 & !G98) | (!G67 & G87 & G98) | (G67 & G87 & !G98)	0	3
G7	G7(1)	(!G31 & !G65 & G92) | (G31 & !G65 & !G92)	0	3
G8	G8(1)	(G37 & !G95)	0	2
G9	G9(1)	(!G41 & G45 & !G79) | (G41 & !G45 & G79)	0	3
G10	G10(1)	(!G44) | (G42)	0	2
G11	G11(1)	(!G52 & G80 & !G97) | (G52 & !G80)	0	3
G12	G12(1)	(!G73 & G97 & !G100) | (G73 & !G97 & !G100) | (G73 & G97 & G100)	0	3
G13	G13(1)	(G53 & !G100)	0	2
G14	G14(1)	(!G89 & G100) | (!G89 & G93) | (G93 & G100)	0	3
G15	G15(1)	(G24 & !G90)	0	2
G16	G16(1)	(!G89 & G100) | (!G89 & G93) | (G93 & G100)	0	3
G17	G17(1)	(G100) | (G53)	0	2
G18	G18(1)	(!G28 & !G45)	0	2
G19	G19(1)	(!G63 & !G67 & G88) | (G63 & !G67 & !G88) | (G63 & G67 & G88)	0	3
G20	G20(1)	(!G38 & !G76) | (!G65 & G76) | (G65 & !G76) | (G38 & G76)	0	3
G21	G21(1)	(!G24 & !G81) | (G12 & !G81) | (G12 & G24)	0	3
G22	G22(1)	(G41 & G83)	0	2
G23	G23(1)	(!G81 & G100) | (G81 & !G92 & !G100)	0	3
G24	G24(1)	(!G38 & !G80) | (!G38 & G66) | (G66 & !G80)	0	3
G25	G25(1)	(!G93 & !G100) | (G89 & !G93) | (G89 & !G100)	0	3
G26	G26(1)	(!G92 & !G97 & !G99) | (!G97 & G99 & G100) | (G92 & G97 & G99 & !G100)	0	4
G27	G27(1)	(!G24 & !G26 & G53) | (G24 & !G26 & !G53)	0	3
G28	G28(1)	(!G76 & !G85 & G93) | (G85 & !G93) | (G76 & !G93)	0	3
G29	G29(1)	(!G69 & !G87) | (G68 & G87)	0	3
G30	G30(1)	(!G15 & !G76 & !G99) | (G15 & G76 & G99)	0	3
G31	G31(1)	(!G69 & !G72 & !G100) | (G69 & G72)	0	3
G32	G32(1)	(!G40 & G69) | (!G40 & G61) | (G61 & G69)	0	3
G33	G33(1)	(!G82 & G93) | (!G81 & G82 & !G93) | (G81 & G93)	0	3
G34	G34(1)	(!G27 & G34) | (G27 & !G34) | (G34 & G99)	0	3
G35	G35(1)	(!G3) | (G43)	0	2
G36	G36(1)	(!G93 & !G100) | (G89 & !G93) | (G89 & !G100)	0	3
G37	G37(1)	(!G77 & !G84) | (!G73 & G77 & G84) | (G73 & !G77)	0	3
G38	G38(1)	(!G92 & !G100) | (!G76 & !G100) | (!G76 & G92)	0	3
G39	G39(1)	(!G24 & !G45) | (G24 & G45 & !G77)	0	3
G40	G40(1)	(!G30 & G52 & !G63) | (G30 & !G52 & G63)	0	3
G41	G41(1)	(G30 & G48)	0	2
G42	G42(1)	(G90 & !G91)	0	2
G43	G43(1)	(G100) | (G63)	0	2
G44	G44(1)	(G26) | (G23)	0	2
G45	G45(1)	(!G69 & G88 & !G96) | (G69 & !G88 & !G96) | (G69 & G88 & G96)	0	3
G46	G46(1)	(!G100) | (G81)	0	2
G47	G47(1)	(!G80 & !G81 & G89) | (G80 & !G81 & !G89)	0	3
G48	G48(1)	(!G87 & G97) | (!G9 & G87) | (G9 & !G87)	0	3
G49	G49(1)	(G88 & !G98) | (G88 & !G97)	0	3
G50	G50(1)	(!G88) | (G100)	0	2
G51	G51(1)	(!G93 & !G100) | (G89 & !G93) | (G89 & !G100)	0	3
G52	G52(1)	(!G77 & !G99) | (!G98 & G99)	0	3
G53	G53(1)	(!G66 & !G77 & G81) | (G66 & !G77 & !G81) | (G66 & G77 & G81)	0	3
G54	G54(1)	(!G81 & G100)	0	2
G55	G55(1)	(!G89 & G100) | (!G89 & G93) | (G93 & G100)	0	3
G56	G56(1)	(G88 & !G100)	0	2
G57	G57(1)	(G88 & !G89) | (!G69 & G88)	0	3
G58	G58(1)	(!G88) | (G100)	0	2
G59	G59(1)	(!G89 & !G97) | (G91 & G97)	0	3
G60	G60(1)	(!G30 & !G33 & G40) | (G30 & !G33 & !G40) | (G30 & G33 & G40)	0	3
G61	G61(1)	(!G79 & !G93 & !G99) | (G79 & G99) | (G79 & G93)	0	3
G62	G62(1)	(!G57 & !G61) | (!G61 & G79) | (G57 & G61 & !G79)	0	3
G63	G63(1)	(G72 & G73)	0	2
G64	G64(1)	(!G6 & !G26 & !G49) | (G6 & !G26 & G49) | (G6 & G26 & !G49)	0	3
G65	G65(1)	(!G44 & !G49 & G66) | (!G44 & G49 & !G66) | (G44 & G49 & G66)	0	3
G66	G66(1)	(!G45 & !G83) | (G45 & G52 & G83)	0	3
G67	G67(1)	(!G40 & !G88) | (!G40 & G86)	0	3
G68	G68(1)	(!G57 & !G81 & G89) | (G57 & !G81 & !G89)	0	3
G69	G69(1)	(!G21 & !G48 & !G62) | (G21 & G48 & G62)	0	3
G70	G70(1)	(!G89 & G100) | (!G89 & G93) | (G93 & G100)	0	3
G71	G71(1)	(!G93 & !G100) | (G89 & !G93) | (G89 & !G100)	0	3
G72	G72(1)	(!G67 & G92) | (G60 & G67)	0	3
G73	G73(1)	(G34 & !G47 & G83) | (G34 & G47 & !G83)	0	3
G74	G74(1)	(!G72 & !G86 & G97) | (G72 & G86 & !G97)	0	3
G75	G75(1)	(!G88 & !G91 & !G92) | (!G88 & G91 & G92) | (!G91 & !G92 & G93) | (G88 & G91 & !G92)	0	4
G76	G76(1)	(G85 & G86) | (G83 & G86) | (G83 & G85)	0	3
G77	G77(1)	(!G63 & G95) | (G63 & !G95 & !G100)	0	3
G78	G78(1)	(!G93 & !G100) | (G89 & !G93) | (G89 & !G100)	0	3
G79	G79(1)	(!G72 & G91) | (G72 & !G91 & !G95)	0	3
G80	G80(1)	(!G81 & !G82) | (!G28 & !G82) | (G28 & G82)	0	3
G81	G81(1)	(G3 & G9)	0	2
G82	G82(1)	(G87 & !G97) | (G85 & G97)	0	3
G83	G83(1)	(!G21 & !G95) | (!G69 & G95) | (G69 & !G95)	0	3
G84	G84(1)	(!G40 & !G57 & !G60) | (!G40 & G57 & G60) | (G40 & !G57 & G60)	0	3
G85	G85(1)	(!G60 & G90 & G93) | (G60 & !G90 & G93)	0	3
G86	G86(1)	(!G48 & G100) | (!G33 & G48) | (G33 & !G48)	0	3
G87	G87(1)	(!G79 & !G91 & G97) | (!G79 & G91 & !G97) | (G79 & !G91 & G98)	0	4
G88	G88(1)	(G99) | (G86 & !G95)	0	3
G89	G89(1)	(!G87 & !G89 & !G93 & G100) | (G89 & G93 & !G100) | (G87 & !G89 & !G93 & !G100) | (G87 & !G89 & G93 & G100)	0	4
G90	G90(1)	(!G59 & !G91)	0	2
G91	G91(1)	(!G74 & !G88 & G89) | (!G74 & G88 & !G89) | (G74 & !G88 & !G89)	0	3
G92	G92(1)	(!G34 & !G72 & G100) | (G34 & !G72 & !G100) | (G34 & G72 & G100)	0	3
G93	G93(1)	(!G91 & !G97) | (!G32 & !G97) | (!G32 & G91) | (G32 & !G91)	0	3
G94	G94(1)	(!G89 & G100) | (!G89 & G93) | (G93 & G100)	0	3
G95	G95(1)	(!G11 & G67)	0	2
G96	G96(1)	(G64 & !G79 & G97)	0	3
G97	G97(1)	(G66 & !G67) | (G52 & G67)	0	3
G98	G98(1)	(!G86 & G88 & !G97) | (G87 & !G88 & G97) | (G86 & !G88 & G97) | (G86 & G87 & !G88) | (G86 & G87 & G97)	0	4
G99	G99(1)	(!G80 & !G84 & G97) | (!G80 & G84 & !G97)	0	3
G100	G100(1)	(!G89 & G100) | (!G89 & G93) | (G93 & G100)	0	3
