Metric_Sampling	Statistic	Value
Precision | 21tp	Sample Size (BoolNet)	25
Precision | 21tp	Sample Size (BNI3)	25
Precision | 21tp	BoolNet Mean ± SD	0.1801 ± 0.0709
Precision | 21tp	BoolNet Median	0.1714
Precision | 21tp	BNI3 Mean ± SD	0.1927 ± 0.0729
Precision | 21tp	BNI3 Median	0.2083
Precision | 21tp	Difference (Mean)	0.0126
Precision | 21tp	Difference (Median)	0.0369
Precision | 21tp	Percent Change	7.0%
Precision | 21tp	95% CI Difference	[-0.0283, 0.0535]
Precision | 21tp	Cohen's d	0.1747
Precision | 21tp	Cohen's d Interpretation	trivial
Precision | 21tp	Wilcoxon Statistic	-0.89
Precision | 21tp	Wilcoxon p-value	0.3721
Precision | 21tp	Wilcoxon Significance	ns
Precision | 21tp	TOST p-value (small: 0.2σ)	0.9043
Precision | 21tp	TOST Equivalent (small)	No
Precision | 21tp	TOST Delta (small)	±0.0144
Precision | 21tp	TOST p-value (medium: 0.5σ)	0.9895
Precision | 21tp	TOST Equivalent (medium)	No
Precision | 21tp	TOST Delta (medium)	±0.0360
Precision | 21tp	TOST p-value (large: 0.8σ)	0.9994
Precision | 21tp	TOST Equivalent (large)	No
Precision | 21tp	TOST Delta (large)	±0.0576
Precision | 21tp	---	---
Precision | 5tp	Sample Size (BoolNet)	25
Precision | 5tp	Sample Size (BNI3)	25
Precision | 5tp	BoolNet Mean ± SD	0.1697 ± 0.1119
Precision | 5tp	BoolNet Median	0.1667
Precision | 5tp	BNI3 Mean ± SD	0.1569 ± 0.0752
Precision | 5tp	BNI3 Median	0.1250
Precision | 5tp	Difference (Mean)	-0.0128
Precision | 5tp	Difference (Median)	-0.0417
Precision | 5tp	Percent Change	-7.6%
Precision | 5tp	95% CI Difference	[-0.0673, 0.0416]
Precision | 5tp	Cohen's d	-0.1346
Precision | 5tp	Cohen's d Interpretation	trivial
Precision | 5tp	Wilcoxon Statistic	0.66
Precision | 5tp	Wilcoxon p-value	0.5094
Precision | 5tp	Wilcoxon Significance	ns
Precision | 5tp	TOST p-value (small: 0.2σ)	0.8782
Precision | 5tp	TOST Equivalent (small)	No
Precision | 5tp	TOST Delta (small)	±0.0191
