Metric	Sampling	BoolNet_Mean	BoolNet_StdDev	BoolNet_Median	BNI3_Mean	BNI3_StdDev	BNI3_Median	Difference_Mean	Difference_Median	Percent_Change	CI95_Lower	CI95_Upper	Cohens_d	Cohens_d_Interpretation	Wilcoxon_Statistic	Wilcoxon_p_value	Wilcoxon_Significance	TOST_p_small_effect	TOST_equivalent_small	TOST_delta_small	TOST_p_medium_effect	TOST_equivalent_medium	TOST_delta_medium	TOST_p_large_effect	TOST_equivalent_large	TOST_delta_large	N_BoolNet	N_BNI3
Precision	21tp	0.1801	0.0709	0.1714	0.1927	0.0729	0.2083	0.0126	0.0369	6.9790	-0.0283	0.0535	0.1747	trivial	-0.8925	0.3721	ns	0.9043	No	0.0144	0.9895	No	0.0360	0.9994	No	0.0576	25	25
Precision	5tp	0.1697	0.1119	0.1667	0.1569	0.0752	0.1250	-0.0128	-0.0417	-7.5617	-0.0673	0.0416	-0.1346	trivial	0.6597	0.5094	ns	0.8782	No	0.0191	0.9849	No	0.0477	0.9990	No	0.0763	25	25
Recall	21tp	0.3818	0.1346	0.3846	0.3390	0.1245	0.3846	-0.0428	0.0000	-11.1995	-0.1165	0.0310	-0.3298	small	0.8634	0.3879	ns	0.9664	No	0.0259	0.9974	No	0.0648	0.9999	No	0.1037	25	25
Recall	5tp	0.1140	0.0785	0.1333	0.2621	0.1194	0.2308	0.1481	0.0974	129.8707	0.0904	0.2058	1.4653	large	-4.3850	0.0000	***	1.0000	No	0.0202	1.0000	No	0.0505	1.0000	No	0.0809	25	25
MCC	21tp	0.0378	0.1259	0.0114	0.0588	0.1196	0.0870	0.0210	0.0756	55.5518	-0.0488	0.0908	0.1709	trivial	-0.8343	0.4041	ns	0.9020	No	0.0246	0.9891	No	0.0614	0.9994	No	0.0982	25	25
MCC	5tp	0.0149	0.1001	0.0141	-0.0028	0.1150	-0.0334	-0.0177	-0.0475	-118.5232	-0.0790	0.0437	-0.1639	trivial	0.7664	0.4434	ns	0.8977	No	0.0216	0.9884	No	0.0539	0.9993	No	0.0863	25	25
Accuracy	21tp	0.6209	0.0735	0.6111	0.6707	0.0421	0.6778	0.0498	0.0667	8.0172	0.0155	0.0841	0.8312	large	-3.0657	0.0022	**	0.9996	No	0.0120	1.0000	No	0.0299	1.0000	No	0.0479	25	25
Accuracy	5tp	0.7764	0.0321	0.7667	0.6591	0.0391	0.6444	-0.1173	-0.1222	-15.1116	-0.1377	-0.0970	-3.2782	large	5.9276	0.0000	***	1.0000	No	0.0072	1.0000	No	0.0179	1.0000	No	0.0286	25	25
DynamicAccuracy	21tp	0.9648	0.0132	0.9650	0.8904	0.0425	0.8800	-0.0744	-0.0850	-7.7114	-0.0926	-0.0562	-2.3633	large	5.4716	0.0000	***	1.0000	No	0.0063	1.0000	No	0.0157	1.0000	No	0.0252	25	25
DynamicAccuracy	5tp	0.9950	0.0250	1.0000	0.9950	0.0250	1.0000	0.0000	0.0000	0.0000	-0.0142	0.0142	0.0000	trivial	0.0000	1.0000	ns	0.7585	No	0.0050	0.9583	No	0.0125	0.9966	No	0.0200	25	25
