Metric_Sampling	Statistic	Value
Balanced Accuracy | 21tp	Sample Size (BoolNet)	25
Balanced Accuracy | 21tp	Sample Size (BNI3)	25
Balanced Accuracy | 21tp	BoolNet Mean ± SD	0.5233 ± 0.0790
Balanced Accuracy | 21tp	BoolNet Median	0.5067
Balanced Accuracy | 21tp	BNI3 Mean ± SD	0.5361 ± 0.0739
Balanced Accuracy | 21tp	BNI3 Median	0.5559
Balanced Accuracy | 21tp	Difference (Mean)	0.0128
Balanced Accuracy | 21tp	Difference (Median)	0.0493
Balanced Accuracy | 21tp	Percent Change	2.4%
Balanced Accuracy | 21tp	95% CI Difference	[-0.0307, 0.0563]
Balanced Accuracy | 21tp	Cohen's d	0.1673
Balanced Accuracy | 21tp	Cohen's d Interpretation	trivial
Balanced Accuracy | 21tp	Wilcoxon Statistic	-0.84
Balanced Accuracy | 21tp	Wilcoxon p-value	0.3987
Balanced Accuracy | 21tp	Wilcoxon Significance	ns
Balanced Accuracy | 21tp	TOST p-value (small: 0.2σ)	0.8999
Balanced Accuracy | 21tp	TOST Equivalent (small)	No
Balanced Accuracy | 21tp	TOST Delta (small)	±0.0153
Balanced Accuracy | 21tp	TOST p-value (medium: 0.5σ)	0.9888
Balanced Accuracy | 21tp	TOST Equivalent (medium)	No
Balanced Accuracy | 21tp	TOST Delta (medium)	±0.0382
Balanced Accuracy | 21tp	TOST p-value (large: 0.8σ)	0.9994
Balanced Accuracy | 21tp	TOST Equivalent (large)	No
Balanced Accuracy | 21tp	TOST Delta (large)	±0.0612
Balanced Accuracy | 21tp	Show in Plot	No
Balanced Accuracy | 21tp	---	---
Balanced Accuracy | 5tp	Sample Size (BoolNet)	25
Balanced Accuracy | 5tp	Sample Size (BNI3)	25
Balanced Accuracy | 5tp	BoolNet Mean ± SD	0.5074 ± 0.0406
Balanced Accuracy | 5tp	BoolNet Median	0.5042
Balanced Accuracy | 5tp	BNI3 Mean ± SD	0.4976 ± 0.0700
Balanced Accuracy | 5tp	BNI3 Median	0.4790
Balanced Accuracy | 5tp	Difference (Mean)	-0.0098
Balanced Accuracy | 5tp	Difference (Median)	-0.0252
Balanced Accuracy | 5tp	Percent Change	-1.9%
Balanced Accuracy | 5tp	95% CI Difference	[-0.0425, 0.0230]
Balanced Accuracy | 5tp	Cohen's d	-0.1704
Balanced Accuracy | 5tp	Cohen's d Interpretation	trivial
Balanced Accuracy | 5tp	Wilcoxon Statistic	1.12
Balanced Accuracy | 5tp	Wilcoxon p-value	0.2646
