Dataset	Replicate	Method	File	Total_Genes	Unique_Patterns	Distinct_Patterns	Max_Frequency	Unique_Ratio
1	3times	SSD	bin_SSD_size10_1_3times_random_1.tsv	10	2	5	4	0.2
1	3times	SSD	bin_SSD_size10_1_3times_random_2.tsv	10	3	6	3	0.3
1	3times	SSD	bin_SSD_size10_1_3times_random_3.tsv	10	3	6	3	0.3
1	3times	SSD	bin_SSD_size10_1_3times_random_4.tsv	10	0	4	3	0.0
1	3times	SSD	bin_SSD_size10_1_3times_random_5.tsv	10	4	6	4	0.4
1	3times	WCSS	bin_WCSS_size10_1_3times_random_1.tsv	10	2	5	4	0.2
1	3times	WCSS	bin_WCSS_size10_1_3times_random_2.tsv	10	3	6	3	0.3
1	3times	WCSS	bin_WCSS_size10_1_3times_random_3.tsv	10	3	6	3	0.3
1	3times	WCSS	bin_WCSS_size10_1_3times_random_4.tsv	10	0	4	3	0.0
1	3times	WCSS	bin_WCSS_size10_1_3times_random_5.tsv	10	4	6	4	0.4
1	4times	SSD	bin_SSD_size10_1_4times_random_1.tsv	10	7	8	3	0.7
1	4times	SSD	bin_SSD_size10_1_4times_random_2.tsv	10	5	7	3	0.5
1	4times	SSD	bin_SSD_size10_1_4times_random_3.tsv	10	6	8	2	0.6
1	4times	SSD	bin_SSD_size10_1_4times_random_4.tsv	10	4	7	2	0.4
1	4times	SSD	bin_SSD_size10_1_4times_random_5.tsv	10	6	8	2	0.6
1	4times	WCSS	bin_WCSS_size10_1_4times_random_1.tsv	10	7	8	3	0.7
1	4times	WCSS	bin_WCSS_size10_1_4times_random_2.tsv	10	5	7	3	0.5
1	4times	WCSS	bin_WCSS_size10_1_4times_random_3.tsv	10	6	8	2	0.6
1	4times	WCSS	bin_WCSS_size10_1_4times_random_4.tsv	10	5	7	3	0.5
1	4times	WCSS	bin_WCSS_size10_1_4times_random_5.tsv	10	6	8	2	0.6
1	5times	SSD	bin_SSD_size10_1_5times_random_1.tsv	10	5	7	3	0.5
1	5times	SSD	bin_SSD_size10_1_5times_random_2.tsv	10	6	8	2	0.6
1	5times	SSD	bin_SSD_size10_1_5times_random_3.tsv	10	3	6	3	0.3
1	5times	SSD	bin_SSD_size10_1_5times_random_4.tsv	10	6	8	2	0.6
1	5times	SSD	bin_SSD_size10_1_5times_random_5.tsv	10	6	8	2	0.6
1	5times	WCSS	bin_WCSS_size10_1_5times_random_1.tsv	10	10	10	1	1.0
1	5times	WCSS	bin_WCSS_size10_1_5times_random_2.tsv	10	8	9	2	0.8
1	5times	WCSS	bin_WCSS_size10_1_5times_random_3.tsv	10	7	8	3	0.7
1	5times	WCSS	bin_WCSS_size10_1_5times_random_4.tsv	10	8	9	2	0.8
1	5times	WCSS	bin_WCSS_size10_1_5times_random_5.tsv	10	4	7	2	0.4
2	3times	SSD	bin_SSD_size10_2_3times_random_1.tsv	10	2	4	5	0.2
2	3times	SSD	bin_SSD_size10_2_3times_random_2.tsv	10	3	5	4	0.3
2	3times	SSD	bin_SSD_size10_2_3times_random_3.tsv	10	3	5	5	0.3
2	3times	SSD	bin_SSD_size10_2_3times_random_4.tsv	10	2	5	4	0.2
2	3times	SSD	bin_SSD_size10_2_3times_random_5.tsv	10	2	5	4	0.2
2	3times	WCSS	bin_WCSS_size10_2_3times_random_1.tsv	10	2	4	5	0.2
2	3times	WCSS	bin_WCSS_size10_2_3times_random_2.tsv	10	3	5	4	0.3
2	3times	WCSS	bin_WCSS_size10_2_3times_random_3.tsv	10	3	5	5	0.3
2	3times	WCSS	bin_WCSS_size10_2_3times_random_4.tsv	10	2	5	4	0.2
2	3times	WCSS	bin_WCSS_size10_2_3times_random_5.tsv	10	2	5	4	0.2
2	4times	SSD	bin_SSD_size10_2_4times_random_1.tsv	10	6	8	2	0.6
2	4times	SSD	bin_SSD_size10_2_4times_random_2.tsv	10	8	9	2	0.8
2	4times	SSD	bin_SSD_size10_2_4times_random_3.tsv	10	6	7	4	0.6
2	4times	SSD	bin_SSD_size10_2_4times_random_4.tsv	10	7	8	3	0.7
2	4times	SSD	bin_SSD_size10_2_4times_random_5.tsv	10	4	6	4	0.4
2	4times	WCSS	bin_WCSS_size10_2_4times_random_1.tsv	10	5	7	3	0.5
2	4times	WCSS	bin_WCSS_size10_2_4times_random_2.tsv	10	6	7	4	0.6
2	4times	WCSS	bin_WCSS_size10_2_4times_random_3.tsv	10	6	7	4	0.6
2	4times	WCSS	bin_WCSS_size10_2_4times_random_4.tsv	10	7	8	3	0.7
2	4times	WCSS	bin_WCSS_size10_2_4times_random_5.tsv	10	4	6	4	0.4
2	5times	SSD	bin_SSD_size10_2_5times_random_1.tsv	10	5	7	3	0.5
2	5times	SSD	bin_SSD_size10_2_5times_random_2.tsv	10	8	9	2	0.8
2	5times	SSD	bin_SSD_size10_2_5times_random_3.tsv	10	3	6	3	0.3
2	5times	SSD	bin_SSD_size10_2_5times_random_4.tsv	10	6	7	4	0.6
2	5times	SSD	bin_SSD_size10_2_5times_random_5.tsv	10	8	9	2	0.8
2	5times	WCSS	bin_WCSS_size10_2_5times_random_1.tsv	10	6	8	2	0.6
2	5times	WCSS	bin_WCSS_size10_2_5times_random_2.tsv	10	8	9	2	0.8
2	5times	WCSS	bin_WCSS_size10_2_5times_random_3.tsv	10	6	8	2	0.6
2	5times	WCSS	bin_WCSS_size10_2_5times_random_4.tsv	10	7	8	3	0.7
2	5times	WCSS	bin_WCSS_size10_2_5times_random_5.tsv	10	7	8	3	0.7
3	3times	SSD	bin_SSD_size10_3_3times_random_1.tsv	10	2	4	6	0.2
3	3times	SSD	bin_SSD_size10_3_3times_random_2.tsv	10	2	5	4	0.2
3	3times	SSD	bin_SSD_size10_3_3times_random_3.tsv	10	3	5	4	0.3
3	3times	SSD	bin_SSD_size10_3_3times_random_4.tsv	10	0	3	5	0.0
3	3times	SSD	bin_SSD_size10_3_3times_random_5.tsv	10	3	5	4	0.3
3	3times	WCSS	bin_WCSS_size10_3_3times_random_1.tsv	10	2	4	6	0.2
