Dataset,Repeticion,Metodo,FinalScore,Combinaciones,CarpetaReglas
1,1,SSD,0.026666666666666665,17836,rules_SSD_size10_1_1_5times
1,3,WCSS,0.04857142857142857,17836,rules_WCSS_size10_1_3_5times
1,4,WCSS,0.014545454545454545,17836,rules_WCSS_size10_1_4_5times
1,5,WCSS,0.05666666666666667,17836,rules_WCSS_size10_1_5_5times
2,1,WCSS,0.1207692307692308,17836,rules_WCSS_size10_2_1_5times
2,3,WCSS,0.04666666666666666,17836,rules_WCSS_size10_2_3_5times
3,5,SSD,0.008,17836,rules_SSD_size10_3_5_5times
3,4,WCSS,0.02846153846153846,17836,rules_WCSS_size10_3_4_5times
4,3,WCSS,0.03941176470588236,17836,rules_WCSS_size10_4_3_5times
5,3,SSD,0.12794871794871798,17836,rules_SSD_size10_5_3_5times
