Dataset,Repeticion,Metodo,FinalScore,Combinaciones,CarpetaReglas
1,3,SSD,0.024203552082624594,192,rules_SSD_size10_1_3
1,4,SSD,0.04000000000000001,1920,rules_SSD_size10_1_4
1,1,WCSS,0.030000000000000006,1,rules_WCSS_size10_1_1
1,2,WCSS,0.11000000000000001,2,rules_WCSS_size10_1_2
1,5,WCSS,0.05500000000000001,6,rules_WCSS_size10_1_5
2,1,WCSS,0.04000000000000001,2,rules_WCSS_size10_2_1
2,2,WCSS,0.23207164152501863,16,rules_WCSS_size10_2_2
2,3,WCSS,0.08000000000000002,2,rules_WCSS_size10_2_3
2,4,WCSS,0.2,4,rules_WCSS_size10_2_4
2,5,WCSS,0.08130343136059433,288,rules_WCSS_size10_2_5
3,1,WCSS,0.05,3,rules_WCSS_size10_3_1
3,2,WCSS,0.06,4,rules_WCSS_size10_3_2
3,3,WCSS,0.009999999999999998,6,rules_WCSS_size10_3_3
3,4,WCSS,0.15000000000000002,2,rules_WCSS_size10_3_4
3,5,WCSS,0.07,12,rules_WCSS_size10_3_5
