Size	Method	Binarization	Rep	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	Specificity	MCC	Balanced_Accuracy	Coverage_Ratio	DynamicAccuracy	N_Predicciones	N_GoldStandard	Reguladores_Promedio	Reguladores_Mediana	Reguladores_Max	Score_Promedio	MSE_Promedio	Correct_Promedio
size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	2	19	13	56	0.0952380952380952	0.133333333333333	0.111111111111111	0.644444444444444	0.746666666666667	-0.105736106527536	0.44	1.4	1	21	15	2.1	2	3	1.9375	NA	4
size10_1	rules_WCSS_size10_1_1	WCSS	1	7	19	8	56	0.269230769230769	0.466666666666667	0.341463414634146	0.7	0.746666666666667	0.175411603861406	0.606666666666667	1.73333333333333	0.825	26	15	2.6	3	3	2.25668	0.5566641	16.5
size10_1	rules_WCSS_size10_1_2	WCSS	2	4	20	11	55	0.166666666666667	0.266666666666667	0.205128205128205	0.655555555555556	0.733333333333333	0	0.5	1.6	0.835	24	15	2.4	2	3	2.462	0.3105063	16.7
size10_1	rules_WCSS_size10_1_2_5times	WCSS	2_5times	7	17	8	58	0.291666666666667	0.466666666666667	0.358974358974359	0.722222222222222	0.773333333333333	0.202259958738973	0.62	1.6	1	24	15	2.4	2.5	3	1.9375	NA	4
size10_1	rules_SSD_size10_1_3	SSD	3	3	20	12	55	0.130434782608696	0.2	0.157894736842105	0.644444444444444	0.733333333333333	-0.056961797141151	0.466666666666667	1.53333333333333	0.935	23	15	2.3	2	3	2.62461	0.2478898	18.7
size10_1	rules_WCSS_size10_1_3_5times	WCSS	3_5times	4	21	11	54	0.16	0.266666666666667	0.2	0.644444444444444	0.72	-0.0110940039245046	0.493333333333333	1.66666666666667	1	25	15	2.5	2.5	3	1.9375	NA	4
size10_1	rules_SSD_size10_1_4	SSD	4	3	23	12	52	0.115384615384615	0.2	0.146341463414634	0.611111111111111	0.693333333333333	-0.0877058019307029	0.446666666666667	1.73333333333333	0.94	26	15	2.6	3	3	2.68466	0.1928374	18.8
size10_1	rules_WCSS_size10_1_4_5times	WCSS	4_5times	5	20	10	55	0.2	0.333333333333333	0.25	0.666666666666667	0.733333333333333	0.0554700196225229	0.533333333333333	1.66666666666667	1	25	15	2.5	3	3	1.9375	NA	4
size10_1	rules_WCSS_size10_1_5	WCSS	5	4	23	11	52	0.148148148148148	0.266666666666667	0.19047619047619	0.622222222222222	0.693333333333333	-0.0325300024316178	0.48	1.8	0.855	27	15	2.7	3	3	2.45545	0.3370439	17.1
size10_1	rules_WCSS_size10_1_5_5times	WCSS	5_5times	3	20	12	55	0.130434782608696	0.2	0.157894736842105	0.644444444444444	0.733333333333333	-0.056961797141151	0.466666666666667	1.53333333333333	1	23	15	2.3	2	3	1.9375	NA	4
