Size	Network	Method	Binarization	Rep	Source_File	Gene	Position	Rule	Score	MSE	Correct	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	DynamicAccuracy	N_Predictions	N_Errors	N_Regulators
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	1	G2 & G5	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	2	~G2 & ~G6 & ~G9	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	3	G5 & G7	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	4	~G6 & ~G7 & ~G9	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	5	G5 & G9	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	6	G3 & G4	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	7	G10 & G9 & ~G5	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	8	G8 & G9	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	9	G2 & G3	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	10	G5 & G8	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	11	G1 & G5	1.9375	N/A	4	0	1	0	8	0	0	0	0.888888888888889	1	4	0	1
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	12	G1 & G3 & G5	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	13	G3 & G5 & G8	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_1	rules_SSD_size10_1_1_5times	SSD	1_5times	rules_by_gene.tsv	G1	14	G1 & G3 & G8	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
