Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	1	G1 & (G4 | G7)	18	3	0.227083	2.6104
G1	2	G1 & (G3 | G9)	18	3	0.240125	2.5974
G1	3	G1 & ~G9	18	2	0.240125	2.5974
G1	4	G1 & (G3 | ~G9)	18	3	0.240125	2.5974
G1	5	G1 | (G9 & ~G3)	18	3	0.240125	2.5974
G1	6	G1 & G3	18	2	0.285080	2.5524
G1	7	G1 & (G3 | G4)	18	3	0.285080	2.5524
G1	8	G3 & (G1 | G2)	18	3	0.285238	2.5523
G1	9	G1 | (G2 & G3)	18	3	0.285238	2.5523
G1	10	G1 & (G2 | G3)	18	3	0.285238	2.5523
G1	11	(G2 & G3) | (G1 & ~G2)	18	3	0.285238	2.5523
G1	12	G2 | (G1 & G3)	18	3	0.285238	2.5523
G1	13	G3 & (G1 | G9)	17	3	0.240125	2.5474
G1	14	G1 | G9	17	2	0.240125	2.5474
G1	15	G1 | ~G3	17	2	0.240125	2.5474
G1	16	G3 & G8 & ~G9	18	3	0.296764	2.5407
G1	17	G8 & (G3 | G9)	18	3	0.296764	2.5407
G1	18	G1 | (G6 & ~G7)	18	3	0.331441	2.5061
G1	19	G1 & G3 & G4	17	3	0.285080	2.5024
G1	20	G1 | (G5 & G9)	18	3	0.508872	2.3286
G1	21	G1 | G10 | G8	17	3	0.589573	2.1979
G1	22	G1 & (G10 | G3) & (G3 | G9)	18	4	0.259775	2.0777
G1	23	G2 | (G1 & G7)	17	3	0.714225	2.0733
G1	24	G3 & G8	18	2	0.788033	2.0495
G1	25	G1 & G8	18	2	0.793233	2.0443
G1	26	G1 | G2	18	2	0.799532	2.0380
G1	27	G2 | G8	18	2	0.803963	2.0335
G1	28	G1 & (G5 | G8 | G9)	18	4	0.310069	2.0274
G1	29	G1 & (G2 | G3) & (G3 | G4)	18	4	0.337835	1.9997
G1	30	G2 | (G1 & G7) | (G7 & G9)	17	4	0.302824	1.9847
G1	31	G1 | G9 | (G5 & G8)	17	4	0.310069	1.9774
G1	32	G7 & G8	17	2	0.831027	1.9565
G1	33	G1 | G8	18	2	0.881781	1.9557
G1	34	G1 & (G3 | G4) & (G4 | G9)	17	4	0.333320	1.9542
G1	35	G1 & G7	17	2	0.879724	1.9078
G1	36	G1 & G4	17	2	0.896075	1.8914
G1	37	G1 & (G5 | G7 | G9)	17	4	0.446476	1.8410
G1	38	(G1 & G2) | (G1 & G7) | (G10 & G9)	17	5	0.106087	1.7439
G1	39	G1 | G9 | (G10 & G4)	17	4	0.578654	1.7088
G1	40	G9 | (G2 & G8) | (G8 & ~G6)	17	4	0.592806	1.6947
G1	41	G1 & (G10 | G2 | G4)	18	4	0.676120	1.6614
G1	42	G1 & (G6 | ~G9) & (G8 | ~G9)	18	4	0.688970	1.6485
G1	43	G8	18	1	0.774023	1.5635
G1	44	G1 | G2 | (G4 & G8)	18	4	0.774526	1.5630
G1	45	G1	18	1	0.896075	1.4414
G1	46	G1 | (G3 & G5 & G9) | (G3 & G7 & G9)	18	5	0.611200	1.2888
G2	1	G6 & (G2 | ~G7)	18	3	0.545711	2.2918
G2	2	G2 & G6 & G7	18	3	0.545711	2.2918
G2	3	G5 & G6 & G8 & G9	18	4	0.051819	2.2857
G2	4	G6 & G9 & (~G5 | ~G8)	18	4	0.051819	2.2857
G2	5	G1 & ~G7 & ~G9	19	3	0.633814	2.2537
G2	6	G2 & G3 & ~G7	18	3	0.625997	2.2115
G2	7	G5 & G6 & G9	18	3	0.629249	2.2083
G2	8	G6 & G9 & ~G5	18	3	0.629249	2.2083
G2	9	G5 & G9 & ~G6	18	3	0.629249	2.2083
G2	10	~G7 | (G1 & G9)	18	3	0.633814	2.2037
G2	11	G1 & G7 & G9	18	3	0.633814	2.2037
G2	12	~G7 & (~G1 | ~G9)	18	3	0.633814	2.2037
G2	13	G1 & G9 & ~G7	18	3	0.633814	2.2037
G2	14	G7 & G9 & ~G1	18	3	0.633814	2.2037
G2	15	~G7 & (G1 | G9)	18	3	0.633814	2.2037
G2	16	G3 & G8 & ~G7	19	3	0.757878	2.1296
G2	17	G2 & G3 & G6	18	3	0.829458	2.0080
G2	18	G4 & G8 & G9	18	3	0.830219	2.0073
G2	19	G1 & ~G5 & ~G7	19	3	0.903086	1.9844
G2	20	~G7 & (G1 | G5)	19	3	0.903086	1.9844
G2	21	~G7 & (G2 | G8)	19	3	0.952285	1.9352
G2	22	G5 & G8 & G9	18	3	0.929486	1.9080
G2	23	~G7 & ~G9	19	2	1.643244	1.8875
G2	24	G1 & G3 & ~G7	19	3	1.064135	1.8875
G2	25	G1 & G8 & ~G7	19	3	1.167526	1.8875
G2	26	G1 & (~G7 | ~G8)	19	3	1.167526	1.8875
G2	27	~G10 & ~G7 & ~G9	19	3	1.629193	1.8875
G2	28	G1 & G6 & ~G8	18	3	0.956764	1.8807
G2	29	G6 & G8 & G9	18	3	0.971978	1.8655
G2	30	G3 & G5 & G9	18	3	0.973118	1.8644
G2	31	G6 & G8	18	2	1.276357	1.8375
G2	32	G8 & G9	18	2	1.438676	1.8375
G2	33	G7 & G9	18	2	1.643244	1.8375
G2	34	G10 & G9	18	2	2.145425	1.8375
G2	35	G5 & ~G7 & ~G9	18	3	1.062700	1.8375
G2	36	G1 & G10 & G9	18	3	1.272672	1.8375
G2	37	G1 & ~G3 & ~G9	18	3	1.319525	1.8375
G2	38	G1 & G9	18	2	1.361316	1.8375
G2	39	G10 & G6 & G8	18	3	1.030282	1.8375
G2	40	G1 & G6	18	2	1.205403	1.8375
G2	41	G5 & G7 & G9	18	3	1.062700	1.8375
G2	42	G1 & G10	18	2	1.311461	1.8375
G2	43	G3 & ~G7	18	2	1.701027	1.8375
G2	44	~G3 & (G1 | ~G7)	18	3	1.064135	1.8375
G2	45	G5 & ~G7	18	2	1.616581	1.8375
G2	46	G9 & ~G4 & ~G7	18	3	1.620844	1.8375
G2	47	G5 & G9	18	2	1.873838	1.8375
G2	48	G6 & G9	18	2	2.125946	1.8375
G2	49	G1 & G5 & G9	18	3	1.033457	1.8375
G2	50	G1 & G7 & ~G8	18	3	1.207468	1.8375
G2	51	G10 & G8	18	2	1.369799	1.8375
G2	52	G4 & G6 & G8	18	3	1.078791	1.8375
G2	53	G2 & G5 & G6	18	3	1.103701	1.8375
G2	54	G2 & G6	18	2	1.262598	1.8375
G2	55	G10 & G3 & G6	18	3	1.358919	1.8375
G2	56	~G3 & ~G7	18	2	1.701027	1.8375
G2	57	G3 & G6 & G7 & G8	18	4	0.533459	1.8040
