Size	Network	Method	Binarization	Rep	Source_File	Gene	Position	Rule	Score	MSE	Correct	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	DynamicAccuracy	N_Predictions	N_Errors	N_Regulators
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G1	1	G10 & G3 & ~G5	2.6468	0.240748	19	0	3	0	6	0	0	0	0.666666666666667	0.95	20	1	3
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G1	2	G5 & ~G10 & ~G3	2.6468	0.240748	19	0	3	0	6	0	0	0	0.666666666666667	0.95	20	1	3
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G2	1	G2 & G3 & G5	2.7948	0.092686	19	0	2	3	4	0	0	0	0.444444444444444	0.95	20	1	2
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G3	1	G3 & G6 & G9	2.8372	0.100267	20	0	2	4	3	0	0	0	0.333333333333333	1	20	0	2
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G4	1	G10 | G3 | G4	2.6828	0.204669	19	2	0	2	5	1	0.5	0.666666666666667	0.777777777777778	0.95	20	1	2
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G5	1	G10 & G4 & G6	2.1432	0.494326	14	0	3	1	5	0	0	0	0.555555555555556	0.7	20	6	3
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G6	1	G10 | G8 | G9	2.7157	0.221812	20	1	2	0	6	0.333333333333333	1	0.5	0.777777777777778	1	20	0	3
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G7	1	G4 & G7 & G8	2.6383	0.199161	18	0	2	1	6	0	0	0	0.666666666666667	0.9	20	2	2
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G8	1	G7 | G9 | ~G4	2.5827	0.304824	19	0	3	0	6	0	0	0	0.666666666666667	0.95	20	1	3
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G9	1	G4 & G7 & G8	2.5494	0.288114	18	0	3	0	6	0	0	0	0.666666666666667	0.9	20	2	3
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G10	1	G4 | G7	2.4322	0.505288	20	0	2	1	6	0	0	0	0.666666666666667	1	20	0	2
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G10	2	G4 | (G6 & G7)	2.4322	0.505288	20	0	3	1	5	0	0	0	0.555555555555556	1	20	0	3
10	size10_1	rules_SSD_size10_1_4	SSD	4	rules_by_gene.tsv	G10	3	G7 | (G4 & G6)	2.4322	0.505288	20	0	3	1	5	0	0	0	0.555555555555556	1	20	0	3
