rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
2	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
3	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
4	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
5	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
6	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
7	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
8	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
9	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
10	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
11	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
12	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
13	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
14	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
15	G4 & G6 & G7	19	3	0.0	G4, G6, G7	3	4	0.41720480596800275
16	G6 & G7	19	2	0.0	G6, G7	2	4	0.7821898232079403
17	G6 & G7	19	2	0.0	G6, G7	2	4	0.7821898232079403
18	G6 & G9	19	2	0.0	G6, G9	2	4	1.0290581755960724
19	G6 & G9	19	2	0.0	G6, G9	2	4	1.0290581755960724
20	G4 & G7	18	2	0.0	G4, G7	2	4	0.5698601448064101
21	G4 & G7	18	2	0.0	G4, G7	2	4	0.5698601448064101
22	G4 & G7	18	2	0.0	G4, G7	2	4	0.5698601448064101
23	G4 & G7	18	2	0.0	G4, G7	2	4	0.5698601448064101
24	G7 & G8	18	2	0.0	G7, G8	2	4	0.7627024233125888
25	G7 & G9	18	2	0.0	G7, G9	2	4	0.8688382681965073
26	G7	18	1	0.5	G7	1	4	0.8436684834168853
27	G7	18	1	0.5	G7	1	4	0.8436684834168853
28	G7	18	1	0.5	G7	1	4	0.8436684834168853
29	G10 & G7	17	2	0.0	G10, G7	2	4	0.7526266778892372
30	G10 & G7	17	2	0.0	G10, G7	2	4	0.7526266778892372
31	G4 & G5 & G7	13	3	0.0	G4, G5, G7	3	4	0.4442622214853299
32	G1 & G6 & G7	11	3	0.0	G1, G6, G7	3	4	0.6565992864457164
33	G7 & ~G10	11	2	0.0	G10, G7	2	4	0.7526266778892372
34	G1 & G9	11	2	0.0	G1, G9	2	4	1.2137796657145785
35	G6	11	1	0.5	G6	1	4	2.02443436949164
36	G6	11	1	0.5	G6	1	4	2.02443436949164
37	G1	11	1	0.5	G1	1	4	2.2329294099209633
38	~G3 | ~G6	10	2	0.0	G3, G6	2	4	2.151484715536693
39	G4 & G6	10	2	0.0	G4, G6	2	4	2.330821172285939
40	G4 & G6	10	2	0.0	G4, G6	2	4	2.330821172285939
41	G3 & G8	9	2	0.0	G3, G8	2	4	0.8794900459470563
42	~G6	9	1	0.5	G6	1	4	2.02443436949164
43	G4	9	1	0.5	G4	1	4	2.5155007765355553
44	G4	9	1	0.5	G4	1	4	2.5155007765355553
45	G4	9	1	0.5	G4	1	4	2.5155007765355553
46	G4	9	1	0.5	G4	1	4	2.5155007765355553
47	G4	9	1	0.5	G4	1	4	2.5155007765355553
48	G4	9	1	0.5	G4	1	4	2.5155007765355553
49	G10 & G4	8	2	0.0	G10, G4	2	4	2.130648622330206
50	G5	7	1	0.5	G5	1	4	2.247529160414494
