Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	2	~G10 & (G5 | ~G9)	19	3	0.102082	2.7854
G10	1	G1 | G2 | G4	20	3	0.263278	2.6742
G10	2	G4 | (G1 & G2)	20	3	0.263278	2.6742
G2	1	G2 & (G3 | G5)	19	3	0.099773	2.7877
G2	2	G2 & G3 & G5	19	3	0.099773	2.7877
G3	1	G6 & ~G10 & ~G7	20	3	0.035475	2.902
G3	3	G7 & ~G10 & ~G6	20	3	0.035475	2.902
G3	5	G10 & ~G6 & ~G7	20	3	0.035475	2.902
G4	1	G4 | G6 | G7	19	3	0.127507	2.76
G5	1	G10 & G6 & G8	13	3	0.483024	2.1045
G6	1	G10 | G4 | G9	20	3	0.145591	2.7919
G7	1	~G4 | (G6 & G7)	20	3	0.417205	2.5203
G8	1	G8 | (G10 & ~G4)	19	3	0.07733	2.8102
G9	1	G4 & G6 & G7	19	3	0.177109	2.7104
