Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	73	G5 | (G8 & ~G4)	4	3		1.9375
G1	74	G5 | (G6 & ~G4)	4	3		1.9375
G10	1	G3 | G7	4	2		1.9375
G10	2	G3 & G4	4	2		1.9375
G2	42	G6 & ~G4	4	2		1.9375
G3	161	G8 & (G9 | ~G10)	4	3		1.9375
G3	162	G9 & (G1 | G6)	4	3		1.9375
G4	1	G3 & G4	4	2		1.9375
G5	148	~G8 | (G1 & G5)	4	3		1.9375
G6	210	G2 | G7 | ~G8	4	3		1.9375
G6	212	G1 | G10 | ~G8	4	3		1.9375
G7	209	G2 & G5 & G8	4	3		1.9375
G7	210	G5 & G6 & G8	4	3		1.9375
G8	236	G1 & G4 & G5	4	3		1.9375
G9	201	G7 & ~G3 & ~G6	4	3		1.9375
G9	203	G3 & ~G6 & ~G8	4	3		1.9375
G9	204	G2 & G3 & ~G9	4	3		1.9375
