rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	~G2 & ~G5	4	2	0.0	G2, G5	2	39
2	G8 & ~G6	4	2	0.0	G6, G8	2	39
3	~G5 & ~G6	4	2	0.0	G5, G6	2	39
4	G8 & ~G6	4	2	0.0	G6, G8	2	39
5	~G2 & ~G5	4	2	0.0	G2, G5	2	39
6	G8 & ~G6	4	2	0.0	G6, G8	2	39
7	G8 & ~G6	4	2	0.0	G6, G8	2	39
8	~G2 & ~G5	4	2	0.0	G2, G5	2	39
9	~G6 & ~G9	4	2	0.0	G6, G9	2	39
10	G8 & ~G6	4	2	0.0	G6, G8	2	39
11	~G1 & ~G6	3	2	0.0	G1, G6	2	39
12	G2 | G8	3	2	0.0	G2, G8	2	39
13	G8 & (G9 | ~G5)	3	3	0.0	G5, G8, G9	3	39
14	~G3 & ~G9	3	2	0.0	G3, G9	2	39
15	~G6	3	1	0.5	G6	1	39
16	~G6	3	1	0.5	G6	1	39
17	~G2	3	1	0.5	G2	1	39
18	~G2	3	1	0.5	G2	1	39
19	~G5	3	1	0.5	G5	1	39
20	G8	3	1	0.5	G8	1	39
21	~G6	3	1	0.5	G6	1	39
22	~G4	3	1	0.5	G4	1	39
23	G1 & ~G6	2	2	0.0	G1, G6	2	39
24	~G2 & ~G7 & ~G8	2	3	0.0	G2, G7, G8	3	39
25	G6 & G7	2	2	0.0	G6, G7	2	39
26	G6 & G7	2	2	0.0	G6, G7	2	39
27	~G2 & ~G5 & ~G7 & ~G8	2	4	0.5	G2, G5, G7, G8	4	39
28	~G1	2	1	0.5	G1	1	39
29	G2 & G7 & ~G3 & ~G8	2	4	0.5	G2, G3, G7, G8	4	39
30	G5 | G9	1	2	0.0	G5, G9	2	39
31	G10 & G6	1	2	0.0	G10, G6	2	39
32	G7 | G9	1	2	0.0	G7, G9	2	39
33	G2 | G5 | ~G4	1	3	0.0	G2, G4, G5	3	39
34	G7 & ~G8	1	2	0.0	G7, G8	2	39
35	G5 | G9	1	2	0.0	G5, G9	2	39
36	G6 & G8	1	2	0.0	G6, G8	2	39
37	G5 & G9	1	2	0.0	G5, G9	2	39
38	G6 & G8	1	2	0.0	G6, G8	2	39
39	G3 | G9	1	2	0.0	G3, G9	2	39
40	G5	1	1	0.5	G5	1	39
41	G9	1	1	0.5	G9	1	39
42	G7	1	1	0.5	G7	1	39
43	G5	1	1	0.5	G5	1	39
44	G2	1	1	0.5	G2	1	39
45	G2	1	1	0.5	G2	1	39
46	G5	1	1	0.5	G5	1	39
47	~G8	1	1	0.5	G8	1	39
48	G6 | G9	0	2	0.0	G6, G9	2	39
49	G2 | G5	0	2	0.0	G2, G5	2	39
50	G2 | G5	0	2	0.0	G2, G5	2	39
