Size	Network	Method	Binarization	Rep	Source_File	Gene	Position	Rule	Score	MSE	Correct	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	DynamicAccuracy	N_Predictions	N_Errors	N_Regulators
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G1	1	G6 & (G3 | G8)	2.2358	0.451697	15	0	3	0	6	0	0	0	0.666666666666667	0.75	20	5	3
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G2	1	G2 & G5	2.7979	0.089641	19	1	0	1	7	1	0.5	0.666666666666667	0.888888888888889	0.95	20	1	1
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G3	1	G1 & (G4 | G9)	1.7334	0.954088	15	1	2	2	4	0.333333333333333	0.333333333333333	0.333333333333333	0.555555555555556	0.75	20	5	3
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G3	2	G1 & G9	1.7334	0.954088	15	0	2	3	4	0	0	0	0.444444444444444	0.75	20	5	2
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G4	1	G4 | G9	2.5352	0.35231	19	0	1	2	6	0	0	0	0.666666666666667	0.95	20	1	1
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G5	1	~G9	1.8625	0.525032	19	1	0	3	5	1	0.25	0.4	0.666666666666667	0.95	20	1	1
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G6	1	~G7	2.1379	0.299555	20	1	0	1	7	1	0.5	0.666666666666667	0.888888888888889	1	20	0	1
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G7	1	G2 & (~G5 | ~G8)	2.6514	0.236131	19	1	2	1	5	0.333333333333333	0.5	0.4	0.666666666666667	0.95	20	1	3
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G8	1	~G2 & (G4 | G5)	2.6519	0.185584	18	1	2	0	6	0.333333333333333	1	0.5	0.777777777777778	0.9	20	2	3
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G8	2	~G2 | (~G4 & ~G5)	2.6519	0.185584	18	1	2	0	6	0.333333333333333	1	0.5	0.777777777777778	0.9	20	2	3
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G9	1	G9 | (G10 & G4)	2.3277	0.509788	18	0	2	0	7	0	0	0	0.777777777777778	0.9	20	2	2
10	size10_2	rules_WCSS_size10_2_2	WCSS	2	rules_by_gene.tsv	G10	1	G1 & (G3 | G5)	1.9003	0.787247	15	0	3	0	6	0	0	0	0.666666666666667	0.75	20	5	3
