generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	2.04	1.36	0	4	0.310	0.0	0.5
1	3.12	1.09	0	4	0.330	0.0	1.0
2	3.06	1.32	0	4	0.270	0.0	0.5
3	3.02	1.35	0	4	0.230	0.0	0.5
4	3.04	1.34	0	4	0.180	0.0	1.0
5	2.74	1.31	0	4	0.190	0.0	0.5
6	2.84	1.36	0	4	0.140	0.0	0.5
7	3.12	1.01	0	4	0.160	0.0	0.5
8	3.12	1.12	0	4	0.150	0.0	0.5
9	3.08	1.04	0	4	0.170	0.0	0.5
10	3.08	1.11	0	4	0.140	0.0	0.5
11	2.98	1.26	0	4	0.170	0.0	0.5
12	3.04	1.13	0	4	0.170	0.0	0.5
13	3.10	1.08	1	4	0.130	0.0	0.5
14	3.12	1.16	0	4	0.130	0.0	0.5
15	2.96	1.37	0	4	0.160	0.0	0.5
16	3.14	1.13	0	4	0.160	0.0	0.5
17	3.12	1.14	0	4	0.070	0.0	0.5
18	3.06	1.21	0	4	0.100	0.0	0.5
19	2.50	1.49	0	4	0.150	0.0	0.5
20	2.84	1.25	0	4	0.180	0.0	1.0
21	2.92	1.40	0	4	0.190	0.0	1.0
22	2.84	1.27	0	4	0.180	0.0	0.5
23	2.88	1.18	0	4	0.170	0.0	1.0
24	2.92	1.15	0	4	0.190	0.0	0.5
25	2.60	1.52	0	4	0.200	0.0	0.5
26	2.92	1.28	0	4	0.170	0.0	1.0
27	2.96	1.23	0	4	0.180	0.0	0.5
28	3.06	1.08	0	4	0.130	0.0	0.5
29	2.84	1.22	0	4	0.150	0.0	1.0
30	2.76	1.29	0	4	0.110	0.0	0.5
31	2.98	1.21	0	4	0.140	0.0	0.5
32	2.94	1.27	0	4	0.120	0.0	0.5
33	2.74	1.45	0	4	0.190	0.0	0.5
34	3.26	1.09	0	4	0.130	0.0	1.0
35	3.16	1.12	0	4	0.120	0.0	1.0
36	3.00	1.22	0	4	0.190	0.0	0.5
37	2.94	1.27	0	4	0.140	0.0	0.5
38	2.70	1.43	0	4	0.140	0.0	0.5
39	2.84	1.17	0	4	0.160	0.0	0.5
40	3.06	1.14	0	4	0.110	0.0	0.5
41	3.10	1.04	0	4	0.170	0.0	0.5
42	3.12	1.11	0	4	0.100	0.0	0.5
43	3.10	1.28	0	4	0.190	0.0	0.5
44	2.94	1.38	0	4	0.190	0.0	0.5
45	3.12	1.14	0	4	0.150	0.0	1.0
46	2.82	1.40	0	4	0.120	0.0	0.5
47	3.04	1.36	0	4	0.160	0.0	0.5
48	2.94	1.22	0	4	0.140	0.0	0.5
49	2.58	1.54	0	4	0.160	0.0	0.5
50	2.90	1.27	0	4	0.170	0.0	0.5
