Size	Network	Method	Binarization	Rep	Source_File	Gene	Position	Rule	Score	MSE	Correct	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	DynamicAccuracy	N_Predictions	N_Errors	N_Regulators
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	1	G10 & (G6 | G8)	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	2	G4 | (G10 & G6)	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	3	(G10 & G4) | (G10 & G6) | (G4 & G6)	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	4	G10 & (G4 | G6)	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	5	G10 & (~G5 | ~G7)	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	6	G4 | ~G1	1.9375	N/A	4	0	1	0	8	0	0	0	0.888888888888889	1	4	0	1
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	7	G10 & ~G7	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	8	G8 | ~G1	1.9375	N/A	4	0	1	0	8	0	0	0	0.888888888888889	1	4	0	1
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	9	~G1 | (~G3 & ~G7)	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	10	~G3 & ~G7	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	11	~G1 | ~G2	1.9375	N/A	4	0	1	0	8	0	0	0	0.888888888888889	1	4	0	1
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	12	~G3 & (~G1 | ~G7)	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	13	G4 | G8 | ~G1	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	14	G10 & (G4 | G9)	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	15	G10 & (~G1 | ~G2)	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	16	~G7 & (G10 | G8)	1.9375	N/A	4	0	3	0	6	0	0	0	0.666666666666667	1	4	0	3
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	17	(G1 & ~G5) | (G10 & ~G1)	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	18	G4 | (G10 & ~G1)	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	19	~G7 & (~G1 | ~G9)	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
10	size10_2	rules_WCSS_size10_2_4_5times	WCSS	4_5times	rules_by_gene.tsv	G1	20	~G7 & (~G1 | ~G5)	1.9375	N/A	4	0	2	0	7	0	0	0	0.777777777777778	1	4	0	2
