combination_id	final_score	composite_score	n_basins	avg_cycle_length	basin_entropy	final_state_concordance	fixed_point_ratio	total_literals	total_nots	avg_k	std_k	k_distance_from_2	G1_position	G1_rule	G10_position	G10_rule	G2_position	G2_rule	G3_position	G3_rule	G4_position	G4_rule	G5_position	G5_rule	G6_position	G6_rule	G7_position	G7_rule	G8_position	G8_rule	G9_position	G9_rule	composite_score_old
3_2_0_0_4_1_4_3_3_0	0.062222222222222234	0.6799999999999999	1	1.0	-0.0	0.6	1.0	25	7	2.5	0.5	0.5	53	G10 & (G7 | ~G1)	5	G6 | G9	201	G3 | (G6 & ~G1)	28	~G3 | ~G7	204	G1 & G10 & G4	138	G4 & ~G5	201	G2 & G6 & G8	32	G2 & (G1 | G7)	17	G10 & ~G8	37	G8 | ~G10	0.6799999999999999
0_2_1_2_3_1_3_4_3_0	0.09733333333333337	0.64	1	1.0	-0.0	0.8	1.0	26	5	2.6	0.48989794855663565	0.6000000000000001	56	G5 | (G7 & G8)	5	G6 | G9	202	G2 | G4 | ~G1	26	G1 | G4 | G5	203	G3 & G6 & G9	138	G4 & ~G5	212	G3 & G5 & G7	33	G2 & (G7 | ~G5)	17	G10 & ~G8	37	G8 | ~G10	0.64
1_2_4_2_3_1_4_0_3_0	0.11511111111111115	0.64	1	1.0	-0.0	0.8	1.0	26	9	2.6	0.48989794855663565	0.6000000000000001	55	G5 & (~G3 | ~G4)	5	G6 | G9	205	~G4 | (~G2 & ~G5)	26	G1 | G4 | G5	203	G3 & G6 & G9	138	G4 & ~G5	201	G2 & G6 & G8	29	~G5 & (G2 | G3)	17	G10 & ~G8	37	G8 | ~G10	0.64
2_2_4_2_3_1_0_4_3_0	0.11511111111111115	0.64	1	1.0	-0.0	0.8	1.0	26	9	2.6	0.48989794855663565	0.6000000000000001	54	G5 & G9 & ~G4	5	G6 | G9	205	~G4 | (~G2 & ~G5)	26	G1 | G4 | G5	203	G3 & G6 & G9	138	G4 & ~G5	209	G7 & G8 & ~G3	33	G2 & (G7 | ~G5)	17	G10 & ~G8	37	G8 | ~G10	0.64
4_2_3_0_1_4_2_3_3_0	0.11733333333333337	0.6799999999999999	1	1.0	-0.0	0.6	1.0	26	5	2.6	0.48989794855663565	0.6000000000000001	52	G10 & G3 & G9	5	G6 | G9	204	G3 | G6 | G8	28	~G3 | ~G7	201	G6 & (G10 | G3)	130	~G3 & (G2 | G4)	211	G10 & G3 & G4	32	G2 & (G1 | G7)	17	G10 & ~G8	37	G8 | ~G10	0.6799999999999999
2_0_3_4_3_1_2_3_3_0	0.11733333333333337	0.6799999999999999	1	1.0	-0.0	0.6	1.0	26	5	2.6	0.48989794855663565	0.6000000000000001	54	G5 & G9 & ~G4	7	G4 | G9	204	G3 | G6 | G8	72	G10 | G8 | ~G9	203	G3 & G6 & G9	138	G4 & ~G5	211	G10 & G3 & G4	32	G2 & (G1 | G7)	17	G10 & ~G8	37	G8 | ~G10	0.6799999999999999
4_0_0_4_2_1_4_1_3_0	0.12622222222222226	0.6799999999999999	1	1.0	-0.0	0.6	1.0	26	7	2.6	0.48989794855663565	0.6000000000000001	52	G10 & G3 & G9	7	G4 | G9	201	G3 | (G6 & ~G1)	72	G10 | G8 | ~G9	202	G10 & G9 & ~G2	138	G4 & ~G5	201	G2 & G6 & G8	30	G2 & G3 & ~G5	17	G10 & ~G8	37	G8 | ~G10	0.6799999999999999
1_2_3_2_2_1_0_3_3_0	0.12622222222222226	0.6799999999999999	1	1.0	-0.0	0.6	1.0	26	7	2.6	0.48989794855663565	0.6000000000000001	55	G5 & (~G3 | ~G4)	5	G6 | G9	204	G3 | G6 | G8	26	G1 | G4 | G5	202	G10 & G9 & ~G2	138	G4 & ~G5	209	G7 & G8 & ~G3	32	G2 & (G1 | G7)	17	G10 & ~G8	37	G8 | ~G10	0.6799999999999999
0_0_0_3_3_1_0_3_3_0	0.1306666666666667	0.6799999999999999	1	1.0	-0.0	0.6	1.0	26	8	2.6	0.48989794855663565	0.6000000000000001	56	G5 | (G7 & G8)	7	G4 | G9	201	G3 | (G6 & ~G1)	25	~G7 | (~G1 & ~G3)	203	G3 & G6 & G9	138	G4 & ~G5	209	G7 & G8 & ~G3	32	G2 & (G1 | G7)	17	G10 & ~G8	37	G8 | ~G10	0.6799999999999999
1_2_0_0_3_0_3_3_3_0	0.1306666666666667	0.6799999999999999	1	1.0	-0.0	0.6	1.0	26	8	2.6	0.48989794855663565	0.6000000000000001	55	G5 & (~G3 | ~G4)	5	G6 | G9	201	G3 | (G6 & ~G1)	28	~G3 | ~G7	203	G3 & G6 & G9	137	G4 & (G5 | ~G2)	212	G3 & G5 & G7	32	G2 & (G1 | G7)	17	G10 & ~G8	37	G8 | ~G10	0.6799999999999999
