generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.56	0.80	1	4	0.360	0.0	0.5
1	1.94	0.95	0	4	0.270	0.0	1.0
2	2.36	0.84	0	4	0.320	0.0	0.5
3	2.44	0.83	1	4	0.370	0.0	0.5
4	2.44	0.90	1	4	0.340	0.0	0.5
5	2.44	0.85	1	4	0.220	0.0	0.5
6	2.34	0.93	0	4	0.160	0.0	0.5
7	2.46	0.85	1	4	0.170	0.0	0.5
8	2.34	0.97	1	4	0.210	0.0	0.5
9	2.34	1.01	0	4	0.160	0.0	0.5
10	2.48	0.94	0	4	0.180	0.0	0.5
11	2.44	1.02	0	4	0.200	0.0	1.0
12	2.52	1.04	1	4	0.180	0.0	0.5
13	2.48	1.17	0	4	0.180	0.0	0.5
14	2.60	1.22	0	4	0.180	0.0	1.0
15	2.52	1.24	0	4	0.190	0.0	0.5
16	2.24	1.30	0	4	0.180	0.0	0.5
17	2.72	1.13	1	4	0.190	0.0	0.5
18	2.56	1.13	0	4	0.210	0.0	0.5
19	2.64	1.14	0	4	0.240	0.0	0.5
20	2.82	0.97	1	4	0.250	0.0	0.5
21	2.78	1.08	1	4	0.210	0.0	0.5
22	2.26	1.31	0	4	0.220	0.0	0.5
23	2.42	1.18	0	4	0.290	0.0	0.5
24	2.70	1.12	0	4	0.250	0.0	0.5
25	2.64	1.18	0	4	0.260	0.0	0.5
26	2.58	1.17	1	4	0.280	0.0	0.5
27	2.72	1.11	1	4	0.270	0.0	0.5
28	2.50	1.10	1	4	0.270	0.0	0.5
29	2.44	1.13	1	4	0.230	0.0	0.5
30	2.44	1.12	1	4	0.280	0.0	1.0
31	2.48	1.20	0	4	0.260	0.0	0.5
32	2.72	1.00	0	4	0.250	0.0	0.5
33	2.48	1.12	0	4	0.270	0.0	0.5
34	2.44	1.20	0	4	0.250	0.0	1.0
35	2.46	1.25	0	4	0.240	0.0	0.5
36	2.54	1.14	1	4	0.290	0.0	0.5
37	2.58	1.13	1	4	0.330	0.0	0.5
38	2.84	0.95	1	4	0.300	0.0	0.5
39	2.52	1.20	0	4	0.310	0.0	0.5
40	2.52	1.20	0	4	0.290	0.0	0.5
41	2.48	1.27	0	4	0.240	0.0	0.5
42	2.60	1.17	0	4	0.220	0.0	0.5
43	2.52	1.19	0	4	0.270	0.0	0.5
44	2.42	1.23	0	4	0.270	0.0	0.5
45	2.46	1.30	0	4	0.250	0.0	0.5
46	2.62	1.09	0	4	0.230	0.0	0.5
47	2.52	1.24	0	4	0.190	0.0	0.5
48	2.34	1.21	1	4	0.240	0.0	0.5
49	2.68	1.09	1	4	0.260	0.0	0.5
50	2.62	1.11	1	4	0.310	0.0	0.5
