Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	37	~G4 | (G3 & G6)	4	3		1.9375
G1	38	G6 | (G3 & ~G4)	4	3		1.9375
G1	39	~G4 | (G3 & G5)	4	3		1.9375
G10	139	G2 | G7 | G9	4	3		1.9375
G2	26	G2 | G8 | ~G1	4	3		1.9375
G2	27	~G6 & (G2 | G8)	4	3		1.9375
G3	23	G5 | ~G4	4	2		1.9375
G4	114	G2 | (~G10 & ~G5)	4	3		1.9375
G5	257	G6 & (G2 | G7)	4	3		1.9375
G6	235	G10 & G4 & ~G3	4	3		1.9375
G6	236	G3 & G6 & ~G1	4	3		1.9375
G7	131	G2 | G9 | ~G3	4	3		1.9375
G8	37	~G5 & (~G1 | ~G8)	4	3		1.9375
G9	28	G4 & (G9 | ~G6)	4	3		1.9375
G9	30	G8 | G9 | ~G3	4	3		1.9375
