generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	9.06	3.68	2	16	0.400	0.0	1.0	0.9996	0.2387	1.7354
1	11.42	3.49	2	16	0.380	0.0	1.0	0.9674	0.0506	1.7354
2	12.30	3.85	3	18	0.370	0.0	1.5	0.8171	0.0492	1.7354
3	13.02	4.24	2	18	0.370	0.0	0.5	0.7920	0.1427	1.7010
4	13.56	3.52	2	18	0.330	0.0	0.5	0.6880	0.1427	1.7010
5	12.96	3.87	4	18	0.270	0.0	1.0	0.7232	0.1427	1.7010
6	13.22	4.01	3	19	0.220	0.0	0.5	0.6291	0.1427	1.6747
7	12.78	4.28	2	19	0.210	0.0	0.5	0.6656	0.1427	1.6747
8	12.96	4.13	5	19	0.160	0.0	0.5	0.6354	0.1427	1.7354
9	12.38	4.49	4	19	0.170	0.0	1.0	0.6416	0.1427	1.7109
10	13.38	4.56	2	19	0.190	0.0	0.5	0.5203	0.1427	1.4876
11	12.52	5.04	4	19	0.250	0.0	1.0	0.5357	0.1179	1.7354
12	12.32	5.29	2	19	0.310	0.0	0.5	0.6465	0.1425	1.7354
13	13.68	5.06	2	19	0.260	0.0	1.0	0.5301	0.1179	1.5408
14	12.58	4.90	2	19	0.100	0.0	1.0	0.4298	0.1427	1.7354
15	12.70	4.81	4	19	0.190	0.0	1.0	0.4990	0.1427	1.7354
16	12.72	5.55	2	19	0.220	0.0	1.0	0.4455	0.1427	1.7354
17	13.04	5.30	2	19	0.240	0.0	1.0	0.4963	0.1427	1.7354
18	13.18	4.79	2	19	0.170	0.0	1.0	0.5401	0.1427	1.7354
19	12.74	4.77	4	19	0.190	0.0	0.5	0.5356	0.1425	1.5277
20	11.44	6.05	2	19	0.210	0.0	1.0	0.5295	0.1427	1.7354
21	13.14	5.08	3	19	0.200	0.0	0.5	0.5020	0.1309	1.7354
22	12.40	5.13	3	19	0.190	0.0	0.5	0.5094	0.1425	1.7354
23	12.72	5.06	3	19	0.170	0.0	0.5	0.5764	0.1425	1.7354
24	12.94	4.96	4	19	0.190	0.0	0.5	0.5372	0.1425	1.7354
25	12.28	5.01	2	19	0.120	0.0	1.0	0.5486	0.1427	1.7354
26	13.20	5.10	2	19	0.190	0.0	0.5	0.4814	0.1425	1.7354
27	13.26	4.97	2	19	0.160	0.0	0.5	0.4955	0.1310	1.4526
28	13.44	4.63	3	19	0.130	0.0	0.5	0.4981	0.1309	1.7354
29	14.14	4.54	2	19	0.180	0.0	0.5	0.5033	0.1309	1.7354
30	13.96	5.00	2	19	0.190	0.0	0.5	0.4339	0.1060	1.7354
31	13.62	5.36	2	19	0.140	0.0	0.5	0.4313	0.1427	1.5081
32	14.20	4.72	4	19	0.250	0.0	1.5	0.5530	0.1090	1.7354
33	14.08	4.91	4	19	0.260	0.0	1.5	0.5030	0.1425	1.7354
34	12.94	5.10	3	19	0.190	0.0	1.0	0.4364	0.1425	1.3348
35	12.52	5.19	4	19	0.230	0.0	1.0	0.5353	0.1427	1.7354
36	12.78	5.58	2	19	0.160	0.0	0.5	0.5006	0.1427	1.7354
37	12.66	5.29	4	19	0.210	0.0	1.0	0.5388	0.1425	1.7354
38	13.94	4.37	2	19	0.240	0.0	1.5	0.5789	0.1425	1.7354
39	12.42	4.91	3	19	0.200	0.0	0.5	0.6566	0.1427	1.7354
40	13.34	4.89	3	19	0.100	0.0	0.5	0.5232	0.1427	1.7354
41	13.06	4.89	2	19	0.210	0.0	0.5	0.5582	0.1425	1.7354
42	13.04	5.38	2	19	0.180	0.0	0.5	0.5174	0.1427	1.7354
43	13.10	5.11	2	19	0.210	0.0	1.0	0.4891	0.0224	1.7354
44	13.46	4.82	2	19	0.220	0.0	1.0	0.5824	0.1233	1.7354
45	12.44	5.28	2	19	0.150	0.0	1.0	0.5453	0.1425	1.7354
46	13.46	5.23	2	19	0.250	0.0	1.0	0.5899	0.1310	1.7354
47	12.46	5.65	2	19	0.140	0.0	0.5	0.4316	0.1425	1.7354
48	11.68	5.80	2	19	0.180	0.0	0.5	0.5919	0.1090	1.7354
49	13.44	4.91	2	19	0.240	0.0	1.0	0.5088	0.1427	1.7354
50	13.48	5.18	2	19	0.200	0.0	1.0	0.5682	0.0897	1.7354
