combination_id	final_score	composite_score	n_basins	avg_cycle_length	basin_entropy	final_state_concordance	fixed_point_ratio	total_literals	total_nots	avg_k	std_k	k_distance_from_2	G1_position	G1_rule	G10_position	G10_rule	G2_position	G2_rule	G3_position	G3_rule	G4_position	G4_rule	G5_position	G5_rule	G6_position	G6_rule	G7_position	G7_rule	G8_position	G8_rule	G9_position	G9_rule	composite_score_old
1_0_0_0_0_1_0_0_0_0	0.07	3.0599999999999996	9	1.0	2.1162040825023336	0.7	1.0	30	8	3.0	0.0	1.0	2	G1 & G3 & ~G7	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	2	G5 & (G2 | ~G4)	1	G6 | (G2 & G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	3.0599999999999996
1_0_0_0_0_1_2_0_0_0	0.08243833432201608	3.0599999999999996	9	1.0	2.2677336267517685	0.7	1.0	30	8	3.0	0.0	1.0	2	G1 & G3 & ~G7	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	2	G5 & (G2 | ~G4)	3	G2 & (G6 | G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	3.0599999999999996
1_0_0_0_0_1_1_0_0_0	0.08572398015187027	3.0599999999999996	9	1.0	2.3077608846042623	0.7	1.0	30	8	3.0	0.0	1.0	2	G1 & G3 & ~G7	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	2	G5 & (G2 | ~G4)	2	G6 & (G2 | G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	3.0599999999999996
0_0_0_0_0_1_0_0_0_0	0.18346682308737217	3.9599999999999995	12	1.0	2.3467129494860317	0.7	1.0	30	9	3.0	0.0	1.0	1	G1 & (~G3 | ~G7)	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	2	G5 & (G2 | ~G4)	1	G6 | (G2 & G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	3.9599999999999995
0_0_0_0_0_1_2_0_0_0	0.20280896599182613	3.9599999999999995	12	1.0	2.5823478844573162	0.7	1.0	30	9	3.0	0.0	1.0	1	G1 & (~G3 | ~G7)	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	2	G5 & (G2 | ~G4)	3	G2 & (G6 | G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	3.9599999999999995
0_0_0_0_0_1_1_0_0_0	0.207237735053176	3.9599999999999995	12	1.0	2.6363011984685416	0.7	1.0	30	9	3.0	0.0	1.0	1	G1 & (~G3 | ~G7)	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	2	G5 & (G2 | ~G4)	2	G6 & (G2 | G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	3.9599999999999995
1_0_0_0_0_0_2_0_0_0	0.25992096389826025	4.084999999999999	12	1.25	2.958323023597247	0.7	0.75	30	7	3.0	0.0	1.0	2	G1 & G3 & ~G7	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	1	G5 & (G2 | G4)	3	G2 & (G6 | G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	4.084999999999999
1_0_0_0_0_0_1_0_0_0	0.26154054089163453	4.084999999999999	12	1.25	2.978053459950649	0.7	0.75	30	7	3.0	0.0	1.0	2	G1 & G3 & ~G7	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	1	G5 & (G2 | G4)	2	G6 & (G2 | G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	4.084999999999999
1_0_0_0_0_0_0_0_0_0	0.38358498336512353	5.06	15	1.4	3.023725365643534	0.7	0.6	30	7	3.0	0.0	1.0	2	G1 & G3 & ~G7	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	1	G5 & (G2 | G4)	1	G6 | (G2 & G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	5.06
0_0_0_0_0_0_2_0_0_0	0.40067352916325083	5.284999999999999	16	1.25	3.2997401053186155	0.7	0.75	30	8	3.0	0.0	1.0	1	G1 & (~G3 | ~G7)	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	1	G5 & (G2 | G4)	3	G2 & (G6 | G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	5.284999999999999
0_0_0_0_0_0_1_0_0_0	0.4035227272727273	5.284999999999999	16	1.25	3.3344503550858327	0.7	0.75	30	8	3.0	0.0	1.0	1	G1 & (~G3 | ~G7)	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	1	G5 & (G2 | G4)	2	G6 & (G2 | G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	5.284999999999999
0_0_0_0_0_0_0_0_0_0	0.5391156360791568	6.56	20	1.4	3.323676624584086	0.7	0.6	30	8	3.0	0.0	1.0	1	G1 & (~G3 | ~G7)	1	G2 | G4 | G5	1	G4 | ~G2 | ~G5	1	G3 | (G6 & G7)	1	G2 | (G1 & G8)	1	G5 & (G2 | G4)	1	G6 | (G2 & G8)	1	~G5 & (G4 | G7)	1	~G10 & (~G1 | ~G5)	1	G2 & G4 & G6	6.56
