generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty	avg_mlp_loss	min_mlp_loss	max_mlp_loss
0	8.88	6.50	1	19	0.360	0.0	0.5	0.9199	0.1868	1.1431
1	13.92	6.25	1	19	0.290	0.0	1.0	0.8897	0.1556	1.1378
2	15.16	5.65	2	19	0.210	0.0	0.5	0.8750	0.1999	1.1431
3	16.36	4.56	2	19	0.130	0.0	1.0	0.8761	0.0356	1.1297
4	17.70	3.71	2	19	0.170	0.0	1.0	0.8240	0.1999	1.1378
5	17.52	3.14	2	19	0.130	0.0	1.0	0.7182	0.1011	1.1337
6	16.20	5.38	1	19	0.130	0.0	1.0	0.6937	0.1011	1.1352
7	16.52	4.42	2	19	0.100	0.0	1.0	0.6204	0.0528	1.1337
8	16.64	4.33	2	19	0.180	0.0	1.0	0.7101	0.0528	1.1352
9	17.66	2.53	9	19	0.090	0.0	0.5	0.6969	0.1999	1.1352
10	17.30	3.51	1	19	0.100	0.0	0.5	0.7089	0.1999	1.1352
11	17.38	3.87	2	19	0.130	0.0	1.0	0.6830	0.0660	1.1450
12	16.84	4.61	2	19	0.110	0.0	0.5	0.7020	0.1999	1.1352
13	16.84	4.23	2	19	0.180	0.0	1.0	0.6600	0.0986	1.1352
14	15.86	5.04	2	19	0.100	0.0	0.5	0.6676	0.1999	1.1352
15	16.86	4.53	2	19	0.110	0.0	1.0	0.6578	0.1610	1.1431
16	16.26	4.96	1	19	0.150	0.0	0.5	0.6806	0.1868	1.1450
17	17.50	2.88	9	19	0.140	0.0	0.5	0.6358	0.1868	1.1450
18	17.28	3.58	2	19	0.130	0.0	1.0	0.6443	0.0356	1.1352
19	16.80	4.37	1	19	0.130	0.0	1.5	0.6272	0.0660	1.1352
20	16.54	4.53	2	19	0.120	0.0	0.5	0.7004	0.1999	1.1431
21	16.60	4.12	2	19	0.170	0.0	1.0	0.6676	0.0481	1.1352
22	17.30	4.35	2	19	0.150	0.0	1.0	0.6715	0.0481	1.1352
23	17.12	4.11	2	19	0.190	0.0	0.5	0.7094	0.1999	1.1431
24	16.52	4.85	2	19	0.130	0.0	1.0	0.6163	0.1821	1.1352
25	15.82	4.68	2	19	0.150	0.0	1.0	0.6757	0.0481	1.1378
26	16.78	4.56	1	19	0.100	0.0	1.0	0.6466	0.1868	1.1450
27	17.08	4.40	1	19	0.110	0.0	1.0	0.7166	0.1821	1.1378
28	17.00	3.85	2	19	0.140	0.0	1.5	0.7585	0.0512	1.1378
29	16.94	4.41	2	19	0.150	0.0	1.0	0.7279	0.1821	1.1431
30	16.98	3.66	7	19	0.110	0.0	0.5	0.7460	0.1999	1.1352
31	17.92	2.60	2	19	0.130	0.0	1.0	0.6159	0.1999	1.1352
32	16.92	4.40	1	19	0.070	0.0	0.5	0.6412	0.1685	1.1450
33	17.24	4.23	2	19	0.080	0.0	0.5	0.6817	0.1999	1.1352
34	17.66	3.08	2	19	0.100	0.0	0.5	0.7001	0.1999	1.1431
35	16.90	4.07	1	19	0.120	0.0	0.5	0.7436	0.1999	1.1352
36	18.20	2.47	2	19	0.090	0.0	0.5	0.6380	0.1999	1.1450
37	16.62	4.05	2	19	0.100	0.0	0.5	0.6847	0.1999	1.1352
38	16.34	4.92	2	19	0.140	0.0	1.0	0.6420	0.1999	1.1352
39	16.78	4.42	2	19	0.140	0.0	1.0	0.6997	0.1541	1.1450
40	17.38	3.02	7	19	0.140	0.0	0.5	0.7034	0.1999	1.1352
41	16.78	3.92	2	19	0.110	0.0	0.5	0.6313	0.1999	1.1352
42	18.02	2.45	8	19	0.130	0.0	1.0	0.6664	0.0986	1.1352
43	17.30	3.47	2	19	0.170	0.0	1.5	0.6252	0.0512	1.1352
44	17.06	4.25	1	19	0.060	0.0	0.5	0.6585	0.1999	1.1450
45	16.54	4.30	2	19	0.140	0.0	0.5	0.7199	0.1999	1.1352
46	16.64	4.42	2	19	0.160	0.0	0.5	0.6804	0.1999	1.1352
47	16.44	4.76	1	19	0.160	0.0	0.5	0.6659	0.1999	1.1352
48	16.02	5.17	1	19	0.120	0.0	1.0	0.6959	0.1845	1.1352
49	14.24	6.31	2	19	0.210	0.0	1.0	0.7351	0.0481	1.1352
50	16.40	4.84	1	19	0.130	0.0	0.5	0.7422	0.1999	1.1352
