rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	G6 | ~G1	4	2	0.0	G1, G6	2	40
2	G6 | ~G1	4	2	0.0	G1, G6	2	40
3	G4 | (~G1 & ~G6)	4	3	0.0	G1, G4, G6	3	40
4	G5 & ~G1 & ~G7	4	3	0.0	G1, G5, G7	3	40
5	~G1	4	1	0.5	G1	1	40
6	G5 & ~G1	4	2	0.0	G1, G5	2	40
7	G6 | ~G1	4	2	0.0	G1, G6	2	40
8	~G1 & ~G6	4	2	0.0	G1, G6	2	40
9	G4 | ~G1	4	2	0.0	G1, G4	2	40
10	G6 | ~G1	4	2	0.0	G1, G6	2	40
11	~G2 & ~G8	4	2	0.0	G2, G8	2	40
12	~G1 & ~G6	4	2	0.0	G1, G6	2	40
13	~G1	4	1	0.5	G1	1	40
14	~G1	4	1	0.5	G1	1	40
15	~G1	4	1	0.5	G1	1	40
16	~G1	4	1	0.5	G1	1	40
17	~G1	4	1	0.5	G1	1	40
18	~G1	4	1	0.5	G1	1	40
19	~G1	4	1	0.5	G1	1	40
20	G6 & G8	3	2	0.0	G6, G8	2	40
21	G2 & ~G5	3	2	0.0	G2, G5	2	40
22	False	3	1	0.5	False	1	40
23	G6 | ~G1 | ~G8	3	3	0.0	G1, G6, G8	3	40
24	False	3	1	0.5	False	1	40
25	G5 & G9	3	2	0.0	G5, G9	2	40
26	G4 & ~G1	3	2	0.0	G1, G4	2	40
27	G7 & (G1 | G4 | G8)	3	4	0.5	G1, G4, G7, G8	4	40
28	~G8	3	1	0.5	G8	1	40
29	False	3	1	0.5	False	1	40
30	G4	3	1	0.5	G4	1	40
31	~G8	3	1	0.5	G8	1	40
32	G1 & ~G8	2	2	0.0	G1, G8	2	40
33	G8 | ~G1	2	2	0.0	G1, G8	2	40
34	~G5	2	1	0.5	G5	1	40
35	~G5	2	1	0.5	G5	1	40
36	~G2	2	1	0.5	G2	1	40
37	~G10	2	1	0.5	G10	1	40
38	G5	2	1	0.5	G5	1	40
39	~G3 | ~G6	1	2	0.0	G3, G6	2	40
40	G1 & G5	1	2	0.0	G1, G5	2	40
41	~G1 | ~G6	1	2	0.0	G1, G6	2	40
42	G8	1	1	0.5	G8	1	40
43	~G6	1	1	0.5	G6	1	40
44	~G4	1	1	0.5	G4	1	40
45	~G4	1	1	0.5	G4	1	40
46	G2 | G8	0	2	0.0	G2, G8	2	40
47	G1 | G6	0	2	0.0	G1, G6	2	40
48	G1 | G6	0	2	0.0	G1, G6	2	40
49	G1	0	1	0.5	G1	1	40
50	G1	0	1	0.5	G1	1	40
