Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	1	G10 & G2 & ~G7	20	3	0.091949	2.8456
G10	1	G10 | (~G3 & ~G6)	18	3	0.225198	2.6123
G2	1	G3 | (G10 & G8)	18	3	0.257973	2.5795
G3	1	G8 | (G1 & G6)	17	3	0.209251	2.5782
G4	1	G10 & G6	20	2	0.08087	2.8566
G5	1	G5 | (G3 & ~G2)	19	3	0.177171	2.7103
G6	1	G6 & (~G10 | ~G4)	19	3	0.046817	2.8407
G7	1	G7 & (G1 | G6)	19	3	0.170194	2.7173
G7	4	G6 & (G1 | G7)	19	3	0.170194	2.7173
G8	1	~G6 & (G10 | G2)	20	3	0.081032	2.8565
G9	1	G7 | (G2 & G4)	20	3	0.094505	2.843
