combination_id	final_score	composite_score	n_basins	avg_cycle_length	basin_entropy	final_state_concordance	fixed_point_ratio	total_literals	total_nots	avg_k	std_k	k_distance_from_2	G1_position	G1_rule	G10_position	G10_rule	G2_position	G2_rule	G3_position	G3_rule	G4_position	G4_rule	G5_position	G5_rule	G6_position	G6_rule	G7_position	G7_rule	G8_position	G8_rule	G9_position	G9_rule	composite_score_old
3_0_3_1_0_4_2_3_2_2	0.032	0.6	1	1.0	-0.0	1.0	1.0	28	9	2.8	0.39999999999999997	0.7999999999999998	56	G3 & (G1 | G6)	241	~G1 & ~G7	1	G3 | G8	59	G8 & (G1 | ~G10)	129	~G1 & (G2 | ~G6)	37	G3 & (G1 | G6)	40	G3 | (G5 & G7)	65	~G1 | (G5 & ~G3)	241	G10 & (G4 | ~G1)	115	G7 & (G2 | ~G6)	0.6
3_0_3_3_4_3_1_3_4_4	0.032	0.6	1	1.0	-0.0	1.0	1.0	28	9	2.8	0.39999999999999997	0.7999999999999998	56	G3 & (G1 | G6)	241	~G1 & ~G7	1	G3 | G8	61	G10 | (G4 & ~G2)	133	~G1 & (~G2 | ~G3)	36	G1 & (G10 | G3)	39	G3 | (G6 & G8)	65	~G1 | (G5 & ~G3)	243	G10 & (G2 | G9)	105	~G1 & (G7 | G9)	0.6
3_0_4_1_0_4_0_2_0_2	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	56	G3 & (G1 | G6)	241	~G1 & ~G7	2	G3 | G9	59	G8 & (G1 | ~G10)	129	~G1 & (G2 | ~G6)	37	G3 & (G1 | G6)	38	G3 | (G2 & G8)	64	~G3 | (G7 & ~G9)	249	G10 & G5 & G9	115	G7 & (G2 | ~G6)	0.62
0_0_4_3_3_4_1_2_1_4	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	59	G3 | (G4 & G6)	241	~G1 & ~G7	2	G3 | G9	61	G10 | (G4 & ~G2)	132	~G1 & (G4 | ~G6)	37	G3 & (G1 | G6)	39	G3 | (G6 & G8)	64	~G3 | (G7 & ~G9)	250	G4 & (G10 | G8)	105	~G1 & (G7 | G9)	0.62
3_0_3_1_1_4_3_2_4_1	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	56	G3 & (G1 | G6)	241	~G1 & ~G7	1	G3 | G8	59	G8 & (G1 | ~G10)	130	~G1 & (G6 | ~G10)	37	G3 & (G1 | G6)	41	G3 | (G10 & G8)	64	~G3 | (G7 & ~G9)	243	G10 & (G2 | G9)	114	G7 & (G2 | ~G4)	0.62
3_0_3_3_0_2_0_4_0_1	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	56	G3 & (G1 | G6)	241	~G1 & ~G7	1	G3 | G8	61	G10 | (G4 & ~G2)	129	~G1 & (G2 | ~G6)	35	G10 | G3 | G4	38	G3 | (G2 & G8)	66	~G3 | (G2 & ~G6)	249	G10 & G5 & G9	114	G7 & (G2 | ~G4)	0.62
4_0_4_1_3_2_0_1_1_2	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	55	G3 & (G6 | G8)	241	~G1 & ~G7	2	G3 | G9	59	G8 & (G1 | ~G10)	132	~G1 & (G4 | ~G6)	35	G10 | G3 | G4	38	G3 | (G2 & G8)	63	~G3 & (G2 | ~G5)	250	G4 & (G10 | G8)	115	G7 & (G2 | ~G6)	0.62
0_0_3_2_1_3_0_1_4_2	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	59	G3 | (G4 & G6)	241	~G1 & ~G7	1	G3 | G8	60	G4 | (G10 & ~G2)	130	~G1 & (G6 | ~G10)	36	G1 & (G10 | G3)	38	G3 | (G2 & G8)	63	~G3 & (G2 | ~G5)	243	G10 & (G2 | G9)	115	G7 & (G2 | ~G6)	0.62
2_0_3_4_1_2_2_3_0_4	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	57	G4 | (G1 & G3)	241	~G1 & ~G7	1	G3 | G8	62	G10 & (G5 | ~G9)	130	~G1 & (G6 | ~G10)	35	G10 | G3 | G4	40	G3 | (G5 & G7)	65	~G1 | (G5 & ~G3)	249	G10 & G5 & G9	105	~G1 & (G7 | G9)	0.62
4_0_4_3_0_3_3_3_4_2	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	55	G3 & (G6 | G8)	241	~G1 & ~G7	2	G3 | G9	61	G10 | (G4 & ~G2)	129	~G1 & (G2 | ~G6)	36	G1 & (G10 | G3)	41	G3 | (G10 & G8)	65	~G1 | (G5 & ~G3)	243	G10 & (G2 | G9)	115	G7 & (G2 | ~G6)	0.62
3_0_3_3_1_3_1_3_4_2	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	56	G3 & (G1 | G6)	241	~G1 & ~G7	1	G3 | G8	61	G10 | (G4 & ~G2)	130	~G1 & (G6 | ~G10)	36	G1 & (G10 | G3)	39	G3 | (G6 & G8)	65	~G1 | (G5 & ~G3)	243	G10 & (G2 | G9)	115	G7 & (G2 | ~G6)	0.62
0_0_3_3_1_3_0_2_0_1	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	59	G3 | (G4 & G6)	241	~G1 & ~G7	1	G3 | G8	61	G10 | (G4 & ~G2)	130	~G1 & (G6 | ~G10)	36	G1 & (G10 | G3)	38	G3 | (G2 & G8)	64	~G3 | (G7 & ~G9)	249	G10 & G5 & G9	114	G7 & (G2 | ~G4)	0.62
3_0_3_4_3_2_2_4_0_0	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	56	G3 & (G1 | G6)	241	~G1 & ~G7	1	G3 | G8	62	G10 & (G5 | ~G9)	132	~G1 & (G4 | ~G6)	35	G10 | G3 | G4	40	G3 | (G5 & G7)	66	~G3 | (G2 & ~G6)	249	G10 & G5 & G9	113	G7 & (G10 | ~G4)	0.62
3_0_3_1_3_4_0_2_4_0	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	56	G3 & (G1 | G6)	241	~G1 & ~G7	1	G3 | G8	59	G8 & (G1 | ~G10)	132	~G1 & (G4 | ~G6)	37	G3 & (G1 | G6)	38	G3 | (G2 & G8)	64	~G3 | (G7 & ~G9)	243	G10 & (G2 | G9)	113	G7 & (G10 | ~G4)	0.62
4_0_3_4_1_4_3_1_4_1	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	55	G3 & (G6 | G8)	241	~G1 & ~G7	1	G3 | G8	62	G10 & (G5 | ~G9)	130	~G1 & (G6 | ~G10)	37	G3 & (G1 | G6)	41	G3 | (G10 & G8)	63	~G3 & (G2 | ~G5)	243	G10 & (G2 | G9)	114	G7 & (G2 | ~G4)	0.62
2_0_3_0_1_3_3_3_0_4	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	57	G4 | (G1 & G3)	241	~G1 & ~G7	1	G3 | G8	58	G8 | (G4 & ~G3)	130	~G1 & (G6 | ~G10)	36	G1 & (G10 | G3)	41	G3 | (G10 & G8)	65	~G1 | (G5 & ~G3)	249	G10 & G5 & G9	105	~G1 & (G7 | G9)	0.62
3_0_3_1_0_4_4_1_4_1	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	56	G3 & (G1 | G6)	241	~G1 & ~G7	1	G3 | G8	59	G8 & (G1 | ~G10)	129	~G1 & (G2 | ~G6)	37	G3 & (G1 | G6)	42	G3 | (G4 & G6)	63	~G3 & (G2 | ~G5)	243	G10 & (G2 | G9)	114	G7 & (G2 | ~G4)	0.62
2_0_3_0_1_2_3_4_4_1	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	57	G4 | (G1 & G3)	241	~G1 & ~G7	1	G3 | G8	58	G8 | (G4 & ~G3)	130	~G1 & (G6 | ~G10)	35	G10 | G3 | G4	41	G3 | (G10 & G8)	66	~G3 | (G2 & ~G6)	243	G10 & (G2 | G9)	114	G7 & (G2 | ~G4)	0.62
4_0_4_3_0_4_4_1_0_0	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	55	G3 & (G6 | G8)	241	~G1 & ~G7	2	G3 | G9	61	G10 | (G4 & ~G2)	129	~G1 & (G2 | ~G6)	37	G3 & (G1 | G6)	42	G3 | (G4 & G6)	63	~G3 & (G2 | ~G5)	249	G10 & G5 & G9	113	G7 & (G10 | ~G4)	0.62
0_0_4_1_3_4_4_4_4_4	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	59	G3 | (G4 & G6)	241	~G1 & ~G7	2	G3 | G9	59	G8 & (G1 | ~G10)	132	~G1 & (G4 | ~G6)	37	G3 & (G1 | G6)	42	G3 | (G4 & G6)	66	~G3 | (G2 & ~G6)	243	G10 & (G2 | G9)	105	~G1 & (G7 | G9)	0.62
4_0_3_4_3_4_1_1_1_1	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	55	G3 & (G6 | G8)	241	~G1 & ~G7	1	G3 | G8	62	G10 & (G5 | ~G9)	132	~G1 & (G4 | ~G6)	37	G3 & (G1 | G6)	39	G3 | (G6 & G8)	63	~G3 & (G2 | ~G5)	250	G4 & (G10 | G8)	114	G7 & (G2 | ~G4)	0.62
0_0_3_1_0_2_3_3_4_1	0.034	0.62	1	1.0	-0.0	0.9	1.0	28	8	2.8	0.39999999999999997	0.7999999999999998	59	G3 | (G4 & G6)	241	~G1 & ~G7	1	G3 | G8	59	G8 & (G1 | ~G10)	129	~G1 & (G2 | ~G6)	35	G10 | G3 | G4	41	G3 | (G10 & G8)	65	~G1 | (G5 & ~G3)	243	G10 & (G2 | G9)	114	G7 & (G2 | ~G4)	0.62
