rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition	mlp_loss
1	G10 & G5	16	2	0.0	G10, G5	2	2	0.3587423026354002
2	G10 & G5	16	2	0.0	G10, G5	2	2	0.3587423026354002
3	G10 & G5	16	2	0.0	G10, G5	2	2	0.3587423026354002
4	G10 & G5	16	2	0.0	G10, G5	2	2	0.3587423026354002
5	G10 & G5	16	2	0.0	G10, G5	2	2	0.3587423026354002
6	G10 & G5	16	2	0.0	G10, G5	2	2	0.3587423026354002
7	G10 & G8	16	2	0.0	G10, G8	2	2	0.3644906125823688
8	G10 & G8	16	2	0.0	G10, G8	2	2	0.3644906125823688
9	G10 & G8	16	2	0.0	G10, G8	2	2	0.3644906125823688
10	G10 & G8	16	2	0.0	G10, G8	2	2	0.3644906125823688
11	G10 & G8	16	2	0.0	G10, G8	2	2	0.3644906125823688
12	G10 & G8	16	2	0.0	G10, G8	2	2	0.3644906125823688
13	G10 & G8	16	2	0.0	G10, G8	2	2	0.3644906125823688
14	G10 & G8	16	2	0.0	G10, G8	2	2	0.3644906125823688
15	G10 & G8	16	2	0.0	G10, G8	2	2	0.8097034314241158
16	G10 & G8	16	2	0.0	G10, G8	2	2	1.0958533721177914
17	G10 & G8	16	2	0.0	G10, G8	2	2	1.0958533721177914
18	G10 & G5	16	2	0.0	G10, G5	2	2	1.1142242172034935
19	G10	15	1	0.5	G10	1	2	0.9116205623891289
20	G10	15	1	0.5	G10	1	2	0.9116205623891289
21	G10 & G5 & (G2 | G7)	15	4	0.5	G10, G2, G5, G7	4	2	0.10601979999969957
22	G10	15	1	0.5	G10	1	2	1.0239586964587843
23	G10	15	1	0.5	G10	1	2	1.0239586964587843
24	G10	15	1	0.5	G10	1	2	1.0239586964587843
25	G10	15	1	0.5	G10	1	2	1.0239586964587843
26	G10 & G5 & G7	14	3	0.0	G10, G5, G7	3	2	0.5009880542509124
27	G10 & G3	14	2	0.0	G10, G3	2	2	1.0885030509726712
28	False	14	1	0.5	False	1	2	1.1142173676541474
29	False	14	1	0.5	False	1	2	1.114747363057754
30	G10 & G6 & G7 & G8	14	4	0.5	G10, G6, G7, G8	4	2	0.6847948692217274
31	G10 & G5 & G7 & G8 & (G3 | G6)	14	6	1.5	G10, G3, G5, G6, G7, G8	6	2	0.37362416552781463
32	G10 & G6 & G7	13	3	0.0	G10, G6, G7	3	2	0.6938868005671511
33	G10 & G7	13	2	0.0	G10, G7	2	2	0.9116205623891289
34	G10 & G7	13	2	0.0	G10, G7	2	2	0.9116205623891289
35	G2 & G6	13	2	0.0	G2, G6	2	2	1.1516140130421397
36	G10 & (G6 | G9)	13	3	0.0	G10, G6, G9	3	2	1.1443637626683014
37	G10 | (G5 & G7)	12	3	0.0	G10, G5, G7	3	2	0.3587423026354002
38	G10 | G7	12	2	0.0	G10, G7	2	2	0.9116205623891289
39	G6 & G7	12	2	0.0	G6, G7	2	2	0.9216395399568993
40	G1 & ~G7	12	2	0.0	G1, G7	2	2	0.9318146295914486
41	G10 | G5	12	2	0.0	G10, G5	2	2	1.1142242172034935
42	G5 & G7	11	2	0.0	G5, G7	2	2	0.8904866529421797
43	G5 & G7	11	2	0.0	G5, G7	2	2	0.8904866529421797
44	G10 | ~G2	10	2	0.0	G10, G2	2	2	1.1197590830257855
45	G8	10	1	0.5	G8	1	2	1.1428014384407539
46	G8	10	1	0.5	G8	1	2	1.1428014384407539
47	G8	10	1	0.5	G8	1	2	1.1428014384407539
48	G8	10	1	0.5	G8	1	2	1.1428014384407539
49	G6	10	1	0.5	G6	1	2	1.152264847886089
50	G1	8	1	0.5	G1	1	2	1.1279792536822306
