Gene	Pattern	Frequency
G20	000000000011110010000	1
G22	000000000111000010101	1
G80	000000000111100000000	1
G67	000000000111110100100	1
G78	000000000111111000000	1
G89	000000000111111100000	1
G73	000000001111100000000	1
G77	000000001111111000000	1
G24	000000001111111100000	1
G40	000000010000001000111	1
G15	000000010000010000111	1
G55	000000011100110100100	1
G25	000000011111000000000	1
G60	000000011111110000000	1
G23	000000011111111100000	1
G57	000000100110000000000	1
G68	000000101101110000000	1
G29	000000111111100000000	1
G4	000000111111110110000	1
G2	000010001110111001000	1
G86	000010101110000101001	1
G75	000011101010100000000	1
G41	000011111101001100011	1
G1	000011111111111000000	1
G34	000101000000011000100	1
G33	000101011101111001101	1
G28	000111111111111000000	1
G13	001010011001001000100	1
G84	001011101100011101001	1
G65	001011111100001011100	1
G5	001101000111110111010	1
G96	010000000000000011011	1
G3	010000011011010010111	1
G49	010001000000011101111	1
G12	010100110001000111100	1
G30	010100110110101000000	1
G26	010101111111101001111	1
G7	010110010110110001000	1
G27	011001111100000000000	1
G35	011010000101011000011	1
G98	011011011010100010000	1
G19	011100001111110000000	1
G70	011100101000101100000	1
G39	011111001110000000000	1
G81	011111011110000000000	1
G92	100000000000011111111	1
G38	100000000000101011101	1
G46	100000000001101111111	1
G62	100000010110100001000	1
G8	100001011111110110010	1
G58	100100110100100000100	1
G21	100101110101011010010	1
G32	100111010000111110111	1
G42	100111111111011100000	1
G45	101000000001111111110	1
G54	101010110010001010000	1
G97	101010110011111010010	1
G11	101100000001110001010	1
G100	101101100001011110000	1
G18	101110001101111110100	1
G44	110000000000001111111	1
G43	110000000001111111111	1
G51	110010000111010100011	1
G6	110011000000111111111	1
G87	110011010101110100000	1
G88	110101011100101011000	1
G83	110110101111111111011	1
G90	111000000000010011011	1
G94	111000000000011111111	1
G64	111000000000100111111	1
G66	111011011111100110001	1
G47	111100000000001111111	1
G37	111100000000111111111	1
G52	111100100100000100101	1
G85	111101001100111100111	1
G31	111110000000000000101	1
G99	111110011010101010000	1
G63	111110100000001111111	1
G82	111110111011101010110	1
G50	111111101100001000111	1
G76	111111111000001111111	1
G61	000000000001110000000	2
G74	000000000001110000000	2
G59	000000001111110000000	2
G79	000000001111110000000	2
G71	000000011111100000000	2
G72	000000011111100000000	2
G53	111000000000111111111	2
G95	111000000000111111111	2
G48	111111000000011111111	2
G69	111111000000011111111	2
G9	011111111110000000000	4
G14	011111111110000000000	4
G16	011111111110000000000	4
G17	011111111110000000000	4
G10	100000000001111111111	5
G36	100000000001111111111	5
G56	100000000001111111111	5
G91	100000000001111111111	5
G93	100000000001111111111	5
