Gene	Pattern	Frequency
G94	000000000000000001000	1
G4	000000000000000010001	1
G45	000000000000000011000	1
G22	000000000000001000101	1
G73	000000000001010000000	1
G50	000000000011000000000	1
G35	000000010000000000000	1
G65	000000011000000000010	1
G61	000000101000000100000	1
G87	000000111111110000000	1
G72	000001000000000000000	1
G52	000011000000000000000	1
G98	000011111000000000000	1
G82	000100000000000000000	1
G44	000100001010000000000	1
G5	000110000000000000000	1
G16	001000000000000000000	1
G32	001111111111100000000	1
G46	011111111111110100101	1
G78	100000000001111011110	1
G55	100000000100000000000	1
G34	100010000000000000000	1
G27	101000000000110001011	1
G15	101111111110000011000	1
G74	101111111111110111111	1
G36	110000000000000000011	1
G80	110100000001111111111	1
G88	111011111111111111111	1
G68	111110000000001111111	1
G19	111110000000011111111	1
G12	111110000000111111111	1
G7	111111011111111111111	1
G67	111111100000111111111	1
G10	111111100111111111111	1
G2	111111101111111111111	1
G20	111111110110000000000	1
G99	111111111011111111111	1
G63	111111111100111111111	1
G54	111111111101111111111	1
G28	111111111110000001111	1
G49	111111111111001111111	1
G6	111111111111011111011	1
G76	111111111111011111111	1
G58	111111111111111011111	1
G25	000000000000000000010	2
G51	000000000000000000010	2
G42	000000000000100000000	2
G90	000000000000100000000	2
G85	000000000001000000000	2
G91	000000000001000000000	2
G13	000000000100000000000	2
G48	000000000100000000000	2
G86	000000011000000000000	2
G93	000000011000000000000	2
G30	000010000000000000000	2
G47	000010000000000000000	2
G40	101111111111111111111	2
G69	101111111111111111111	2
G14	111111111111111111011	2
G96	111111111111111111011	2
G1	000000000000000100000	3
G60	000000000000000100000	3
G83	000000000000000100000	3
G29	000000000000010000000	3
G84	000000000000010000000	3
G92	000000000000010000000	3
G31	000000000010000000000	3
G57	000000000010000000000	3
G64	000000000010000000000	3
G37	000000001000000000000	3
G38	000000001000000000000	3
G100	000000001000000000000	3
G18	010000000000000000000	3
G56	010000000000000000000	3
G77	010000000000000000000	3
G66	011111111110000000000	3
G75	011111111110000000000	3
G95	011111111110000000000	3
G23	100000000000000000000	3
G26	100000000000000000000	3
G71	100000000000000000000	3
G21	111111111111111110111	3
G41	111111111111111110111	3
G62	111111111111111110111	3
G11	000000000000000000001	4
G39	000000000000000000001	4
G53	000000000000000000001	4
G79	000000000000000000001	4
G8	000000100000000000000	4
G33	000000100000000000000	4
G70	000000100000000000000	4
G89	000000100000000000000	4
G9	100000000001111111111	4
G24	100000000001111111111	4
G43	100000000001111111111	4
G97	100000000001111111111	4
G3	111111111111110111111	4
G17	111111111111110111111	4
G59	111111111111110111111	4
G81	111111111111110111111	4
