Size	Method	Binarization	Rep	TP	FP	FN	TN	Precision	Recall	F1_score	Accuracy	Specificity	DynamicAccuracy	N_Predicciones	N_GoldStandard	Reguladores_Promedio	Reguladores_Mediana	Reguladores_Max	Score_Promedio	MSE_Promedio	Correct_Promedio
size100_1	rules_WCSS_size100_1_1	WCSS	1	8	267	168	9457	0.0290909090909091	0.0454545454545455	0.0354767184035477	0.956060606060606	0.972542163718634	0.9165	275	176	2.75	3	5	2.407317	0.38608093	18.33
size100_1	rules_WCSS_size100_1_2	WCSS	2	7	269	169	9455	0.0253623188405797	0.0397727272727273	0.0309734513274336	0.955757575757576	0.972336487042369	0.908	276	176	2.76	3	4	2.441069	0.37655612	18.16
size100_1	rules_WCSS_size100_1_3	WCSS	3	4	286	172	9438	0.0137931034482759	0.0227272727272727	0.0171673819742489	0.953737373737374	0.970588235294118	0.9055	290	176	2.9	3	5	2.376904	0.45413295	18.11
size100_1	rules_WCSS_size100_1_4	WCSS	4	6	281	170	9443	0.0209059233449477	0.0340909090909091	0.0259179265658747	0.954444444444444	0.97110242698478	0.6245	287	176	2.87	3	3	2.612368	0.30706756	19.46
size100_1	rules_WCSS_size100_1_5	WCSS	5	10	272	166	9452	0.0354609929078014	0.0568181818181818	0.0436681222707424	0.955757575757576	0.972027972027972	0.9185	282	176	2.82	3	4	2.424591	0.41477597	18.37
size100_2	rules_WCSS_size100_2_1	WCSS	1	13	255	236	9396	0.0485074626865672	0.0522088353413655	0.0502901353965184	0.95040404040404	0.973577867578489	0.902	268	249	2.68	3	3	2.425534	0.39421812	18.04
size100_2	rules_WCSS_size100_2_2	WCSS	2	9	270	240	9381	0.032258064516129	0.036144578313253	0.0340909090909091	0.948484848484848	0.972023624494871	0.8935	279	249	2.79	3	6	2.364905	0.43173497	17.87
size100_2	rules_WCSS_size100_2_3	WCSS	3	11	259	238	9392	0.0407407407407407	0.0441767068273092	0.0423892100192678	0.94979797979798	0.973163402756191	0.891	270	249	2.7	3	4	2.349245	0.48356918	17.82
size100_2	rules_WCSS_size100_2_4	WCSS	4	7	269	242	9382	0.0253623188405797	0.0281124497991968	0.0266666666666667	0.948383838383838	0.972127240700446	0.9115	276	249	2.76	3	4	2.441678	0.40844789	18.23
size100_2	rules_WCSS_size100_2_5	WCSS	5	10	267	239	9384	0.036101083032491	0.0401606425702811	0.0380228136882129	0.948888888888889	0.972334473111595	0.909	277	249	2.77	3	4	2.393245	0.44714419	18.18
size100_3	rules_WCSS_size100_3_1	WCSS	1	10	260	185	9445	0.037037037037037	0.0512820512820513	0.043010752688172	0.955050505050505	0.973209685729006	0.901	270	195	2.7	3	4	2.378728	0.43092736	18.02
size100_3	rules_WCSS_size100_3_2	WCSS	2	9	245	186	9460	0.0354330708661417	0.0461538461538462	0.0400890868596882	0.956464646464646	0.974755280783101	0.9245	254	195	2.54	3	4	2.47006	0.34265889	18.49
size100_3	rules_WCSS_size100_3_3	WCSS	3	10	263	185	9442	0.0366300366300366	0.0512820512820513	0.0427350427350427	0.954747474747475	0.972900566718186	0.913	273	195	2.73	3	6	2.457866	0.35517975	18.26
size100_3	rules_WCSS_size100_3_4	WCSS	4	7	267	188	9438	0.0255474452554745	0.0358974358974359	0.0298507462686567	0.954040404040404	0.972488408037094	0.9135	274	195	2.74	3	4	2.416516	0.41757625	18.27
size100_3	rules_WCSS_size100_3_5	WCSS	5	10	244	185	9461	0.0393700787401575	0.0512820512820513	0.044543429844098	0.956666666666667	0.974858320453375	0.909	254	195	2.54	3	4	2.322936	0.48137089	18.18
size100_4	rules_WCSS_size100_4_1	WCSS	1	4	268	207	9421	0.0147058823529412	0.018957345971564	0.0165631469979296	0.952020202020202	0.972339766745794	0.8955	272	211	2.72	3	4	2.371397	0.43621799	17.91
size100_4	rules_WCSS_size100_4_2	WCSS	2	9	263	202	9426	0.0330882352941176	0.042654028436019	0.0372670807453416	0.953030303030303	0.972855815873671	0.911	272	211	2.72	3	5	2.404908	0.43225124	18.22
size100_4	rules_WCSS_size100_4_3	WCSS	3	7	270	204	9419	0.0252707581227437	0.033175355450237	0.0286885245901639	0.952121212121212	0.972133347094643	0.919	277	211	2.77	3	3	2.498389	0.35480981	18.38
size100_4	rules_WCSS_size100_4_4	WCSS	4	6	265	205	9424	0.022140221402214	0.028436018957346	0.024896265560166	0.952525252525253	0.97264939622252	0.892	271	211	2.71	3	4	2.35168	0.45017607	17.84
size100_4	rules_WCSS_size100_4_5	WCSS	5	7	267	204	9422	0.0255474452554745	0.033175355450237	0.0288659793814433	0.952424242424242	0.97244297657137	0.905	274	211	2.74	3	4	2.441868	0.40558041	18.1
size100_5	rules_WCSS_size100_5_1	WCSS	1	10	259	183	9448	0.0371747211895911	0.0518134715025907	0.0432900432900433	0.955353535353535	0.973318223962089	0.8955	269	193	2.69	3	4	2.347163	0.46691904	17.91
size100_5	rules_WCSS_size100_5_2	WCSS	2	9	266	184	9441	0.0327272727272727	0.0466321243523316	0.0384615384615385	0.954545454545455	0.972597094879983	0.9175	275	193	2.75	3	4	2.449715	0.40015896	18.35
size100_5	rules_WCSS_size100_5_3	WCSS	3	11	258	182	9449	0.0408921933085502	0.0569948186528497	0.0476190476190476	0.955555555555556	0.97342124240239	0.9035	269	193	2.69	3	4	2.360977	0.475591	18.07
size100_5	rules_WCSS_size100_5_4	WCSS	4	13	254	180	9453	0.048689138576779	0.0673575129533679	0.0565217391304348	0.956161616161616	0.973833316163593	0.9315	267	193	2.67	3	4	2.526357	0.325146	18.63
size100_5	rules_WCSS_size100_5_5	WCSS	5	8	261	185	9446	0.0297397769516729	0.0414507772020725	0.0346320346320346	0.954949494949495	0.973112187081488	0.908	269	193	2.69	3	4	2.313925	0.47897524	18.16
