Gene	Position	Rule	Correct	N_Regulators	MSE	Score
G1	1	G47 | G53	20	2	0.116503	2.8210
G1	2	G30 | (G12 & G71)	19	3	0.121734	2.7658
G1	3	G30 | G53 | G71	20	3	0.287874	2.6496
G1	4	G30 | G53	20	2	0.298190	2.6393
G1	5	G47 | G53 | G71	20	3	0.347038	2.5905
G1	6	G53 | G71	20	2	0.347512	2.5900
G1	7	G47 | G53 | G54	20	3	0.496681	2.4408
G1	8	G27 | G53	20	2	0.500082	2.4374
G1	9	G30 | G47 | G71	19	3	0.473382	2.4141
G1	10	G30 | G71	19	2	0.495950	2.3915
G1	11	G47 | G71	19	2	0.504520	2.3830
G1	12	G53	20	1	0.203491	2.2340
G1	13	G58	19	1	0.192792	2.1947
G1	14	G30	19	1	0.220822	2.1667
G1	15	G30 | G47 | G53 | G71	20	4	0.283594	2.1539
G2	1	G10 & G19	20	2	0.059919	2.8776
G3	1	G21 | (G16 & G79)	18	3	0.510167	2.3273
G3	2	G79 | (G16 & G21)	18	3	0.510167	2.3273
G3	3	G21 & (G16 | G79)	18	3	0.510167	2.3273
G3	4	G21 | (G13 & G16)	17	3	0.550380	2.2371
G3	5	G21 | G79	18	2	1.289867	1.8375
G3	6	G16 & G79	17	2	1.139591	1.7875
G3	7	G16 | G79	17	2	1.139592	1.7875
G3	8	G21 & G79	17	2	1.289867	1.7875
G3	9	G79 & (G13 | G16) & (G16 | G52)	17	4	0.733795	1.5537
G3	10	G79	17	1	0.845018	1.4425
G3	11	G21	18	1	1.188228	1.3375
G3	12	G16	17	1	1.249538	1.2875
G4	1	G85 & (G12 | G84)	20	3	0.118717	2.8188
G4	2	G84 | (G12 & G85)	20	3	0.118717	2.8188
G4	3	G85 & (G27 | G84)	19	3	0.151557	2.7359
G4	4	G84	19	1	0.399797	1.9877
G4	5	G85 & (G19 | G36 | G84) & (G36 | G49 | G84)	20	5	0.014530	1.9855
G5	1	G5 | G86	19	2	0.320541	2.5670
G5	2	G21 | G5 | G86	19	3	0.463238	2.4243
