generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.41	0.68	0	3	0.370	0.0	1.0
1	1.59	0.66	0	3	0.260	0.0	1.5
2	1.74	0.72	0	3	0.230	0.0	0.5
3	1.77	0.91	0	3	0.215	0.0	0.5
4	1.82	0.91	0	3	0.295	0.0	1.0
5	1.99	0.97	0	3	0.305	0.0	0.5
6	1.97	0.98	0	3	0.280	0.0	0.5
7	1.95	0.95	0	3	0.295	0.0	1.0
8	1.99	1.04	0	3	0.265	0.0	0.5
9	2.03	1.02	0	3	0.325	0.0	0.5
10	1.87	1.06	0	3	0.275	0.0	0.5
11	1.84	0.99	0	3	0.285	0.0	1.0
12	1.82	1.05	0	3	0.275	0.0	0.5
13	1.84	0.99	0	3	0.270	0.0	0.5
14	1.85	0.98	0	3	0.285	0.0	1.0
15	1.76	1.05	0	3	0.270	0.0	0.5
16	1.89	1.01	0	3	0.255	0.0	0.5
17	1.96	0.97	0	3	0.280	0.0	0.5
18	1.85	0.95	0	3	0.310	0.0	1.0
19	1.84	0.94	0	3	0.305	0.0	0.5
20	1.91	0.85	0	3	0.250	0.0	0.5
21	1.80	0.93	0	3	0.235	0.0	1.0
22	1.78	0.92	0	3	0.260	0.0	1.5
23	1.68	0.97	0	3	0.250	0.0	0.5
24	1.98	0.87	0	3	0.260	0.0	0.5
25	1.86	0.85	0	3	0.270	0.0	0.5
26	1.93	0.85	0	3	0.260	0.0	0.5
27	1.80	0.93	0	3	0.195	0.0	1.0
28	1.70	0.99	0	3	0.205	0.0	0.5
29	1.88	0.99	0	3	0.230	0.0	1.0
30	1.95	0.95	0	3	0.260	0.0	0.5
31	1.81	0.96	0	3	0.265	0.0	0.5
32	1.91	0.88	0	3	0.300	0.0	0.5
33	1.87	0.89	0	3	0.225	0.0	0.5
34	1.74	0.94	0	3	0.265	0.0	1.0
35	1.87	0.97	0	3	0.250	0.0	1.5
36	1.79	0.98	0	3	0.210	0.0	0.5
37	1.93	0.89	0	3	0.245	0.0	0.5
38	1.82	0.93	0	3	0.235	0.0	0.5
39	1.93	0.93	0	3	0.225	0.0	0.5
40	1.83	1.06	0	3	0.185	0.0	0.5
41	1.90	0.89	0	3	0.230	0.0	0.5
42	1.82	0.85	0	3	0.255	0.0	0.5
43	1.85	0.86	0	3	0.250	0.0	1.0
44	1.69	0.92	0	3	0.240	0.0	1.0
45	1.63	0.91	0	3	0.270	0.0	1.0
46	1.78	0.88	0	3	0.220	0.0	0.5
47	1.80	0.89	0	3	0.210	0.0	1.0
48	1.70	0.87	0	3	0.175	0.0	1.0
49	1.72	0.97	0	3	0.240	0.0	0.5
50	1.98	0.96	0	3	0.245	0.0	1.0
51	1.82	0.98	0	3	0.250	0.0	0.5
52	1.81	0.93	0	3	0.240	0.0	0.5
53	1.73	1.03	0	3	0.230	0.0	0.5
54	1.66	0.99	0	3	0.240	0.0	0.5
55	1.77	1.03	0	3	0.245	0.0	0.5
56	1.76	0.88	0	3	0.230	0.0	0.5
57	1.84	0.91	0	3	0.240	0.0	0.5
58	1.79	0.84	0	3	0.205	0.0	0.5
59	1.78	0.84	0	3	0.265	0.0	1.0
60	1.81	0.88	0	3	0.245	0.0	0.5
61	1.79	0.83	0	3	0.220	0.0	0.5
62	1.71	0.84	0	3	0.225	0.0	0.5
63	1.73	0.89	0	3	0.180	0.0	0.5
64	1.89	0.90	0	3	0.200	0.0	0.5
65	1.83	0.80	0	3	0.205	0.0	1.0
66	1.87	0.90	0	3	0.190	0.0	1.0
67	1.83	0.90	0	3	0.235	0.0	0.5
68	1.70	1.01	0	3	0.230	0.0	0.5
69	1.90	0.93	0	3	0.230	0.0	1.0
70	1.87	0.96	0	3	0.245	0.0	1.0
71	1.73	0.99	0	3	0.235	0.0	0.5
72	1.87	1.00	0	3	0.250	0.0	0.5
73	1.87	0.93	0	3	0.220	0.0	1.0
74	1.87	0.86	0	3	0.235	0.0	0.5
75	1.78	1.02	0	3	0.225	0.0	1.0
76	1.67	0.97	0	3	0.215	0.0	0.5
77	1.79	0.99	0	3	0.260	0.0	1.0
78	1.70	0.93	0	3	0.220	0.0	0.5
79	1.80	0.98	0	3	0.245	0.0	1.0
80	1.86	0.87	0	3	0.225	0.0	0.5
81	1.82	0.98	0	3	0.240	0.0	0.5
82	1.96	0.92	0	3	0.265	0.0	1.0
83	1.87	1.01	0	3	0.240	0.0	0.5
84	1.78	1.07	0	3	0.265	0.0	1.0
85	1.83	0.84	0	3	0.265	0.0	0.5
86	1.91	0.78	0	3	0.220	0.0	1.0
87	1.75	0.94	0	3	0.270	0.0	1.0
88	1.76	0.83	0	3	0.225	0.0	0.5
89	1.84	0.81	0	3	0.230	0.0	0.5
90	1.61	0.88	0	3	0.215	0.0	0.5
91	1.83	0.85	0	3	0.210	0.0	1.0
92	1.78	0.94	0	3	0.245	0.0	1.0
93	1.82	0.92	0	3	0.200	0.0	0.5
94	1.79	0.91	0	3	0.210	0.0	0.5
95	1.89	0.89	0	3	0.240	0.0	0.5
96	1.92	1.06	0	3	0.300	0.0	1.0
97	1.75	1.04	0	3	0.245	0.0	0.5
98	1.88	1.00	0	3	0.270	0.0	0.5
99	1.90	0.99	0	3	0.270	0.0	0.5
100	1.86	0.95	0	3	0.200	0.0	0.5
