generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.57	1.20	0	3	0.360	0.0	1.0
1	1.92	1.06	0	3	0.210	0.0	0.5
2	2.23	1.06	0	3	0.200	0.0	0.5
3	2.39	0.90	0	3	0.145	0.0	0.5
4	2.47	0.85	0	3	0.160	0.0	1.0
5	2.47	0.92	0	3	0.165	0.0	1.0
6	2.47	0.91	0	3	0.150	0.0	1.0
7	2.48	0.88	0	3	0.135	0.0	1.0
8	2.44	0.92	0	3	0.150	0.0	0.5
9	2.59	0.75	0	3	0.110	0.0	1.0
10	2.53	0.84	0	3	0.145	0.0	1.0
11	2.57	0.83	0	3	0.120	0.0	1.0
12	2.60	0.72	0	3	0.160	0.0	1.5
13	2.56	0.78	0	3	0.140	0.0	0.5
14	2.50	0.96	0	3	0.185	0.0	1.5
15	2.49	0.85	0	3	0.165	0.0	1.0
16	2.50	0.79	0	3	0.155	0.0	1.0
17	2.65	0.71	0	3	0.130	0.0	0.5
18	2.45	0.90	0	3	0.130	0.0	1.0
19	2.66	0.70	0	3	0.120	0.0	1.0
20	2.51	0.84	0	3	0.105	0.0	1.0
21	2.28	0.92	0	3	0.155	0.0	0.5
22	2.43	0.95	0	3	0.170	0.0	0.5
23	2.45	0.89	0	3	0.165	0.0	1.0
24	2.35	0.99	0	3	0.145	0.0	1.0
25	2.51	0.96	0	3	0.140	0.0	1.0
26	2.38	1.01	0	3	0.200	0.0	1.0
27	2.38	0.98	0	3	0.150	0.0	1.0
28	2.39	0.98	0	3	0.125	0.0	0.5
29	2.53	0.79	0	3	0.165	0.0	1.0
30	2.41	0.85	0	3	0.145	0.0	1.0
31	2.36	0.95	0	3	0.150	0.0	1.0
32	2.40	0.98	0	3	0.120	0.0	0.5
33	2.34	0.93	0	3	0.150	0.0	0.5
34	2.44	0.86	0	3	0.180	0.0	1.0
35	2.51	0.78	0	3	0.170	0.0	1.0
36	2.48	0.91	0	3	0.155	0.0	1.0
37	2.53	0.82	0	3	0.140	0.0	1.0
38	2.60	0.72	0	3	0.170	0.0	1.0
39	2.42	0.95	0	3	0.160	0.0	1.0
40	2.62	0.63	1	3	0.125	0.0	1.0
41	2.46	0.92	0	3	0.155	0.0	1.0
42	2.59	0.85	0	3	0.085	0.0	1.0
43	2.57	0.82	0	3	0.130	0.0	1.0
44	2.51	0.93	0	3	0.135	0.0	1.0
45	2.58	0.78	0	3	0.135	0.0	1.5
46	2.52	0.84	0	3	0.120	0.0	1.0
47	2.47	0.83	0	3	0.145	0.0	1.0
48	2.31	1.00	0	3	0.215	0.0	1.5
49	2.60	0.85	0	3	0.155	0.0	1.0
50	2.53	0.88	0	3	0.170	0.0	1.0
51	2.65	0.62	0	3	0.190	0.0	1.5
52	2.41	0.94	0	3	0.165	0.0	1.0
53	2.63	0.67	0	3	0.125	0.0	1.0
54	2.45	0.86	0	3	0.105	0.0	0.5
55	2.43	0.93	0	3	0.185	0.0	1.0
56	2.55	0.74	0	3	0.175	0.0	1.0
57	2.31	1.06	0	3	0.170	0.0	1.0
58	2.58	0.80	0	3	0.175	0.0	1.0
59	2.50	0.88	0	3	0.135	0.0	1.0
60	2.40	0.95	0	3	0.125	0.0	0.5
61	2.47	0.95	0	3	0.150	0.0	1.0
62	2.56	0.90	0	3	0.085	0.0	0.5
63	2.57	0.85	0	3	0.115	0.0	0.5
64	2.47	0.97	0	3	0.165	0.0	0.5
65	2.51	0.92	0	3	0.120	0.0	1.0
66	2.68	0.75	0	3	0.100	0.0	1.0
67	2.57	0.74	0	3	0.090	0.0	1.0
68	2.56	0.83	0	3	0.150	0.0	1.0
69	2.39	0.98	0	3	0.145	0.0	1.0
70	2.44	0.93	0	3	0.170	0.0	1.0
71	2.43	0.93	0	3	0.110	0.0	1.5
72	2.43	0.89	0	3	0.145	0.0	1.0
73	2.39	1.01	0	3	0.155	0.0	1.0
74	2.49	0.91	0	3	0.120	0.0	0.5
75	2.42	0.85	0	3	0.130	0.0	0.5
76	2.55	0.88	0	3	0.105	0.0	0.5
77	2.43	0.89	0	3	0.155	0.0	0.5
78	2.36	1.02	0	3	0.150	0.0	1.0
79	2.55	0.85	0	3	0.145	0.0	1.0
80	2.62	0.76	0	3	0.145	0.0	1.0
81	2.47	0.87	0	3	0.185	0.0	1.5
82	2.46	0.96	0	3	0.145	0.0	1.0
83	2.50	0.89	0	3	0.150	0.0	1.5
84	2.63	0.73	0	3	0.085	0.0	1.0
85	2.42	0.95	0	3	0.140	0.0	0.5
86	2.62	0.78	0	3	0.110	0.0	0.5
87	2.51	0.91	0	3	0.155	0.0	1.5
88	2.49	0.98	0	3	0.105	0.0	0.5
89	2.44	0.85	0	3	0.105	0.0	1.0
90	2.51	0.84	0	3	0.140	0.0	1.0
91	2.57	0.85	0	3	0.105	0.0	1.0
92	2.41	0.87	0	3	0.140	0.0	1.0
93	2.54	0.83	0	3	0.160	0.0	0.5
94	2.55	0.79	0	3	0.210	0.0	1.0
95	2.52	0.88	0	3	0.160	0.0	1.0
96	2.60	0.73	0	3	0.160	0.0	0.5
97	2.43	0.90	0	3	0.175	0.0	1.0
98	2.51	0.89	0	3	0.150	0.0	0.5
99	2.41	1.00	0	3	0.150	0.0	1.0
100	2.45	0.96	0	3	0.135	0.0	0.5
