generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.48	0.83	0	3	0.330	0.0	0.5
1	1.83	1.03	0	3	0.260	0.0	1.0
2	1.96	1.02	0	3	0.265	0.0	1.0
3	2.07	0.99	0	3	0.250	0.0	1.0
4	2.04	1.02	0	3	0.195	0.0	0.5
5	2.23	0.93	0	3	0.170	0.0	1.0
6	2.21	0.89	0	3	0.170	0.0	1.0
7	2.13	0.91	0	3	0.165	0.0	1.0
8	2.37	0.80	0	3	0.115	0.0	0.5
9	2.08	0.99	0	3	0.175	0.0	0.5
10	2.11	0.97	0	3	0.180	0.0	1.0
11	2.08	0.89	0	3	0.145	0.0	0.5
12	2.10	0.94	0	3	0.190	0.0	0.5
13	2.17	0.87	0	3	0.125	0.0	1.0
14	2.12	0.94	0	3	0.105	0.0	0.5
15	2.11	0.93	0	3	0.130	0.0	1.0
16	2.03	0.88	0	3	0.160	0.0	1.0
17	2.13	0.98	0	3	0.190	0.0	0.5
18	2.30	0.88	0	3	0.155	0.0	1.0
19	2.15	0.94	0	3	0.155	0.0	0.5
20	2.12	0.99	0	3	0.195	0.0	1.0
21	2.15	1.01	0	3	0.145	0.0	0.5
22	2.32	0.90	0	3	0.170	0.0	0.5
23	2.30	0.94	0	3	0.145	0.0	0.5
24	2.27	0.89	0	3	0.165	0.0	1.0
25	2.24	0.87	0	3	0.155	0.0	1.0
26	2.09	0.94	0	3	0.140	0.0	1.0
27	2.23	0.91	0	3	0.100	0.0	1.0
28	2.40	0.82	0	3	0.145	0.0	0.5
29	2.29	0.92	0	3	0.080	0.0	0.5
30	2.16	1.03	0	3	0.130	0.0	0.5
31	2.17	0.96	0	3	0.155	0.0	1.5
32	2.10	0.98	0	3	0.130	0.0	1.0
33	2.08	0.93	0	3	0.165	0.0	1.0
34	2.26	0.86	0	3	0.165	0.0	1.0
35	2.38	0.86	0	3	0.170	0.0	0.5
36	2.44	0.86	0	3	0.125	0.0	0.5
37	2.38	0.83	0	3	0.160	0.0	1.0
38	2.38	0.83	0	3	0.155	0.0	0.5
39	2.17	1.02	0	3	0.145	0.0	0.5
40	2.22	0.91	0	3	0.155	0.0	1.0
41	2.20	0.92	0	3	0.145	0.0	0.5
42	2.15	0.95	0	3	0.170	0.0	1.0
43	2.25	0.93	0	3	0.120	0.0	1.0
44	2.24	0.94	0	3	0.160	0.0	1.0
45	2.29	0.85	0	3	0.165	0.0	1.0
46	2.31	0.88	0	3	0.180	0.0	1.0
47	2.09	1.00	0	3	0.220	0.0	1.5
48	2.34	0.75	0	3	0.170	0.0	1.0
49	2.27	0.93	0	3	0.120	0.0	0.5
50	2.30	0.92	0	3	0.130	0.0	1.0
51	2.33	0.92	0	3	0.150	0.0	1.0
52	2.14	0.94	0	3	0.185	0.0	1.0
53	2.37	0.82	0	3	0.140	0.0	0.5
54	2.30	0.84	0	3	0.140	0.0	1.0
55	2.20	0.88	0	3	0.130	0.0	1.0
56	2.21	0.89	0	3	0.125	0.0	1.0
57	2.42	0.76	1	3	0.180	0.0	1.0
58	2.35	0.85	0	3	0.155	0.0	1.0
59	2.12	1.02	0	3	0.190	0.0	0.5
60	2.21	0.92	0	3	0.165	0.0	1.0
61	2.27	0.87	0	3	0.105	0.0	0.5
62	2.24	0.88	0	3	0.180	0.0	1.0
63	2.22	0.89	0	3	0.155	0.0	1.0
64	2.32	0.86	0	3	0.185	0.0	1.0
65	2.29	0.93	0	3	0.155	0.0	0.5
66	2.27	0.97	0	3	0.145	0.0	0.5
67	2.27	0.89	0	3	0.150	0.0	1.5
68	2.18	0.89	0	3	0.175	0.0	0.5
69	2.21	0.93	0	3	0.200	0.0	0.5
70	2.35	0.82	0	3	0.150	0.0	0.5
71	2.34	0.85	0	3	0.135	0.0	0.5
72	2.31	0.86	0	3	0.125	0.0	0.5
73	2.36	0.87	0	3	0.160	0.0	1.0
74	2.45	0.86	0	3	0.160	0.0	0.5
75	2.29	0.92	0	3	0.175	0.0	0.5
76	2.16	0.89	0	3	0.170	0.0	1.0
77	2.28	0.91	0	3	0.120	0.0	1.0
78	2.22	0.86	0	3	0.160	0.0	1.0
79	2.23	0.82	0	3	0.150	0.0	0.5
80	2.23	0.94	0	3	0.185	0.0	0.5
81	2.33	0.91	0	3	0.145	0.0	1.0
82	2.21	0.90	0	3	0.115	0.0	0.5
83	2.16	0.86	0	3	0.140	0.0	0.5
84	2.25	0.90	0	3	0.125	0.0	0.5
85	2.24	0.85	0	3	0.105	0.0	0.5
86	2.32	0.82	0	3	0.125	0.0	0.5
87	2.44	0.80	0	3	0.195	0.0	1.0
88	2.45	0.88	0	3	0.150	0.0	1.0
89	2.41	0.75	0	3	0.100	0.0	0.5
90	2.26	0.89	0	3	0.190	0.0	1.5
91	2.32	0.82	0	3	0.165	0.0	1.5
92	2.37	0.80	0	3	0.185	0.0	1.5
93	2.14	0.97	0	3	0.115	0.0	1.0
94	2.10	1.00	0	3	0.180	0.0	1.0
95	2.35	0.90	0	3	0.130	0.0	0.5
96	2.30	0.90	0	3	0.135	0.0	0.5
97	2.21	0.97	0	3	0.155	0.0	1.5
98	2.44	0.82	0	3	0.150	0.0	0.5
99	2.40	0.82	0	3	0.160	0.0	0.5
100	2.26	0.93	0	3	0.185	0.0	1.0
