generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.71	0.73	0	3	0.350	0.0	1.0
1	2.09	0.75	0	3	0.330	0.0	1.0
2	2.12	0.89	0	3	0.260	0.0	0.5
3	2.23	0.81	0	3	0.260	0.0	1.0
4	2.26	0.82	0	3	0.205	0.0	0.5
5	2.28	0.87	0	3	0.220	0.0	1.0
6	2.34	0.83	0	3	0.170	0.0	1.0
7	2.22	0.90	0	3	0.185	0.0	1.0
8	2.46	0.65	1	3	0.180	0.0	1.0
9	2.28	0.84	0	3	0.195	0.0	0.5
10	2.46	0.68	0	3	0.150	0.0	1.5
11	2.44	0.71	0	3	0.180	0.0	1.0
12	2.35	0.78	0	3	0.180	0.0	0.5
13	2.35	0.83	0	3	0.175	0.0	1.0
14	2.45	0.71	0	3	0.155	0.0	1.0
15	2.61	0.56	1	3	0.130	0.0	0.5
16	2.43	0.78	0	3	0.140	0.0	1.0
17	2.34	0.78	0	3	0.180	0.0	1.5
18	2.35	0.78	0	3	0.155	0.0	1.0
19	2.35	0.82	0	3	0.180	0.0	0.5
20	2.28	0.84	0	3	0.175	0.0	1.0
21	2.39	0.68	1	3	0.160	0.0	1.0
22	2.33	0.69	1	3	0.125	0.0	1.0
23	2.45	0.61	1	3	0.170	0.0	1.0
24	2.48	0.73	0	3	0.165	0.0	1.0
25	2.25	0.90	0	3	0.150	0.0	0.5
26	2.33	0.76	0	3	0.125	0.0	0.5
27	2.30	0.88	0	3	0.185	0.0	1.5
28	2.47	0.73	0	3	0.150	0.0	0.5
29	2.36	0.71	0	3	0.175	0.0	1.5
30	2.29	0.86	0	3	0.185	0.0	1.0
31	2.29	0.80	0	3	0.215	0.0	1.0
32	2.28	0.80	0	3	0.205	0.0	0.5
33	2.31	0.78	0	3	0.210	0.0	0.5
34	2.24	0.90	0	3	0.170	0.0	0.5
35	2.36	0.74	0	3	0.180	0.0	1.0
36	2.29	0.82	0	3	0.175	0.0	1.0
37	2.46	0.81	0	3	0.190	0.0	1.0
38	2.29	0.89	0	3	0.195	0.0	0.5
39	2.33	0.83	0	3	0.145	0.0	1.0
40	2.37	0.80	0	3	0.125	0.0	1.0
41	2.42	0.78	0	3	0.150	0.0	0.5
42	2.43	0.84	0	3	0.190	0.0	1.0
43	2.50	0.77	0	3	0.170	0.0	1.0
44	2.49	0.77	0	3	0.160	0.0	1.0
45	2.44	0.77	0	3	0.115	0.0	1.0
46	2.42	0.75	0	3	0.170	0.0	1.0
47	2.49	0.69	1	3	0.180	0.0	1.0
48	2.41	0.76	0	3	0.165	0.0	0.5
49	2.41	0.78	1	3	0.175	0.0	0.5
50	2.42	0.70	0	3	0.185	0.0	1.0
51	2.35	0.75	0	3	0.200	0.0	1.0
52	2.46	0.74	0	3	0.180	0.0	0.5
53	2.39	0.81	0	3	0.175	0.0	1.0
54	2.36	0.89	0	3	0.140	0.0	0.5
55	2.37	0.78	0	3	0.120	0.0	0.5
56	2.42	0.76	0	3	0.170	0.0	1.0
57	2.12	0.91	0	3	0.180	0.0	0.5
58	2.27	0.88	0	3	0.165	0.0	0.5
59	2.33	0.84	0	3	0.225	0.0	1.0
60	2.32	0.79	0	3	0.210	0.0	1.0
61	2.31	0.80	0	3	0.165	0.0	0.5
62	2.45	0.67	0	3	0.165	0.0	1.0
63	2.43	0.76	0	3	0.175	0.0	1.0
64	2.38	0.77	0	3	0.145	0.0	0.5
65	2.33	0.76	0	3	0.125	0.0	0.5
66	2.35	0.77	0	3	0.155	0.0	1.0
67	2.30	0.84	0	3	0.145	0.0	1.0
68	2.32	0.81	0	3	0.130	0.0	1.0
69	2.40	0.75	0	3	0.135	0.0	1.0
70	2.33	0.84	0	3	0.165	0.0	0.5
71	2.37	0.78	0	3	0.160	0.0	0.5
72	2.30	0.91	0	3	0.155	0.0	1.0
73	2.35	0.82	0	3	0.190	0.0	1.0
74	2.46	0.77	0	3	0.175	0.0	1.0
75	2.40	0.79	0	3	0.200	0.0	0.5
76	2.31	0.76	0	3	0.185	0.0	0.5
77	2.34	0.76	0	3	0.165	0.0	0.5
78	2.32	0.80	0	3	0.180	0.0	1.0
79	2.38	0.76	0	3	0.160	0.0	0.5
80	2.42	0.76	0	3	0.115	0.0	0.5
81	2.43	0.70	0	3	0.175	0.0	1.0
82	2.46	0.67	1	3	0.195	0.0	1.0
83	2.42	0.70	0	3	0.175	0.0	1.5
84	2.39	0.77	0	3	0.180	0.0	1.0
85	2.41	0.68	1	3	0.170	0.0	1.0
86	2.30	0.88	0	3	0.135	0.0	1.0
87	2.40	0.84	0	3	0.155	0.0	1.0
88	2.29	0.80	0	3	0.165	0.0	1.0
89	2.27	0.79	0	3	0.165	0.0	0.5
90	2.43	0.83	0	3	0.130	0.0	0.5
91	2.43	0.78	0	3	0.155	0.0	0.5
92	2.32	0.77	0	3	0.155	0.0	1.0
93	2.38	0.75	0	3	0.160	0.0	1.0
94	2.36	0.79	0	3	0.185	0.0	1.0
95	2.32	0.86	0	3	0.160	0.0	1.0
96	2.36	0.74	0	3	0.170	0.0	1.0
97	2.34	0.72	0	3	0.145	0.0	1.0
98	2.29	0.83	0	3	0.180	0.0	1.0
99	2.30	0.88	0	3	0.190	0.0	1.0
100	2.30	0.85	0	3	0.135	0.0	0.5
