generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.75	0.65	0	3	0.370	0.0	1.0
1	2.04	0.71	1	3	0.270	0.0	1.0
2	2.20	0.81	0	3	0.235	0.0	1.5
3	2.31	0.81	0	3	0.220	0.0	1.0
4	2.37	0.76	0	3	0.210	0.0	1.0
5	2.34	0.83	0	3	0.195	0.0	1.0
6	2.25	0.73	0	3	0.205	0.0	1.0
7	2.41	0.75	0	3	0.215	0.0	1.0
8	2.38	0.78	0	3	0.170	0.0	0.5
9	2.27	0.85	0	3	0.145	0.0	0.5
10	2.25	0.82	0	3	0.140	0.0	1.0
11	2.33	0.84	0	3	0.150	0.0	1.5
12	2.49	0.70	0	3	0.155	0.0	1.0
13	2.54	0.65	0	3	0.135	0.0	1.5
14	2.46	0.77	0	3	0.155	0.0	0.5
15	2.51	0.74	0	3	0.155	0.0	0.5
16	2.48	0.73	0	3	0.180	0.0	1.0
17	2.48	0.73	0	3	0.195	0.0	1.0
18	2.45	0.75	0	3	0.150	0.0	1.0
19	2.41	0.75	0	3	0.145	0.0	0.5
20	2.32	0.77	0	3	0.220	0.0	1.0
21	2.43	0.70	0	3	0.140	0.0	1.0
22	2.37	0.74	0	3	0.155	0.0	1.0
23	2.49	0.67	0	3	0.120	0.0	1.0
24	2.43	0.68	0	3	0.130	0.0	0.5
25	2.39	0.72	0	3	0.160	0.0	1.0
26	2.46	0.79	0	3	0.115	0.0	1.0
27	2.46	0.74	0	3	0.120	0.0	0.5
28	2.43	0.79	0	3	0.120	0.0	0.5
29	2.29	0.83	0	3	0.120	0.0	1.0
30	2.49	0.71	0	3	0.160	0.0	1.0
31	2.41	0.76	0	3	0.205	0.0	1.5
32	2.40	0.69	0	3	0.140	0.0	1.0
33	2.39	0.76	0	3	0.180	0.0	1.0
34	2.39	0.79	0	3	0.180	0.0	0.5
35	2.43	0.79	0	3	0.140	0.0	1.0
36	2.52	0.62	1	3	0.190	0.0	0.5
37	2.41	0.75	0	3	0.165	0.0	0.5
38	2.32	0.86	0	3	0.170	0.0	1.0
39	2.38	0.73	0	3	0.145	0.0	0.5
40	2.30	0.82	0	3	0.140	0.0	1.0
41	2.29	0.82	0	3	0.185	0.0	0.5
42	2.42	0.70	0	3	0.185	0.0	1.0
43	2.42	0.75	0	3	0.175	0.0	1.0
44	2.37	0.73	0	3	0.150	0.0	1.0
45	2.43	0.70	0	3	0.170	0.0	1.0
46	2.42	0.84	0	3	0.145	0.0	0.5
47	2.37	0.80	0	3	0.195	0.0	1.0
48	2.41	0.76	0	3	0.110	0.0	1.5
49	2.47	0.73	0	3	0.170	0.0	1.5
50	2.36	0.74	0	3	0.190	0.0	1.5
51	2.28	0.78	0	3	0.190	0.0	1.0
52	2.25	0.79	0	3	0.200	0.0	1.5
53	2.48	0.66	1	3	0.130	0.0	0.5
54	2.36	0.78	0	3	0.130	0.0	1.0
55	2.35	0.83	0	3	0.160	0.0	1.0
56	2.44	0.67	1	3	0.180	0.0	1.0
57	2.28	0.84	0	3	0.150	0.0	0.5
58	2.30	0.82	0	3	0.180	0.0	1.5
59	2.41	0.78	0	3	0.135	0.0	1.0
60	2.34	0.76	0	3	0.140	0.0	1.0
61	2.42	0.74	0	3	0.160	0.0	1.0
62	2.33	0.90	0	3	0.150	0.0	0.5
63	2.35	0.83	0	3	0.165	0.0	1.0
64	2.39	0.84	0	3	0.165	0.0	1.0
65	2.33	0.80	0	3	0.165	0.0	0.5
66	2.31	0.81	0	3	0.140	0.0	1.0
67	2.40	0.75	0	3	0.135	0.0	0.5
68	2.38	0.86	0	3	0.135	0.0	0.5
69	2.52	0.77	0	3	0.165	0.0	1.0
70	2.45	0.75	0	3	0.185	0.0	1.0
71	2.39	0.81	0	3	0.175	0.0	1.0
72	2.43	0.78	0	3	0.145	0.0	0.5
73	2.53	0.66	1	3	0.150	0.0	1.0
74	2.42	0.78	0	3	0.150	0.0	1.0
75	2.43	0.74	0	3	0.150	0.0	1.0
76	2.46	0.81	0	3	0.155	0.0	1.0
77	2.36	0.77	0	3	0.150	0.0	1.0
78	2.52	0.62	1	3	0.125	0.0	1.0
79	2.42	0.65	1	3	0.115	0.0	1.0
80	2.34	0.78	0	3	0.185	0.0	1.5
81	2.41	0.78	0	3	0.160	0.0	1.0
82	2.50	0.70	1	3	0.160	0.0	1.0
83	2.39	0.81	0	3	0.175	0.0	1.0
84	2.59	0.65	1	3	0.135	0.0	0.5
85	2.50	0.73	0	3	0.110	0.0	1.0
86	2.38	0.80	0	3	0.175	0.0	1.0
87	2.43	0.67	0	3	0.155	0.0	0.5
88	2.44	0.78	0	3	0.185	0.0	1.0
89	2.49	0.73	0	3	0.170	0.0	1.0
90	2.42	0.75	0	3	0.120	0.0	1.0
91	2.47	0.66	1	3	0.175	0.0	1.0
92	2.55	0.67	0	3	0.110	0.0	1.0
93	2.40	0.73	0	3	0.135	0.0	0.5
94	2.51	0.64	1	3	0.150	0.0	1.0
95	2.47	0.75	0	3	0.150	0.0	1.0
96	2.35	0.74	0	3	0.145	0.0	1.0
97	2.35	0.78	0	3	0.170	0.0	1.0
98	2.47	0.67	0	3	0.120	0.0	0.5
99	2.29	0.74	0	3	0.140	0.0	0.5
100	2.34	0.79	0	3	0.160	0.0	1.0
