generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.33	1.13	0	3	0.375	0.0	1.0
1	1.70	1.11	0	3	0.260	0.0	0.5
2	2.16	1.08	0	3	0.240	0.0	1.0
3	1.97	1.15	0	3	0.200	0.0	1.0
4	1.92	1.21	0	3	0.205	0.0	1.5
5	2.22	1.11	0	3	0.130	0.0	0.5
6	2.21	1.13	0	3	0.185	0.0	1.0
7	2.29	1.13	0	3	0.150	0.0	1.5
8	2.14	1.16	0	3	0.170	0.0	1.0
9	2.30	1.09	0	3	0.150	0.0	1.0
10	2.31	1.07	0	3	0.180	0.0	0.5
11	2.24	1.11	0	3	0.175	0.0	1.5
12	2.27	1.09	0	3	0.155	0.0	0.5
13	2.23	1.11	0	3	0.180	0.0	1.0
14	2.22	1.17	0	3	0.105	0.0	0.5
15	2.39	1.00	0	3	0.145	0.0	1.0
16	2.28	1.07	0	3	0.160	0.0	1.0
17	2.19	1.16	0	3	0.170	0.0	1.0
18	2.23	1.18	0	3	0.165	0.0	1.0
19	2.26	1.09	0	3	0.170	0.0	0.5
20	2.33	1.05	0	3	0.205	0.0	1.0
21	2.54	0.81	0	3	0.180	0.0	1.0
22	2.40	1.02	0	3	0.125	0.0	1.0
23	2.42	0.95	0	3	0.135	0.0	0.5
24	2.21	1.16	0	3	0.150	0.0	1.5
25	2.27	1.06	0	3	0.140	0.0	0.5
26	2.47	0.94	0	3	0.160	0.0	1.0
27	2.15	1.15	0	3	0.110	0.0	0.5
28	2.31	1.06	0	3	0.175	0.0	1.5
29	2.34	1.06	0	3	0.135	0.0	0.5
30	2.37	1.06	0	3	0.145	0.0	1.0
31	2.13	1.25	0	3	0.150	0.0	0.5
32	2.30	1.05	0	3	0.150	0.0	1.0
33	2.30	1.05	0	3	0.170	0.0	1.0
34	2.45	0.97	0	3	0.145	0.0	0.5
35	2.38	1.06	0	3	0.140	0.0	0.5
36	2.36	1.03	0	3	0.125	0.0	1.0
37	2.17	1.16	0	3	0.145	0.0	1.0
38	2.34	1.12	0	3	0.195	0.0	0.5
39	2.42	0.99	0	3	0.145	0.0	0.5
40	2.47	0.96	0	3	0.175	0.0	1.0
41	2.28	1.11	0	3	0.155	0.0	1.0
42	2.29	1.04	0	3	0.150	0.0	1.0
43	2.40	1.00	0	3	0.165	0.0	1.0
44	2.32	1.12	0	3	0.180	0.0	1.0
45	2.25	1.14	0	3	0.155	0.0	1.0
46	2.22	1.11	0	3	0.135	0.0	1.0
47	2.43	1.08	0	3	0.155	0.0	1.0
48	2.37	1.05	0	3	0.160	0.0	1.0
49	2.50	0.95	0	3	0.140	0.0	1.0
50	2.49	0.91	0	3	0.175	0.0	1.0
51	2.26	1.08	0	3	0.155	0.0	1.0
52	2.16	1.20	0	3	0.170	0.0	0.5
53	2.12	1.17	0	3	0.205	0.0	1.0
54	2.15	1.13	0	3	0.190	0.0	1.0
55	2.38	1.02	0	3	0.180	0.0	1.0
56	2.26	1.11	0	3	0.170	0.0	0.5
57	2.23	1.10	0	3	0.145	0.0	1.0
58	2.17	1.15	0	3	0.160	0.0	1.0
59	2.10	1.14	0	3	0.190	0.0	1.0
60	2.24	1.11	0	3	0.125	0.0	0.5
61	2.25	1.10	0	3	0.150	0.0	1.0
62	2.17	1.14	0	3	0.170	0.0	1.5
63	2.17	1.18	0	3	0.170	0.0	1.5
64	2.24	1.13	0	3	0.130	0.0	1.0
65	2.36	1.04	0	3	0.170	0.0	1.0
66	2.31	1.06	0	3	0.165	0.0	1.0
67	2.19	1.14	0	3	0.195	0.0	1.0
68	2.43	1.01	0	3	0.170	0.0	1.0
69	2.33	1.11	0	3	0.120	0.0	0.5
70	2.48	0.88	0	3	0.130	0.0	1.0
71	2.45	0.98	0	3	0.125	0.0	0.5
72	2.22	1.16	0	3	0.185	0.0	1.0
73	2.20	1.14	0	3	0.180	0.0	1.5
74	2.45	0.97	0	3	0.170	0.0	1.0
75	2.43	1.03	0	3	0.130	0.0	0.5
76	2.33	1.11	0	3	0.150	0.0	0.5
77	2.18	1.12	0	3	0.135	0.0	0.5
78	2.44	1.05	0	3	0.160	0.0	1.0
79	2.19	1.13	0	3	0.130	0.0	1.0
80	2.46	0.96	0	3	0.135	0.0	0.5
81	2.17	1.11	0	3	0.180	0.0	0.5
82	2.02	1.23	0	3	0.195	0.0	0.5
83	2.14	1.18	0	3	0.175	0.0	1.0
84	2.23	1.08	0	3	0.165	0.0	0.5
85	2.35	0.97	0	3	0.200	0.0	1.5
86	2.15	1.23	0	3	0.155	0.0	0.5
87	2.34	1.05	0	3	0.180	0.0	0.5
88	2.20	1.12	0	3	0.130	0.0	1.0
89	2.23	1.12	0	3	0.155	0.0	0.5
90	2.23	1.16	0	3	0.185	0.0	1.0
91	2.36	1.02	0	3	0.175	0.0	1.0
92	2.28	1.04	0	3	0.190	0.0	1.0
93	2.29	1.07	0	3	0.170	0.0	1.0
94	2.17	1.15	0	3	0.145	0.0	1.0
95	2.23	1.13	0	3	0.120	0.0	0.5
96	2.31	1.01	0	3	0.160	0.0	1.0
97	2.37	1.00	0	3	0.190	0.0	1.0
98	2.22	1.11	0	3	0.185	0.0	0.5
99	2.39	1.01	0	3	0.195	0.0	0.5
100	2.24	1.15	0	3	0.175	0.0	1.0
