generation	avg_correct	std_correct	min_correct	max_correct	avg_regulator_penalty	min_regulator_penalty	max_regulator_penalty
0	1.63	0.66	0	3	0.325	0.0	1.0
1	1.86	0.76	0	3	0.280	0.0	1.0
2	2.25	0.82	0	3	0.240	0.0	1.0
3	2.16	0.78	0	3	0.180	0.0	0.5
4	2.37	0.72	0	3	0.190	0.0	1.0
5	2.35	0.73	1	3	0.135	0.0	0.5
6	2.32	0.72	1	3	0.120	0.0	0.5
7	2.24	0.81	0	3	0.125	0.0	0.5
8	2.44	0.57	1	3	0.120	0.0	0.5
9	2.34	0.75	0	3	0.140	0.0	1.0
10	2.52	0.67	1	3	0.135	0.0	1.0
11	2.33	0.83	0	3	0.120	0.0	1.0
12	2.24	0.78	0	3	0.135	0.0	1.0
13	2.28	0.75	0	3	0.140	0.0	1.0
14	2.34	0.72	1	3	0.120	0.0	1.0
15	2.27	0.79	0	3	0.135	0.0	0.5
16	2.40	0.68	1	3	0.105	0.0	0.5
17	2.33	0.68	1	3	0.135	0.0	0.5
18	2.32	0.73	0	3	0.150	0.0	1.0
19	2.33	0.72	0	3	0.130	0.0	1.5
20	2.37	0.66	1	3	0.150	0.0	1.0
21	2.34	0.80	0	3	0.180	0.0	1.0
22	2.47	0.62	1	3	0.145	0.0	0.5
23	2.41	0.69	0	3	0.170	0.0	1.0
24	2.35	0.71	0	3	0.185	0.0	1.5
25	2.44	0.74	0	3	0.120	0.0	1.0
26	2.35	0.71	1	3	0.125	0.0	0.5
27	2.39	0.76	0	3	0.140	0.0	1.0
28	2.50	0.69	0	3	0.175	0.0	1.0
29	2.47	0.70	1	3	0.130	0.0	1.0
30	2.53	0.70	0	3	0.155	0.0	1.0
31	2.50	0.69	0	3	0.120	0.0	0.5
32	2.42	0.71	1	3	0.155	0.0	0.5
33	2.42	0.68	0	3	0.115	0.0	1.0
34	2.34	0.79	0	3	0.125	0.0	0.5
35	2.34	0.84	0	3	0.155	0.0	1.0
36	2.37	0.69	1	3	0.150	0.0	1.0
37	2.48	0.64	0	3	0.135	0.0	1.0
38	2.40	0.65	1	3	0.100	0.0	1.0
39	2.40	0.69	1	3	0.145	0.0	1.0
40	2.43	0.72	1	3	0.140	0.0	0.5
41	2.35	0.80	0	3	0.165	0.0	0.5
42	2.43	0.71	0	3	0.165	0.0	1.0
43	2.28	0.80	0	3	0.150	0.0	0.5
44	2.43	0.70	1	3	0.125	0.0	0.5
45	2.22	0.77	0	3	0.165	0.0	1.0
46	2.23	0.79	0	3	0.110	0.0	0.5
47	2.36	0.74	0	3	0.165	0.0	0.5
48	2.42	0.74	0	3	0.140	0.0	0.5
49	2.49	0.69	0	3	0.165	0.0	0.5
50	2.39	0.73	0	3	0.150	0.0	1.0
51	2.47	0.68	0	3	0.200	0.0	1.0
52	2.35	0.78	0	3	0.155	0.0	1.0
53	2.36	0.76	0	3	0.100	0.0	1.0
54	2.25	0.77	0	3	0.140	0.0	1.0
55	2.54	0.59	0	3	0.135	0.0	0.5
56	2.44	0.70	0	3	0.145	0.0	1.0
57	2.30	0.73	0	3	0.140	0.0	0.5
58	2.37	0.74	1	3	0.085	0.0	1.0
59	2.38	0.78	0	3	0.135	0.0	0.5
60	2.40	0.72	0	3	0.165	0.0	1.0
61	2.47	0.70	0	3	0.125	0.0	1.0
62	2.32	0.75	0	3	0.140	0.0	1.0
63	2.41	0.74	0	3	0.100	0.0	1.0
64	2.41	0.65	1	3	0.120	0.0	0.5
65	2.49	0.62	1	3	0.140	0.0	1.0
66	2.36	0.71	0	3	0.160	0.0	0.5
67	2.41	0.66	1	3	0.110	0.0	0.5
68	2.22	0.73	1	3	0.165	0.0	1.0
69	2.36	0.70	1	3	0.140	0.0	0.5
70	2.27	0.79	0	3	0.210	0.0	1.0
71	2.45	0.75	0	3	0.165	0.0	1.0
72	2.34	0.79	0	3	0.150	0.0	1.0
73	2.32	0.73	1	3	0.150	0.0	1.0
74	2.37	0.70	0	3	0.115	0.0	0.5
75	2.27	0.75	0	3	0.155	0.0	1.0
76	2.38	0.70	0	3	0.165	0.0	1.0
77	2.37	0.66	1	3	0.090	0.0	0.5
78	2.42	0.72	1	3	0.120	0.0	0.5
79	2.29	0.74	0	3	0.145	0.0	0.5
80	2.41	0.66	1	3	0.105	0.0	0.5
81	2.40	0.66	1	3	0.140	0.0	1.0
82	2.35	0.68	0	3	0.130	0.0	0.5
83	2.39	0.66	1	3	0.105	0.0	1.0
84	2.33	0.69	1	3	0.145	0.0	1.0
85	2.23	0.77	0	3	0.115	0.0	1.0
86	2.39	0.68	1	3	0.125	0.0	1.0
87	2.41	0.78	0	3	0.180	0.0	1.0
88	2.38	0.76	0	3	0.150	0.0	0.5
89	2.39	0.71	1	3	0.180	0.0	1.5
90	2.48	0.61	1	3	0.120	0.0	1.0
91	2.43	0.71	1	3	0.130	0.0	1.0
92	2.53	0.62	1	3	0.170	0.0	0.5
93	2.35	0.73	0	3	0.115	0.0	1.0
94	2.37	0.74	0	3	0.145	0.0	1.0
95	2.26	0.72	0	3	0.105	0.0	0.5
96	2.31	0.78	0	3	0.145	0.0	1.0
97	2.38	0.73	0	3	0.145	0.0	1.0
98	2.43	0.64	1	3	0.100	0.0	1.0
99	2.25	0.74	0	3	0.115	0.0	0.5
100	2.20	0.79	0	3	0.125	0.0	1.0
