rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	~ABF3 & (~CYP707A3 | ~MYB44)	3	3	0.0	ABF3, CYP707A3, MYB44	3	1
2	~ABA4 | ~CYP707A3	3	2	0.0	ABA4, CYP707A3	2	1
3	PP2C5 | (~ABCG31 & ~CYP707A3)	3	3	0.0	ABCG31, CYP707A3, PP2C5	3	1
4	PP2C5 | (~CYP707A3 & ~MYB44)	3	3	0.0	CYP707A3, MYB44, PP2C5	3	1
5	ABCG31 | ~ABF3	3	2	0.0	ABCG31, ABF3	2	1
6	~HB5 | ~HB7 | ~MYB44	3	3	0.0	HB5, HB7, MYB44	3	1
7	FBH3 | ~MYB44	3	2	0.0	FBH3, MYB44	2	1
8	~FBH3 & ~MYB44	3	2	0.0	FBH3, MYB44	2	1
9	FBH3 | (~ABF3 & ~DREB2A)	3	3	0.0	ABF3, DREB2A, FBH3	3	1
10	~DREB2A & ~MYB44	3	2	0.0	DREB2A, MYB44	2	1
11	~DREB2A & ~MYB44	3	2	0.0	DREB2A, MYB44	2	1
12	PP2C5 | (~ABCG31 & ~CYP707A3)	3	3	0.0	ABCG31, CYP707A3, PP2C5	3	1
13	PP2C5 | (~CYP707A3 & ~MYB44)	3	3	0.0	CYP707A3, MYB44, PP2C5	3	1
14	ABCG31 | ~ABF3	3	2	0.0	ABCG31, ABF3	2	1
15	FBH3 | ~MYB44	3	2	0.0	FBH3, MYB44	2	1
16	~HB5 | ~HB7 | ~MYB44	3	3	0.0	HB5, HB7, MYB44	3	1
17	PP2C5 | ~CYP707A3	3	2	0.0	CYP707A3, PP2C5	2	1
18	~FBH3 & ~MYB44	3	2	0.0	FBH3, MYB44	2	1
19	~ABF3 & (~CYP707A3 | ~MYB44)	3	3	0.0	ABF3, CYP707A3, MYB44	3	1
20	~ABF3	3	1	0.5	ABF3	1	1
21	~HB5 | ~HB7 | ~MYB44	3	3	0.0	HB5, HB7, MYB44	3	1
22	~ABF3	3	1	0.5	ABF3	1	1
23	~MYB44	3	1	0.5	MYB44	1	1
24	~ABF3	3	1	0.5	ABF3	1	1
25	~ABF3	3	1	0.5	ABF3	1	1
26	~MYB44	3	1	0.5	MYB44	1	1
27	~ABF3	3	1	0.5	ABF3	1	1
28	~ABF3	3	1	0.5	ABF3	1	1
29	~ABF3 & (CYP707A3 | HB6 | ~FBH3)	3	4	0.5	ABF3, CYP707A3, FBH3, HB6	4	1
30	~ABF3	3	1	0.5	ABF3	1	1
31	~MYB44	3	1	0.5	MYB44	1	1
32	HB5 | HB6	2	2	0.0	HB5, HB6	2	1
33	CYP707A3 | HB6	2	2	0.0	CYP707A3, HB6	2	1
34	HB5 | HB6 | PP2C5	2	3	0.0	HB5, HB6, PP2C5	3	1
35	ABCG31 & CYP707A3	2	2	0.0	ABCG31, CYP707A3	2	1
36	HB7 | MYB44 | PP2C5	2	3	0.0	HB7, MYB44, PP2C5	3	1
37	HB5 & (ABF3 | ~FBH3)	2	3	0.0	ABF3, FBH3, HB5	3	1
38	PP2C5 & (CYP707A3 | HB6)	2	3	0.0	CYP707A3, HB6, PP2C5	3	1
39	~DREB2A & ~FBH3	2	2	0.0	DREB2A, FBH3	2	1
40	ABA4 | ~ABF4	2	2	0.0	ABA4, ABF4	2	1
41	ABF4 | PP2C5	2	2	0.0	ABF4, PP2C5	2	1
42	ABCG31 | ABF4	2	2	0.0	ABCG31, ABF4	2	1
43	HB6 | ~MYB44	2	2	0.0	HB6, MYB44	2	1
44	~ABF3 | ~PP2C5	2	2	0.0	ABF3, PP2C5	2	1
45	~FBH3 & (ABF3 | HB7)	2	3	0.0	ABF3, FBH3, HB7	3	1
46	~ABA4	2	1	0.5	ABA4	1	1
47	~ABA4	2	1	0.5	ABA4	1	1
48	~HB6	2	1	0.5	HB6	1	1
49	~CYP707A3	2	1	0.5	CYP707A3	1	1
50	~ABA4	2	1	0.5	ABA4	1	1
51	~HB6	2	1	0.5	HB6	1	1
52	~ABA4	2	1	0.5	ABA4	1	1
53	ABCG31	2	1	0.5	ABCG31	1	1
54	~CYP707A3	2	1	0.5	CYP707A3	1	1
55	PP2C5	2	1	0.5	PP2C5	1	1
56	ABCG31	2	1	0.5	ABCG31	1	1
57	~FBH3	2	1	0.5	FBH3	1	1
58	PP2C5	2	1	0.5	PP2C5	1	1
59	~HB6	2	1	0.5	HB6	1	1
60	~HB6	2	1	0.5	HB6	1	1
61	~FBH3	2	1	0.5	FBH3	1	1
62	~FBH3	2	1	0.5	FBH3	1	1
63	HB5	2	1	0.5	HB5	1	1
64	ABCG31 | CYP707A3	1	2	0.0	ABCG31, CYP707A3	2	1
65	~FBH3 & ~HB7	1	2	0.0	FBH3, HB7	2	1
66	DREB2A | FBH3	1	2	0.0	DREB2A, FBH3	2	1
