rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	HB6 & ~ABA4	3	2	0.0	ABA4, HB6	2	1
2	ZAT6 & ~MYB44	3	2	0.0	MYB44, ZAT6	2	1
3	HB5 & ZAT6	3	2	0.0	HB5, ZAT6	2	1
4	FBH3 & PP2C5	3	2	0.0	FBH3, PP2C5	2	1
5	DREB2A & HB6 & MYB44	3	3	0.0	DREB2A, HB6, MYB44	3	1
6	ABCG31 & ~DREB2A & ~PP2C5	3	3	0.0	ABCG31, DREB2A, PP2C5	3	1
7	ABF4 | FBH3	3	2	0.0	ABF4, FBH3	2	1
8	ZAT6 | (FBH3 & ~MYB44)	3	3	0.0	FBH3, MYB44, ZAT6	3	1
9	PP2C5 & ~ABCG31 & ~MYB44	3	3	0.0	ABCG31, MYB44, PP2C5	3	1
10	~HB7 & (MYB44 | PP2C5)	3	3	0.0	HB7, MYB44, PP2C5	3	1
11	DREB2A & ZAT6	3	2	0.0	DREB2A, ZAT6	2	1
12	False	3	1	0.5	False	1	1
13	CYP707A3 & MYB44 & ZAT6	3	3	0.0	CYP707A3, MYB44, ZAT6	3	1
14	DREB2A & MYB44	3	2	0.0	DREB2A, MYB44	2	1
15	ABF4 & CYP707A3	3	2	0.0	ABF4, CYP707A3	2	1
16	MYB44 & PP2C5 & ~FBH3	3	3	0.0	FBH3, MYB44, PP2C5	3	1
17	DREB2A & HB7	3	2	0.0	DREB2A, HB7	2	1
18	CYP707A3 & MYB44 & PP2C5	3	3	0.0	CYP707A3, MYB44, PP2C5	3	1
19	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	1
20	ABA4 & PP2C5	3	2	0.0	ABA4, PP2C5	2	1
21	False	3	1	0.5	False	1	1
22	DREB2A & ZAT6	3	2	0.0	DREB2A, ZAT6	2	1
23	PP2C5 & ZAT6	3	2	0.0	PP2C5, ZAT6	2	1
24	ZAT6	3	1	0.5	ZAT6	1	1
25	ABF3 & DREB2A & ZAT6	3	3	0.0	ABF3, DREB2A, ZAT6	3	1
26	MYB44 & PP2C5	3	2	0.0	MYB44, PP2C5	2	1
27	ABF4 & ~PP2C5	3	2	0.0	ABF4, PP2C5	2	1
28	MYB44 & PP2C5	3	2	0.0	MYB44, PP2C5	2	1
29	ABF3 & PP2C5	3	2	0.0	ABF3, PP2C5	2	1
30	DREB2A & ZAT6	3	2	0.0	DREB2A, ZAT6	2	1
31	DREB2A & ZAT6	3	2	0.0	DREB2A, ZAT6	2	1
32	FBH3 | ZAT6	3	2	0.0	FBH3, ZAT6	2	1
33	ABF4 & MYB44	3	2	0.0	ABF4, MYB44	2	1
34	CYP707A3 & FBH3 & PP2C5	3	3	0.0	CYP707A3, FBH3, PP2C5	3	1
35	FBH3 & HB7 & ZAT6	3	3	0.0	FBH3, HB7, ZAT6	3	1
36	ABF3 & ZAT6	3	2	0.0	ABF3, ZAT6	2	1
37	FBH3 & (ABCG31 | ~HB7)	3	3	0.0	ABCG31, FBH3, HB7	3	1
38	DREB2A & PP2C5	3	2	0.0	DREB2A, PP2C5	2	1
39	ABF4 | FBH3	3	2	0.0	ABF4, FBH3	2	1
40	ABF3 & ABF4	3	2	0.0	ABF3, ABF4	2	1
41	DREB2A & MYB44 & ZAT6	3	3	0.0	DREB2A, MYB44, ZAT6	3	1
42	ABA4 & PP2C5	3	2	0.0	ABA4, PP2C5	2	1
43	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	1
44	ABF4 & CYP707A3 & DREB2A	3	3	0.0	ABF4, CYP707A3, DREB2A	3	1
45	ABCG31 & ABF3 & PP2C5	3	3	0.0	ABCG31, ABF3, PP2C5	3	1
46	ABCG31 & DREB2A & ZAT6	3	3	0.0	ABCG31, DREB2A, ZAT6	3	1
47	DREB2A | ZAT6	3	2	0.0	DREB2A, ZAT6	2	1
48	ABF4 | FBH3	3	2	0.0	ABF4, FBH3	2	1
49	FBH3 | ZAT6	3	2	0.0	FBH3, ZAT6	2	1
