rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	HB6 | (~CYP707A3 & ~HB7)	3	3	0.0	CYP707A3, HB6, HB7	3	1
2	HB7 & ~ABCG31	3	2	0.0	ABCG31, HB7	2	1
3	DREB2A | HB6	3	2	0.0	DREB2A, HB6	2	1
4	ABA4 & HB6	3	2	0.0	ABA4, HB6	2	1
5	ABF4 | HB6	3	2	0.0	ABF4, HB6	2	1
6	ABA4 | DREB2A	3	2	0.0	ABA4, DREB2A	2	1
7	~CYP707A3 | (MYB44 & ~DREB2A)	3	3	0.0	CYP707A3, DREB2A, MYB44	3	1
8	ABF3 | ~ABCG31	3	2	0.0	ABCG31, ABF3	2	1
9	ABA4 | (CYP707A3 & ZAT6)	3	3	0.0	ABA4, CYP707A3, ZAT6	3	1
10	ABA4 | MYB44	3	2	0.0	ABA4, MYB44	2	1
11	ABF4 | HB6	3	2	0.0	ABF4, HB6	2	1
12	ABA4 | DREB2A	3	2	0.0	ABA4, DREB2A	2	1
13	ABA4 | FBH3 | HB6	3	3	0.0	ABA4, FBH3, HB6	3	1
14	ABA4 | MYB44	3	2	0.0	ABA4, MYB44	2	1
15	ABA4 & HB6	3	2	0.0	ABA4, HB6	2	1
16	ABA4 & (DREB2A | HB6)	3	3	0.0	ABA4, DREB2A, HB6	3	1
17	DREB2A | HB6	3	2	0.0	DREB2A, HB6	2	1
18	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	1
19	ABA4 | ABF3 | ZAT6	3	3	0.0	ABA4, ABF3, ZAT6	3	1
20	ABA4 | MYB44	3	2	0.0	ABA4, MYB44	2	1
21	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	1
22	ABA4 | MYB44	3	2	0.0	ABA4, MYB44	2	1
23	ABA4 | FBH3	3	2	0.0	ABA4, FBH3	2	1
24	ABA4 | DREB2A	3	2	0.0	ABA4, DREB2A	2	1
25	ABA4	3	1	0.5	ABA4	1	1
26	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	1
27	ABA4 & HB6	3	2	0.0	ABA4, HB6	2	1
28	ABF3 | ~ABCG31	3	2	0.0	ABCG31, ABF3	2	1
29	ABA4 | HB6 | MYB44	3	3	0.0	ABA4, HB6, MYB44	3	1
30	HB6 | (ABA4 & FBH3)	3	3	0.0	ABA4, FBH3, HB6	3	1
31	ABA4 | DREB2A | MYB44	3	3	0.0	ABA4, DREB2A, MYB44	3	1
32	DREB2A | HB6	3	2	0.0	DREB2A, HB6	2	1
33	ABF4 | HB6	3	2	0.0	ABF4, HB6	2	1
34	DREB2A | HB6	3	2	0.0	DREB2A, HB6	2	1
35	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	1
36	ABA4 | HB6	3	2	0.0	ABA4, HB6	2	1
37	ABF4 | HB6	3	2	0.0	ABF4, HB6	2	1
38	HB6	3	1	0.5	HB6	1	1
39	ABA4	3	1	0.5	ABA4	1	1
40	ABA4 | ABF3 | ABF4 | ZAT6	3	4	0.5	ABA4, ABF3, ABF4, ZAT6	4	1
41	~ABCG31	3	1	0.5	ABCG31	1	1
42	ABA4	3	1	0.5	ABA4	1	1
43	ABA4	3	1	0.5	ABA4	1	1
44	HB6	3	1	0.5	HB6	1	1
45	ABA4 | DREB2A | MYB44 | ZAT6	3	4	0.5	ABA4, DREB2A, MYB44, ZAT6	4	1
46	ABA4	3	1	0.5	ABA4	1	1
47	ABA4 | ZAT6 | (ABF3 & HB6)	3	4	0.5	ABA4, ABF3, HB6, ZAT6	4	1
48	ABA4	3	1	0.5	ABA4	1	1
49	HB6	3	1	0.5	HB6	1	1
50	HB6	3	1	0.5	HB6	1	1
51	HB6	3	1	0.5	HB6	1	1
52	HB6	3	1	0.5	HB6	1	1
53	HB6	3	1	0.5	HB6	1	1
54	ABA4	3	1	0.5	ABA4	1	1
55	ABA4 | ABF3 | HB6 | (ABF4 & HB5)	3	5	1.0	ABA4, ABF3, ABF4, HB5, HB6	5	1
56	ABA4 | CYP707A3 | ZAT6	2	3	0.0	ABA4, CYP707A3, ZAT6	3	1
57	CYP707A3 | HB6	2	2	0.0	CYP707A3, HB6	2	1
58	CYP707A3 | HB6	2	2	0.0	CYP707A3, HB6	2	1
59	HB6 | PP2C5	2	2	0.0	HB6, PP2C5	2	1
60	ABA4 | CYP707A3 | DREB2A	2	3	0.0	ABA4, CYP707A3, DREB2A	3	1
61	ABA4 | ~DREB2A	2	2	0.0	ABA4, DREB2A	2	1
62	ABA4 & ABF3	2	2	0.0	ABA4, ABF3	2	1
63	ABF4 | HB5	2	2	0.0	ABF4, HB5	2	1
64	CYP707A3 | HB7	2	2	0.0	CYP707A3, HB7	2	1
65	MYB44 | ZAT6	2	2	0.0	MYB44, ZAT6	2	1
66	HB6 & MYB44	2	2	0.0	HB6, MYB44	2	1
67	ABF3 | DREB2A | ZAT6	2	3	0.0	ABF3, DREB2A, ZAT6	3	1
68	ABA4 | HB6 | PP2C5	2	3	0.0	ABA4, HB6, PP2C5	3	1
69	HB5 | ZAT6	2	2	0.0	HB5, ZAT6	2	1
70	ABA4 | HB5 | HB6	2	3	0.0	ABA4, HB5, HB6	3	1
71	ABA4 & CYP707A3	2	2	0.0	ABA4, CYP707A3	2	1
72	HB7	2	1	0.5	HB7	1	1
73	MYB44	2	1	0.5	MYB44	1	1
74	~ZAT6	2	1	0.5	ZAT6	1	1
75	MYB44	2	1	0.5	MYB44	1	1
76	MYB44 & (ABA4 | ABF3 | ABF4 | ZAT6)	2	5	1.0	ABA4, ABF3, ABF4, MYB44, ZAT6	5	1
77	ABF4 | MYB44 | PP2C5	1	3	0.0	ABF4, MYB44, PP2C5	3	1
