rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	ZAT6 | ~CYP707A3	3	2	0.0	CYP707A3, ZAT6	2	1
2	~CYP707A3 | (ABCG31 & MYB44)	3	3	0.0	ABCG31, CYP707A3, MYB44	3	1
3	ZAT6 | ~CYP707A3	3	2	0.0	CYP707A3, ZAT6	2	1
4	~ABCG31 & ~MYB44 & ~ZAT6	3	3	0.0	ABCG31, MYB44, ZAT6	3	1
5	ZAT6 | ~CYP707A3	3	2	0.0	CYP707A3, ZAT6	2	1
6	ZAT6 | ~CYP707A3	3	2	0.0	CYP707A3, ZAT6	2	1
7	~CYP707A3 & (~MYB44 | ~ZAT6)	3	3	0.0	CYP707A3, MYB44, ZAT6	3	1
8	~CYP707A3 | (ABCG31 & MYB44)	3	3	0.0	ABCG31, CYP707A3, MYB44	3	1
9	~ABCG31 & ~MYB44	3	2	0.0	ABCG31, MYB44	2	1
10	~CYP707A3 & (~MYB44 | ~ZAT6)	3	3	0.0	CYP707A3, MYB44, ZAT6	3	1
11	~ABCG31 & ~MYB44	3	2	0.0	ABCG31, MYB44	2	1
12	~CYP707A3 & (~MYB44 | ~ZAT6)	3	3	0.0	CYP707A3, MYB44, ZAT6	3	1
13	~CYP707A3	3	1	0.5	CYP707A3	1	1
14	~CYP707A3	3	1	0.5	CYP707A3	1	1
15	~CYP707A3	3	1	0.5	CYP707A3	1	1
16	~CYP707A3	3	1	0.5	CYP707A3	1	1
17	~CYP707A3	3	1	0.5	CYP707A3	1	1
18	ZAT6 | ~HB7	2	2	0.0	HB7, ZAT6	2	1
19	ABA4 | MYB44	2	2	0.0	ABA4, MYB44	2	1
20	MYB44 & ZAT6	2	2	0.0	MYB44, ZAT6	2	1
21	ABA4 & ZAT6	2	2	0.0	ABA4, ZAT6	2	1
22	~MYB44 & ~ZAT6	2	2	0.0	MYB44, ZAT6	2	1
23	ZAT6	2	1	0.5	ZAT6	1	1
24	CYP707A3 & ZAT6	2	2	0.0	CYP707A3, ZAT6	2	1
25	HB7 & ZAT6	2	2	0.0	HB7, ZAT6	2	1
26	CYP707A3 & HB7 & ZAT6	2	3	0.0	CYP707A3, HB7, ZAT6	3	1
27	HB7 & ZAT6	2	2	0.0	HB7, ZAT6	2	1
28	HB6 & ZAT6	2	2	0.0	HB6, ZAT6	2	1
29	ZAT6	2	1	0.5	ZAT6	1	1
30	CYP707A3 & ZAT6	2	2	0.0	CYP707A3, ZAT6	2	1
31	False	2	1	0.5	False	1	1
32	MYB44 & ZAT6	2	2	0.0	MYB44, ZAT6	2	1
33	~MYB44 & ~ZAT6	2	2	0.0	MYB44, ZAT6	2	1
34	~DREB2A & (ABCG31 | ~CYP707A3)	2	3	0.0	ABCG31, CYP707A3, DREB2A	3	1
35	ZAT6	2	1	0.5	ZAT6	1	1
36	ABA4 | DREB2A | ~ABCG31	2	3	0.0	ABA4, ABCG31, DREB2A	3	1
37	MYB44 & ZAT6	2	2	0.0	MYB44, ZAT6	2	1
38	HB5 & ZAT6	2	2	0.0	HB5, ZAT6	2	1
39	ABA4 | MYB44 | ~HB5	2	3	0.0	ABA4, HB5, MYB44	3	1
40	ZAT6 | ~ABF3	2	2	0.0	ABF3, ZAT6	2	1
41	~MYB44	2	1	0.5	MYB44	1	1
42	ABF4	2	1	0.5	ABF4	1	1
43	~ABCG31	2	1	0.5	ABCG31	1	1
44	~MYB44	2	1	0.5	MYB44	1	1
45	~MYB44	2	1	0.5	MYB44	1	1
46	ABF4	2	1	0.5	ABF4	1	1
47	~ABCG31	2	1	0.5	ABCG31	1	1
48	~ABCG31 & ~ZAT6 & (~FBH3 | ~PP2C5)	2	4	0.5	ABCG31, FBH3, PP2C5, ZAT6	4	1
49	ZAT6	2	1	0.5	ZAT6	1	1
50	~ABCG31	2	1	0.5	ABCG31	1	1
51	ZAT6	2	1	0.5	ZAT6	1	1
52	~ABCG31	2	1	0.5	ABCG31	1	1
53	ZAT6	2	1	0.5	ZAT6	1	1
54	~ABCG31	2	1	0.5	ABCG31	1	1
55	~MYB44	2	1	0.5	MYB44	1	1
56	~HB5	2	1	0.5	HB5	1	1
57	ZAT6	2	1	0.5	ZAT6	1	1
58	~ABA4 | ~ZAT6	1	2	0.0	ABA4, ZAT6	2	1
59	HB7 | ZAT6	1	2	0.0	HB7, ZAT6	2	1
60	MYB44 | ZAT6	1	2	0.0	MYB44, ZAT6	2	1
61	MYB44 & ~ZAT6	1	2	0.0	MYB44, ZAT6	2	1
62	MYB44 | ZAT6	1	2	0.0	MYB44, ZAT6	2	1
63	~ABCG31 | ~MYB44	1	2	0.0	ABCG31, MYB44	2	1
64	DREB2A | HB7	1	2	0.0	DREB2A, HB7	2	1
65	MYB44 | (HB7 & ~ZAT6)	1	3	0.0	HB7, MYB44, ZAT6	3	1
66	ABCG31 | ZAT6	1	2	0.0	ABCG31, ZAT6	2	1
67	~PP2C5 | ~ZAT6	1	2	0.0	PP2C5, ZAT6	2	1
68	HB5 | HB7	1	2	0.0	HB5, HB7	2	1
69	MYB44 | ZAT6	1	2	0.0	MYB44, ZAT6	2	1
70	True	1	1	0.5	True	1	1
71	HB6 & MYB44	1	2	0.0	HB6, MYB44	2	1
72	FBH3 | PP2C5 | ZAT6	1	3	0.0	FBH3, PP2C5, ZAT6	3	1
73	PP2C5 | ZAT6	1	2	0.0	PP2C5, ZAT6	2	1
74	True	1	1	0.5	True	1	1
75	ABCG31	1	1	0.5	ABCG31	1	1
76	~ZAT6	1	1	0.5	ZAT6	1	1
77	(ABF4 & ~CYP707A3) | (ABF4 & ~MYB44) | (PP2C5 & ~CYP707A3) | (PP2C5 & ~MYB44)	1	4	0.5	ABF4, CYP707A3, MYB44, PP2C5	4	1
78	MYB44	1	1	0.5	MYB44	1	1
79	~ZAT6	1	1	0.5	ZAT6	1	1
80	~ZAT6 | (~ABCG31 & ~HB6) | (~ABCG31 & ~MYB44)	1	4	0.5	ABCG31, HB6, MYB44, ZAT6	4	1
81	~DREB2A	1	1	0.5	DREB2A	1	1
82	~ZAT6	1	1	0.5	ZAT6	1	1
83	MYB44 & (HB6 | HB7) & (HB6 | ZAT6)	1	4	0.5	HB6, HB7, MYB44, ZAT6	4	1
84	ABCG31	1	1	0.5	ABCG31	1	1
85	HB7	1	1	0.5	HB7	1	1
86	~ZAT6	1	1	0.5	ZAT6	1	1
87	ABCG31	1	1	0.5	ABCG31	1	1
88	True	1	1	0.5	True	1	1
89	MYB44	1	1	0.5	MYB44	1	1
90	MYB44	1	1	0.5	MYB44	1	1
91	MYB44	1	1	0.5	MYB44	1	1
92	~HB6	1	1	0.5	HB6	1	1
93	HB7	1	1	0.5	HB7	1	1
94	~ZAT6	1	1	0.5	ZAT6	1	1
