rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	FBH3 | (ABA4 & ABF3)	3	3	0.0	ABA4, ABF3, FBH3	3	1
2	ABF3	3	1	0.5	ABF3	1	1
3	ABF3 & HB7	3	2	0.0	ABF3, HB7	2	1
4	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
5	ABF3	3	1	0.5	ABF3	1	1
6	ABF3 & HB6 & ~ZAT6	3	3	0.0	ABF3, HB6, ZAT6	3	1
7	ABF3 & HB5 & MYB44	3	3	0.0	ABF3, HB5, MYB44	3	1
8	ABF3	3	1	0.5	ABF3	1	1
9	ABF3 & HB7	3	2	0.0	ABF3, HB7	2	1
10	MYB44 & ~ABF4	3	2	0.0	ABF4, MYB44	2	1
11	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
12	ABF3 | DREB2A	3	2	0.0	ABF3, DREB2A	2	1
13	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	1
14	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
15	ABF3 & CYP707A3	3	2	0.0	ABF3, CYP707A3	2	1
16	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
17	ABF3	3	1	0.5	ABF3	1	1
18	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
19	ABF3	3	1	0.5	ABF3	1	1
20	ABF3 & HB7	3	2	0.0	ABF3, HB7	2	1
21	ABF3 & HB7	3	2	0.0	ABF3, HB7	2	1
22	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
23	ABA4 & ABF3	3	2	0.0	ABA4, ABF3	2	1
24	ABF3 | ABF4	3	2	0.0	ABF3, ABF4	2	1
25	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
26	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	1
27	ABA4 & ABF3 & MYB44	3	3	0.0	ABA4, ABF3, MYB44	3	1
28	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
29	ABF3 & HB5 & MYB44	3	3	0.0	ABF3, HB5, MYB44	3	1
30	ABA4 & MYB44	3	2	0.0	ABA4, MYB44	2	1
31	ABF3	3	1	0.5	ABF3	1	1
32	CYP707A3 & HB6	3	2	0.0	CYP707A3, HB6	2	1
33	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	1
34	ABF3 | FBH3	3	2	0.0	ABF3, FBH3	2	1
35	ABF3 & HB5	3	2	0.0	ABF3, HB5	2	1
36	HB6 & MYB44	3	2	0.0	HB6, MYB44	2	1
37	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
38	ABF3	3	1	0.5	ABF3	1	1
39	MYB44	3	1	0.5	MYB44	1	1
40	ABF3	3	1	0.5	ABF3	1	1
41	ABF3	3	1	0.5	ABF3	1	1
42	ABA4 & HB7 & (ABF3 | MYB44)	3	4	0.5	ABA4, ABF3, HB7, MYB44	4	1
43	ABF3 & (ABA4 | HB6) & (ABF4 | HB6)	3	4	0.5	ABA4, ABF3, ABF4, HB6	4	1
44	MYB44	3	1	0.5	MYB44	1	1
45	MYB44	3	1	0.5	MYB44	1	1
46	MYB44	3	1	0.5	MYB44	1	1
47	ABF3	3	1	0.5	ABF3	1	1
48	ABA4 & ABF3 & HB7 & MYB44	3	4	0.5	ABA4, ABF3, HB7, MYB44	4	1
49	ABF3	3	1	0.5	ABF3	1	1
50	ABF3	3	1	0.5	ABF3	1	1
51	MYB44	3	1	0.5	MYB44	1	1
52	ABA4 & ABF3 & CYP707A3 & HB5 & MYB44	3	5	1.0	ABA4, ABF3, CYP707A3, HB5, MYB44	5	1
53	ABA4 & FBH3 & MYB44	2	3	0.0	ABA4, FBH3, MYB44	3	1
54	ABA4 & ABF3 & FBH3	2	3	0.0	ABA4, ABF3, FBH3	3	1
55	ABA4 | FBH3	2	2	0.0	ABA4, FBH3	2	1
56	ABF3 & FBH3	2	2	0.0	ABF3, FBH3	2	1
57	ABA4 & HB6	2	2	0.0	ABA4, HB6	2	1
58	ABA4 & ABF3 & DREB2A	2	3	0.0	ABA4, ABF3, DREB2A	3	1
59	CYP707A3 & HB7	2	2	0.0	CYP707A3, HB7	2	1
60	MYB44 & PP2C5	2	2	0.0	MYB44, PP2C5	2	1
61	ABCG31 & ABF3 & HB7	2	3	0.0	ABCG31, ABF3, HB7	3	1
62	False	2	1	0.5	False	1	1
63	CYP707A3 & HB5	2	2	0.0	CYP707A3, HB5	2	1
64	ABF3 & ABF4	2	2	0.0	ABF3, ABF4	2	1
65	ABF3 & PP2C5	2	2	0.0	ABF3, PP2C5	2	1
66	PP2C5 & ZAT6	2	2	0.0	PP2C5, ZAT6	2	1
67	ABF4 & HB6	2	2	0.0	ABF4, HB6	2	1
68	ABA4 & HB5	2	2	0.0	ABA4, HB5	2	1
69	ABA4 & HB5	2	2	0.0	ABA4, HB5	2	1
70	ABA4 & PP2C5	2	2	0.0	ABA4, PP2C5	2	1
71	ABA4 & DREB2A	2	2	0.0	ABA4, DREB2A	2	1
72	ABA4	2	1	0.5	ABA4	1	1
73	ABF3 & PP2C5	2	2	0.0	ABF3, PP2C5	2	1
74	ABCG31 & MYB44	2	2	0.0	ABCG31, MYB44	2	1
75	ABF3 & ABF4	2	2	0.0	ABF3, ABF4	2	1
76	ABF3 & PP2C5	2	2	0.0	ABF3, PP2C5	2	1
77	PP2C5 | (ABA4 & ABF3) | (ABF3 & HB5)	2	4	0.5	ABA4, ABF3, HB5, PP2C5	4	1
78	FBH3	2	1	0.5	FBH3	1	1
79	CYP707A3	2	1	0.5	CYP707A3	1	1
80	CYP707A3	2	1	0.5	CYP707A3	1	1
81	~HB7	2	1	0.5	HB7	1	1
82	HB6	2	1	0.5	HB6	1	1
83	HB5 & HB6 & PP2C5 & ZAT6	2	4	0.5	HB5, HB6, PP2C5, ZAT6	4	1
