rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	ABF4 & CYP707A3 & FBH3	3	3	0.0	ABF4, CYP707A3, FBH3	3	1
2	ABF3 & FBH3	3	2	0.0	ABF3, FBH3	2	1
3	ZAT6 | ~HB7	3	2	0.0	HB7, ZAT6	2	1
4	False	3	1	0.5	False	1	1
5	~ABA4 & ~PP2C5	3	2	0.0	ABA4, PP2C5	2	1
6	ABF4 & ~ZAT6	3	2	0.0	ABF4, ZAT6	2	1
7	FBH3 & HB5	3	2	0.0	FBH3, HB5	2	1
8	ABF4 | (HB6 & ~HB7)	3	3	0.0	ABF4, HB6, HB7	3	1
9	ZAT6 & ~CYP707A3	3	2	0.0	CYP707A3, ZAT6	2	1
10	FBH3 & HB5	3	2	0.0	FBH3, HB5	2	1
11	HB7 & ZAT6	3	2	0.0	HB7, ZAT6	2	1
12	ZAT6 & ~ABF3	3	2	0.0	ABF3, ZAT6	2	1
13	FBH3 & HB5	3	2	0.0	FBH3, HB5	2	1
14	ABF3 & FBH3 & ZAT6	3	3	0.0	ABF3, FBH3, ZAT6	3	1
15	DREB2A & ZAT6	3	2	0.0	DREB2A, ZAT6	2	1
16	ABF4 & CYP707A3	3	2	0.0	ABF4, CYP707A3	2	1
17	FBH3 & HB7 & ZAT6	3	3	0.0	FBH3, HB7, ZAT6	3	1
18	ABA4 & HB6 & ZAT6	3	3	0.0	ABA4, HB6, ZAT6	3	1
19	ZAT6 | (ABCG31 & MYB44)	3	3	0.0	ABCG31, MYB44, ZAT6	3	1
20	ABF4 & MYB44 & ZAT6	3	3	0.0	ABF4, MYB44, ZAT6	3	1
21	CYP707A3 & HB6 & ZAT6	3	3	0.0	CYP707A3, HB6, ZAT6	3	1
22	CYP707A3 & ZAT6	3	2	0.0	CYP707A3, ZAT6	2	1
23	ABF4 & MYB44	3	2	0.0	ABF4, MYB44	2	1
24	ABA4 & HB6 & ZAT6	3	3	0.0	ABA4, HB6, ZAT6	3	1
25	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	1
26	PP2C5 & ZAT6	3	2	0.0	PP2C5, ZAT6	2	1
27	ABF3 & CYP707A3 & ZAT6	3	3	0.0	ABF3, CYP707A3, ZAT6	3	1
28	ABA4 & ABF4	3	2	0.0	ABA4, ABF4	2	1
29	ABF4 & ZAT6	3	2	0.0	ABF4, ZAT6	2	1
30	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	1
31	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	1
32	CYP707A3 & FBH3	3	2	0.0	CYP707A3, FBH3	2	1
33	ABCG31 & HB6	3	2	0.0	ABCG31, HB6	2	1
34	ABCG31 & ABF4 & ZAT6	3	3	0.0	ABCG31, ABF4, ZAT6	3	1
35	ABCG31 & ZAT6	3	2	0.0	ABCG31, ZAT6	2	1
36	CYP707A3 & FBH3	3	2	0.0	CYP707A3, FBH3	2	1
37	ABF4 & PP2C5	3	2	0.0	ABF4, PP2C5	2	1
38	ABF4 & ~ZAT6	3	2	0.0	ABF4, ZAT6	2	1
39	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	1
40	HB6 & ZAT6 & ~DREB2A	3	3	0.0	DREB2A, HB6, ZAT6	3	1
41	ABCG31 & MYB44	3	2	0.0	ABCG31, MYB44	2	1
42	ABF4 & ZAT6	3	2	0.0	ABF4, ZAT6	2	1
43	CYP707A3 & ZAT6	3	2	0.0	CYP707A3, ZAT6	2	1
44	HB5 & ZAT6	3	2	0.0	HB5, ZAT6	2	1
45	CYP707A3 & ZAT6	3	2	0.0	CYP707A3, ZAT6	2	1
46	ABF4 & ZAT6	3	2	0.0	ABF4, ZAT6	2	1
47	ABF4 & CYP707A3	3	2	0.0	ABF4, CYP707A3	2	1
48	HB6 & PP2C5	3	2	0.0	HB6, PP2C5	2	1
49	ZAT6 & ~CYP707A3	3	2	0.0	CYP707A3, ZAT6	2	1
50	DREB2A & FBH3 & MYB44	3	3	0.0	DREB2A, FBH3, MYB44	3	1
51	CYP707A3 & ZAT6	3	2	0.0	CYP707A3, ZAT6	2	1
52	MYB44 & ZAT6	3	2	0.0	MYB44, ZAT6	2	1
53	ABA4 & ZAT6	3	2	0.0	ABA4, ZAT6	2	1
54	DREB2A & ZAT6	3	2	0.0	DREB2A, ZAT6	2	1
55	ABF4 & MYB44	3	2	0.0	ABF4, MYB44	2	1
56	FBH3 & HB5	3	2	0.0	FBH3, HB5	2	1
57	PP2C5 & ZAT6	3	2	0.0	PP2C5, ZAT6	2	1
58	ZAT6	3	1	0.5	ZAT6	1	1
59	ZAT6	3	1	0.5	ZAT6	1	1
60	FBH3	3	1	0.5	FBH3	1	1
61	ZAT6	3	1	0.5	ZAT6	1	1
62	ZAT6	3	1	0.5	ZAT6	1	1
63	ZAT6	3	1	0.5	ZAT6	1	1
64	ABF4	3	1	0.5	ABF4	1	1
65	FBH3	3	1	0.5	FBH3	1	1
66	ZAT6	3	1	0.5	ZAT6	1	1
67	ZAT6	3	1	0.5	ZAT6	1	1
68	FBH3 & HB5 & (ABCG31 | ZAT6)	3	4	0.5	ABCG31, FBH3, HB5, ZAT6	4	1
69	DREB2A	3	1	0.5	DREB2A	1	1
70	ZAT6	3	1	0.5	ZAT6	1	1
