rank	expression	n_correct	n_regulators	regulator_penalty	regulators	n_unique_regulators	repetition
1	HB6 & MYB44	3	2	0.0	HB6, MYB44	2	1
2	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
3	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
4	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
5	HB6 & MYB44	3	2	0.0	HB6, MYB44	2	1
6	DREB2A | MYB44	3	2	0.0	DREB2A, MYB44	2	1
7	ABA4 & ABF3	3	2	0.0	ABA4, ABF3	2	1
8	MYB44 | (ABCG31 & HB6)	3	3	0.0	ABCG31, HB6, MYB44	3	1
9	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
10	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	1
11	HB6 & MYB44	3	2	0.0	HB6, MYB44	2	1
12	HB7 & MYB44	3	2	0.0	HB7, MYB44	2	1
13	ABA4 & (FBH3 | MYB44)	3	3	0.0	ABA4, FBH3, MYB44	3	1
14	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
15	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
16	ABF3 & HB7	3	2	0.0	ABF3, HB7	2	1
17	ABA4 & MYB44	3	2	0.0	ABA4, MYB44	2	1
18	DREB2A | MYB44	3	2	0.0	DREB2A, MYB44	2	1
19	ABF3 & HB6	3	2	0.0	ABF3, HB6	2	1
20	ABA4 & ABF3	3	2	0.0	ABA4, ABF3	2	1
21	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
22	MYB44	3	1	0.5	MYB44	1	1
23	MYB44	3	1	0.5	MYB44	1	1
24	ABA4 & MYB44	3	2	0.0	ABA4, MYB44	2	1
25	ABA4 & ABF3 & MYB44	3	3	0.0	ABA4, ABF3, MYB44	3	1
26	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
27	ABA4 & MYB44	3	2	0.0	ABA4, MYB44	2	1
28	ABF3 | MYB44	3	2	0.0	ABF3, MYB44	2	1
29	HB5 & MYB44	3	2	0.0	HB5, MYB44	2	1
30	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
31	ABA4 & MYB44	3	2	0.0	ABA4, MYB44	2	1
32	CYP707A3 & HB5 & HB6	3	3	0.0	CYP707A3, HB5, HB6	3	1
33	ABF3 | MYB44	3	2	0.0	ABF3, MYB44	2	1
34	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
35	HB6 & MYB44	3	2	0.0	HB6, MYB44	2	1
36	ABF3 & MYB44	3	2	0.0	ABF3, MYB44	2	1
37	CYP707A3 & HB6	3	2	0.0	CYP707A3, HB6	2	1
38	CYP707A3 & MYB44	3	2	0.0	CYP707A3, MYB44	2	1
39	ABF3	3	1	0.5	ABF3	1	1
40	MYB44	3	1	0.5	MYB44	1	1
41	ABF3	3	1	0.5	ABF3	1	1
42	MYB44	3	1	0.5	MYB44	1	1
43	FBH3 & MYB44	2	2	0.0	FBH3, MYB44	2	1
44	ABA4 | ABF3	2	2	0.0	ABA4, ABF3	2	1
45	HB6 & HB7	2	2	0.0	HB6, HB7	2	1
46	DREB2A & MYB44	2	2	0.0	DREB2A, MYB44	2	1
47	ABF3 & ABF4 & HB7	2	3	0.0	ABF3, ABF4, HB7	3	1
48	MYB44 & (DREB2A | FBH3)	2	3	0.0	DREB2A, FBH3, MYB44	3	1
49	ABA4 & ~HB6	2	2	0.0	ABA4, HB6	2	1
50	HB5 & HB6	2	2	0.0	HB5, HB6	2	1
51	HB6 | MYB44	2	2	0.0	HB6, MYB44	2	1
52	FBH3 & MYB44	2	2	0.0	FBH3, MYB44	2	1
53	~HB5 & (~ABA4 | ~HB6)	2	3	0.0	ABA4, HB5, HB6	3	1
54	FBH3 & HB6	2	2	0.0	FBH3, HB6	2	1
55	ABF3 & ABF4	2	2	0.0	ABF3, ABF4	2	1
56	ABA4 & ABF3 & DREB2A	2	3	0.0	ABA4, ABF3, DREB2A	3	1
57	FBH3 & ZAT6	2	2	0.0	FBH3, ZAT6	2	1
58	ABA4 & DREB2A	2	2	0.0	ABA4, DREB2A	2	1
59	HB6 | MYB44	2	2	0.0	HB6, MYB44	2	1
60	ABF3 & DREB2A	2	2	0.0	ABF3, DREB2A	2	1
61	HB5 & HB6	2	2	0.0	HB5, HB6	2	1
62	DREB2A & HB6 & MYB44	2	3	0.0	DREB2A, HB6, MYB44	3	1
63	HB6 & ~ABA4	2	2	0.0	ABA4, HB6	2	1
64	CYP707A3 | MYB44	2	2	0.0	CYP707A3, MYB44	2	1
65	FBH3 & HB6	2	2	0.0	FBH3, HB6	2	1
66	HB6	2	1	0.5	HB6	1	1
67	ABF4	2	1	0.5	ABF4	1	1
68	CYP707A3	2	1	0.5	CYP707A3	1	1
69	DREB2A	2	1	0.5	DREB2A	1	1
70	CYP707A3	2	1	0.5	CYP707A3	1	1
71	HB6	2	1	0.5	HB6	1	1
72	ABA4	2	1	0.5	ABA4	1	1
73	HB6	2	1	0.5	HB6	1	1
74	FBH3 & HB6 & MYB44 & ZAT6	2	4	0.5	FBH3, HB6, MYB44, ZAT6	4	1
75	HB7 & ZAT6 & (ABCG31 | ~FBH3)	2	4	0.5	ABCG31, FBH3, HB7, ZAT6	4	1
76	CYP707A3	2	1	0.5	CYP707A3	1	1
77	CYP707A3	2	1	0.5	CYP707A3	1	1
78	ABA4 & FBH3 & HB6 & HB7 & ZAT6	2	5	1.0	ABA4, FBH3, HB6, HB7, ZAT6	5	1
79	CYP707A3 & HB7 & ZAT6 & (FBH3 | HB5)	2	5	1.0	CYP707A3, FBH3, HB5, HB7, ZAT6	5	1
80	FBH3 | HB7	1	2	0.0	FBH3, HB7	2	1
81	CYP707A3 | HB6	1	2	0.0	CYP707A3, HB6	2	1
82	HB5 | MYB44	1	2	0.0	HB5, MYB44	2	1
83	ABA4 | HB5	1	2	0.0	ABA4, HB5	2	1
84	CYP707A3 | HB7	1	2	0.0	CYP707A3, HB7	2	1
85	ABA4 | PP2C5	1	2	0.0	ABA4, PP2C5	2	1
86	ABCG31 & HB7	1	2	0.0	ABCG31, HB7	2	1
87	HB7 | MYB44	1	2	0.0	HB7, MYB44	2	1
88	~ABA4 | (~FBH3 & ~HB7)	1	3	0.0	ABA4, FBH3, HB7	3	1
89	HB5 | HB6	1	2	0.0	HB5, HB6	2	1
